"dataset","sim","method","mse"
"Abalone",1,"RF",4.65830046589162
"Abalone",2,"RF",4.66990572501928
"Abalone",3,"RF",4.6456896125291
"Abalone",4,"RF",4.62207371016458
"Abalone",5,"RF",4.61171359721232
"Abalone",6,"RF",4.66024910291182
"Abalone",7,"RF",4.64787455496921
"Abalone",8,"RF",4.63998257191925
"Abalone",9,"RF",4.59269761940825
"Abalone",10,"RF",4.6243898255073
"Abalone",11,"RF",4.56792449947743
"Abalone",12,"RF",4.57217670583529
"Abalone",13,"RF",4.5952447957986
"Abalone",14,"RF",4.62272431858492
"Abalone",15,"RF",4.62848193068753
"Abalone",16,"RF",4.65024921156582
"Abalone",17,"RF",4.61923148640375
"Abalone",18,"RF",4.6404280517503
"Abalone",19,"RF",4.66115511672222
"Abalone",20,"RF",4.64947212186219
"Abalone",21,"RF",4.64666472467366
"Abalone",22,"RF",4.60472748468405
"Abalone",23,"RF",4.62320538744751
"Abalone",24,"RF",4.6421725597671
"Abalone",25,"RF",4.64213365385935
"Abalone",26,"RF",4.61214284579423
"Abalone",27,"RF",4.62186371136933
"Abalone",28,"RF",4.60549403756273
"Abalone",29,"RF",4.59165779859523
"Abalone",30,"RF",4.62193832626491
"Abalone",31,"RF",4.58678653561667
"Abalone",32,"RF",4.61975193868938
"Abalone",33,"RF",4.60318853189965
"Abalone",34,"RF",4.61660612827108
"Abalone",35,"RF",4.63955059264497
"Abalone",36,"RF",4.6339835205668
"Abalone",37,"RF",4.65038100015523
"Abalone",38,"RF",4.59305514824474
"Abalone",39,"RF",4.67613799856344
"Abalone",40,"RF",4.59260313897973
"Abalone",41,"RF",4.67487262025066
"Abalone",42,"RF",4.62943483209011
"Abalone",43,"RF",4.62567682623241
"Abalone",44,"RF",4.63948572195022
"Abalone",45,"RF",4.57326489926457
"Abalone",46,"RF",4.60850021911827
"Abalone",47,"RF",4.6024623344273
"Abalone",48,"RF",4.60457318924948
"Abalone",49,"RF",4.62513619625011
"Abalone",50,"RF",4.59527333643479
"Abalone",1,"SSS",4.67131507348106
"Abalone",2,"SSS",4.63490114004192
"Abalone",3,"SSS",4.66680364073899
"Abalone",4,"SSS",4.63156756833813
"Abalone",5,"SSS",4.6435540845422
"Abalone",6,"SSS",4.6365135696708
"Abalone",7,"SSS",4.69656078487279
"Abalone",8,"SSS",4.64638526935461
"Abalone",9,"SSS",4.68160916529062
"Abalone",10,"SSS",4.68768508862265
"Abalone",11,"SSS",4.63984575926335
"Abalone",12,"SSS",4.65007712709243
"Abalone",13,"SSS",4.64719568854278
"Abalone",14,"SSS",4.64109364368924
"Abalone",15,"SSS",4.64553697128695
"Abalone",16,"SSS",4.65524013493862
"Abalone",17,"SSS",4.65357021416035
"Abalone",18,"SSS",4.62247587985634
"Abalone",19,"SSS",4.65062496394142
"Abalone",20,"SSS",4.67467830020311
"Abalone",21,"SSS",4.68782751124023
"Abalone",22,"SSS",4.64022758357467
"Abalone",23,"SSS",4.66082001158188
"Abalone",24,"SSS",4.66205934335998
"Abalone",25,"SSS",4.64643089153599
"Abalone",26,"SSS",4.660482871139
"Abalone",27,"SSS",4.64717288996869
"Abalone",28,"SSS",4.68445193238357
"Abalone",29,"SSS",4.65771257933254
"Abalone",30,"SSS",4.6917467999716
"Abalone",31,"SSS",4.6932914003052
"Abalone",32,"SSS",4.69120581394899
"Abalone",33,"SSS",4.69329200951581
"Abalone",34,"SSS",4.65986778617448
