"dataset","sim","method","mse"
"Ailerons",1,"RF",2.75267618500846e-08
"Ailerons",2,"RF",2.75183746299894e-08
"Ailerons",3,"RF",2.77732278094362e-08
"Ailerons",4,"RF",2.74696909538444e-08
"Ailerons",5,"RF",2.72164680561419e-08
"Ailerons",6,"RF",2.75107660176583e-08
"Ailerons",7,"RF",2.76078391318523e-08
"Ailerons",8,"RF",2.77664508383943e-08
"Ailerons",9,"RF",2.78305785584428e-08
"Ailerons",10,"RF",2.77304181413922e-08
"Ailerons",11,"RF",2.75785502959707e-08
"Ailerons",12,"RF",2.73569472977477e-08
"Ailerons",13,"RF",2.77578884345417e-08
"Ailerons",14,"RF",2.78403400560342e-08
"Ailerons",15,"RF",2.74744000324553e-08
"Ailerons",16,"RF",2.76217671955085e-08
"Ailerons",17,"RF",2.7310999991505e-08
"Ailerons",18,"RF",2.77780251455898e-08
"Ailerons",19,"RF",2.77809941329065e-08
"Ailerons",20,"RF",2.76141849221485e-08
"Ailerons",21,"RF",2.76623691750947e-08
"Ailerons",22,"RF",2.74350112947567e-08
"Ailerons",23,"RF",2.77176433525109e-08
"Ailerons",24,"RF",2.75994006569601e-08
"Ailerons",25,"RF",2.77193973714788e-08
"Ailerons",26,"RF",2.75462004805306e-08
"Ailerons",27,"RF",2.75955822936693e-08
"Ailerons",28,"RF",2.74312684731898e-08
"Ailerons",29,"RF",2.75224048744589e-08
"Ailerons",30,"RF",2.76897945298299e-08
"Ailerons",31,"RF",2.73988508333587e-08
"Ailerons",32,"RF",2.752585549841e-08
"Ailerons",33,"RF",2.75366872351942e-08
"Ailerons",34,"RF",2.7664139235193e-08
"Ailerons",35,"RF",2.77253733328315e-08
"Ailerons",36,"RF",2.75593489714251e-08
"Ailerons",37,"RF",2.76934071022435e-08
"Ailerons",38,"RF",2.76260908106378e-08
"Ailerons",39,"RF",2.78988860429972e-08
"Ailerons",40,"RF",2.7897255650556e-08
"Ailerons",41,"RF",2.75668925725075e-08
"Ailerons",42,"RF",2.76482697793146e-08
"Ailerons",43,"RF",2.73163088015445e-08
"Ailerons",44,"RF",2.75544942405669e-08
"Ailerons",45,"RF",2.75231271607791e-08
"Ailerons",46,"RF",2.76388251099814e-08
"Ailerons",47,"RF",2.76004727276382e-08
"Ailerons",48,"RF",2.77806643750664e-08
"Ailerons",49,"RF",2.75988058706582e-08
"Ailerons",50,"RF",2.76842580429296e-08
"Ailerons",1,"SSS",2.74277783977551e-08
"Ailerons",2,"SSS",2.7407057203899e-08
"Ailerons",3,"SSS",2.74639787165356e-08
"Ailerons",4,"SSS",2.75125244631122e-08
"Ailerons",5,"SSS",2.74518513940461e-08
"Ailerons",6,"SSS",2.79045010342916e-08
"Ailerons",7,"SSS",2.7790401375986e-08
"Ailerons",8,"SSS",2.77081709087969e-08
"Ailerons",9,"SSS",2.76186710710334e-08
"Ailerons",10,"SSS",2.75015923096495e-08
"Ailerons",11,"SSS",2.76732014965773e-08
