"dataset","sim","method","mse"
"Airquality",1,"RF",296.939637527213
"Airquality",2,"RF",337.558241919569
"Airquality",3,"RF",329.31664237674
"Airquality",4,"RF",329.776507556535
"Airquality",5,"RF",308.51463222707
"Airquality",6,"RF",324.414470143622
"Airquality",7,"RF",312.973683367945
"Airquality",8,"RF",330.056885215523
"Airquality",9,"RF",303.149635724144
"Airquality",10,"RF",293.297057503067
"Airquality",11,"RF",323.286813116655
"Airquality",12,"RF",317.373415295983
"Airquality",13,"RF",309.571506077027
"Airquality",14,"RF",305.384721148172
"Airquality",15,"RF",308.495470480853
"Airquality",16,"RF",302.729499108862
"Airquality",17,"RF",310.118707254569
"Airquality",18,"RF",305.190944230644
"Airquality",19,"RF",312.470513550747
"Airquality",20,"RF",304.283453977254
"Airquality",21,"RF",350.327693442415
"Airquality",22,"RF",331.242370255586
"Airquality",23,"RF",306.570588358536
"Airquality",24,"RF",318.719915539846
"Airquality",25,"RF",306.692290993124
"Airquality",26,"RF",328.032368427275
"Airquality",27,"RF",316.14368937047
"Airquality",28,"RF",299.458371808801
"Airquality",29,"RF",334.508663972464
"Airquality",30,"RF",312.70644499675
"Airquality",31,"RF",314.950566415414
"Airquality",32,"RF",315.479751266153
"Airquality",33,"RF",337.837563589023
"Airquality",34,"RF",314.398291726126
"Airquality",35,"RF",321.837345580746
"Airquality",36,"RF",302.128445851585
"Airquality",37,"RF",345.299131566813
"Airquality",38,"RF",306.510166659163
"Airquality",39,"RF",297.2119338595
"Airquality",40,"RF",296.94990942554
"Airquality",41,"RF",343.831141489058
"Airquality",42,"RF",330.626519261814
"Airquality",43,"RF",313.488270179531
"Airquality",44,"RF",297.036142238557
"Airquality",45,"RF",318.076338007531
"Airquality",46,"RF",313.56740256503
"Airquality",47,"RF",323.814969148857
"Airquality",48,"RF",306.767016405963
"Airquality",49,"RF",312.483253326837
"Airquality",50,"RF",337.108750303792
"Airquality",1,"SSS",284.019729155784
"Airquality",2,"SSS",325.685636115052
"Airquality",3,"SSS",317.731899943984
"Airquality",4,"SSS",304.651806953864
"Airquality",5,"SSS",298.596641105331
"Airquality",6,"SSS",325.098851669417
"Airquality",7,"SSS",321.270841282987
"Airquality",8,"SSS",321.746193689748
"Airquality",9,"SSS",298.922645887554
"Airquality",10,"SSS",315.034164972735
"Airquality",11,"SSS",319.015804860387
"Airquality",12,"SSS",308.143841374933
"Airquality",13,"SSS",315.435380017641
"Airquality",14,"SSS",320.951481118582
"Airquality",15,"SSS",313.208588656845
"Airquality",16,"SSS",305.092771547389
"Airquality",17,"SSS",291.853317762567
"Airquality",18,"SSS",288.463702033783
"Airquality",19,"SSS",298.888996818902
"Airquality",20,"SSS",301.896615478377
"Airquality",21,"SSS",318.474327305718
"Airquality",22,"SSS",313.338522031396
"Airquality",23,"SSS",301.840697604487
"Airquality",24,"SSS",341.010740297254
"Airquality",25,"SSS",310.40435727091
"Airquality",26,"SSS",317.859624867004
"Airquality",27,"SSS",308.144009953768
"Airquality",28,"SSS",292.475485504338
"Airquality",29,"SSS",320.196827026184
"Airquality",30,"SSS",289.121873595212
"Airquality",31,"SSS",335.157477186445
"Airquality",32,"SSS",319.994092480385
"Airquality",33,"SSS",320.071369150021
"Airquality",34,"SSS",328.696488269053
"Airquality",35,"SSS",311.820965330249
"Airquality",36,"SSS",309.104831972207
"Airquality",37,"SSS",345.909220045326
"Airquality",38,"SSS",310.251536660533
"Airquality",39,"SSS",315.824982609297
"Airquality",40,"SSS",332.101177438117
"Airquality",41,"SSS",318.347011058512
"Airquality",42,"SSS",310.494329987638
"Airquality",43,"SSS",326.403514616037
"Airquality",44,"SSS",300.274711795193
"Airquality",45,"SSS",311.957124954008
"Airquality",46,"SSS",293.665034793235
"Airquality",47,"SSS",314.570970047698
"Airquality",48,"SSS",315.225463278459
"Airquality",49,"SSS",327.383621161151
"Airquality",50,"SSS",316.093040219472
"Airquality",1,"ER",323.495687800649
"Airquality",2,"ER",318.836828523
"Airquality",3,"ER",347.83064299333
"Airquality",4,"ER",342.090858599925
"Airquality",5,"ER",340.891963939917
"Airquality",6,"ER",349.035499790709
"Airquality",7,"ER",346.553566891055
"Airquality",8,"ER",356.281906354411
"Airquality",9,"ER",335.319624007447
"Airquality",10,"ER",325.844375473325
"Airquality",11,"ER",344.410843626
"Airquality",12,"ER",321.104683172056
"Airquality",13,"ER",321.455807184321
"Airquality",14,"ER",354.261705078319
"Airquality",15,"ER",346.206487094989
"Airquality",16,"ER",312.024950456311
"Airquality",17,"ER",356.273539094949
"Airquality",18,"ER",348.598421945009
"Airquality",19,"ER",328.319539684345
"Airquality",20,"ER",347.929609812922
"Airquality",21,"ER",317.083165236579
"Airquality",22,"ER",315.247070816041
"Airquality",23,"ER",313.521954132321
"Airquality",24,"ER",371.39348009958
"Airquality",25,"ER",346.242077708145
"Airquality",26,"ER",326.232708607421
"Airquality",27,"ER",343.980115573547
"Airquality",28,"ER",337.864165241321
"Airquality",29,"ER",347.391091387289
"Airquality",30,"ER",348.599696562661
"Airquality",31,"ER",351.574142040907
"Airquality",32,"ER",344.202817988013
"Airquality",33,"ER",325.124269486292
"Airquality",34,"ER",358.034728476371
"Airquality",35,"ER",363.496600288397
"Airquality",36,"ER",344.68427148961
"Airquality",37,"ER",363.187740378016
"Airquality",38,"ER",331.690306930217
"Airquality",39,"ER",340.05939161301
"Airquality",40,"ER",343.097414853155
"Airquality",41,"ER",322.945900467409
"Airquality",42,"ER",353.699806589889
"Airquality",43,"ER",325.229791367343
"Airquality",44,"ER",325.162049327867
"Airquality",45,"ER",325.781927174559
"Airquality",46,"ER",328.873890001894
"Airquality",47,"ER",339.487437546167
"Airquality",48,"ER",318.561391275342
"Airquality",49,"ER",341.610417910935
"Airquality",50,"ER",339.942812340784
"Airquality",1,"AR",331.779183090886
"Airquality",2,"AR",351.832980658472
"Airquality",3,"AR",323.319826271107
"Airquality",4,"AR",318.6695907333
"Airquality",5,"AR",340.442631916095
"Airquality",6,"AR",333.983898716024
"Airquality",7,"AR",343.501620939891
"Airquality",8,"AR",332.735322366532
"Airquality",9,"AR",321.138440001531
"Airquality",10,"AR",319.610472834315
"Airquality",11,"AR",351.505021099301
"Airquality",12,"AR",317.845092780747
"Airquality",13,"AR",343.702460137978
"Airquality",14,"AR",313.374118652932
"Airquality",15,"AR",351.566832845045
"Airquality",16,"AR",303.341027866537
"Airquality",17,"AR",315.791213614752
"Airquality",18,"AR",331.605811693052
"Airquality",19,"AR",307.13033307622
"Airquality",20,"AR",327.014107007264
"Airquality",21,"AR",324.448698860424
"Airquality",22,"AR",318.139422409542
"Airquality",23,"AR",315.130997937079
"Airquality",24,"AR",321.426820080489
"Airquality",25,"AR",325.359473179958
"Airquality",26,"AR",310.428373517513
"Airquality",27,"AR",357.113962084751
"Airquality",28,"AR",354.506930059458
"Airquality",29,"AR",331.661938574064
"Airquality",30,"AR",373.553417673243
"Airquality",31,"AR",318.89524028348
"Airquality",32,"AR",310.388475486536
"Airquality",33,"AR",330.463180761613
"Airquality",34,"AR",343.582428562327
"Airquality",35,"AR",321.816216317675
"Airquality",36,"AR",338.57871681252
"Airquality",37,"AR",345.713971902592
"Airquality",38,"AR",325.516596413155
"Airquality",39,"AR",320.313304592333
"Airquality",40,"AR",330.37610620683
"Airquality",41,"AR",317.177735571756
"Airquality",42,"AR",335.10715887542
"Airquality",43,"AR",315.962900862094
"Airquality",44,"AR",326.813304242058
"Airquality",45,"AR",340.008050125431
"Airquality",46,"AR",327.775274500923
"Airquality",47,"AR",327.39227999762
"Airquality",48,"AR",338.111750790232
"Airquality",49,"AR",334.267473643943
"Airquality",50,"AR",334.626224058622
