"dataset","sim","method","misclass","auc"
"Breast Cancer",1,"RF",0.0292825768667643,0.992696671566965
"Breast Cancer",2,"RF",0.0263543191800878,0.992178370839459
"Breast Cancer",3,"RF",0.0248901903367496,0.991961626898865
"Breast Cancer",4,"RF",0.0263543191800878,0.992366843831279
"Breast Cancer",5,"RF",0.0292825768667643,0.992536469523917
"Breast Cancer",6,"RF",0.0248901903367496,0.992140676241095
"Breast Cancer",7,"RF",0.0248901903367496,0.992602435071054
"Breast Cancer",8,"RF",0.0263543191800878,0.992291454634551
"Breast Cancer",9,"RF",0.0278184480234261,0.992395114780052
"Breast Cancer",10,"RF",0.0263543191800878,0.992046439745184
"Breast Cancer",11,"RF",0.0263543191800878,0.992602435071054
"Breast Cancer",12,"RF",0.0263543191800878,0.992621282370236
"Breast Cancer",13,"RF",0.0263543191800878,0.992696671566965
"Breast Cancer",14,"RF",0.0278184480234261,0.992178370839459
"Breast Cancer",15,"RF",0.0263543191800878,0.992461080327189
"Breast Cancer",16,"RF",0.0263543191800878,0.992413962079234
"Breast Cancer",17,"RF",0.0263543191800878,0.992489351275962
"Breast Cancer",18,"RF",0.0292825768667643,0.992602435071054
"Breast Cancer",19,"RF",0.0292825768667643,0.992451656677598
"Breast Cancer",20,"RF",0.0292825768667643,0.992696671566965
"Breast Cancer",21,"RF",0.0263543191800878,0.992781484413284
"Breast Cancer",22,"RF",0.0248901903367496,0.992536469523917
"Breast Cancer",23,"RF",0.0278184480234261,0.99256474047269
"Breast Cancer",24,"RF",0.0263543191800878,0.992753213464511
"Breast Cancer",25,"RF",0.0278184480234261,0.991923932300501
"Breast Cancer",26,"RF",0.0307467057101025,0.992611858720645
"Breast Cancer",27,"RF",0.0292825768667643,0.99228203098496
"Breast Cancer",28,"RF",0.0263543191800878,0.992300878284142
"Breast Cancer",29,"RF",0.0263543191800878,0.992649553319009
"Breast Cancer",30,"RF",0.0263543191800878,0.992498774925553
"Breast Cancer",31,"RF",0.0263543191800878,0.992498774925553
"Breast Cancer",32,"RF",0.0263543191800878,0.99247050397678
"Breast Cancer",33,"RF",0.0263543191800878,0.992357420181688
"Breast Cancer",34,"RF",0.0278184480234261,0.992234912737005
"Breast Cancer",35,"RF",0.0248901903367496,0.992338572882506
"Breast Cancer",36,"RF",0.0263543191800878,0.992404538429643
"Breast Cancer",37,"RF",0.0263543191800878,0.992159523540277
"Breast Cancer",38,"RF",0.0248901903367496,0.992225489087414
"Breast Cancer",39,"RF",0.0263543191800878,0.992960533755513
"Breast Cancer",40,"RF",0.0263543191800878,0.992545893173508
"Breast Cancer",41,"RF",0.0263543191800878,0.992319725583324
"Breast Cancer",42,"RF",0.0278184480234261,0.992479927626371
"Breast Cancer",43,"RF",0.0278184480234261,0.992903991857967
"Breast Cancer",44,"RF",0.0278184480234261,0.992508198575144
"Breast Cancer",45,"RF",0.0263543191800878,0.992150099890686
"Breast Cancer",46,"RF",0.0263543191800878,0.992329149232915
"Breast Cancer",47,"RF",0.0292825768667643,0.992668400618191
"Breast Cancer",48,"RF",0.0278184480234261,0.992583587771872
"Breast Cancer",49,"RF",0.0263543191800878,0.992536469523917
"Breast Cancer",50,"RF",0.0278184480234261,0.992706095216556
"Breast Cancer",1,"SSS",0.0278184480234261,0.992291454634551
"Breast Cancer",2,"SSS",0.0278184480234261,0.992489351275962
"Breast Cancer",3,"SSS",0.0263543191800878,0.992357420181688
"Breast Cancer",4,"SSS",0.0278184480234261,0.992432809378416
"Breast Cancer",5,"SSS",0.0278184480234261,0.992545893173508
"Breast Cancer",6,"SSS",0.0292825768667643,0.99237626748087
"Breast Cancer",7,"SSS",0.0263543191800878,0.992677824267782
"Breast Cancer",8,"SSS",0.0248901903367496,0.992545893173508
"Breast Cancer",9,"SSS",0.0292825768667643,0.9926589769686
"Breast Cancer",10,"SSS",0.0263543191800878,0.992762637114102
"Breast Cancer",11,"SSS",0.0292825768667643,0.992875720909194
"Breast Cancer",12,"SSS",0.0263543191800878,0.99293226280674
"Breast Cancer",13,"SSS",0.0248901903367496,0.993073617550605
"Breast Cancer",14,"SSS",0.0263543191800878,0.992630706019827
"Breast Cancer",15,"SSS",0.0248901903367496,0.992819179011648
"Breast Cancer",16,"SSS",0.0263543191800878,0.992630706019827
"Breast Cancer",17,"SSS",0.0263543191800878,0.992734366165329
"Breast Cancer",18,"SSS",0.0278184480234261,0.992545893173508
"Breast Cancer",19,"SSS",0.0292825768667643,0.992790908062875
"Breast Cancer",20,"SSS",0.0263543191800878,0.992640129669418
"Breast Cancer",21,"SSS",0.0263543191800878,0.992517622224735
"Breast Cancer",22,"SSS",0.0292825768667643,0.993130159448151
"Breast Cancer",23,"SSS",0.0248901903367496,0.992545893173508
"Breast Cancer",24,"SSS",0.0278184480234261,0.992555316823099
"Breast Cancer",25,"SSS",0.0248901903367496,0.992706095216556
"Breast Cancer",26,"SSS",0.0278184480234261,0.992555316823099
"Breast Cancer",27,"SSS",0.0292825768667643,0.992800331712466
"Breast Cancer",28,"SSS",0.0278184480234261,0.992413962079234
"Breast Cancer",29,"SSS",0.0248901903367496,0.992272607335369
"Breast Cancer",30,"SSS",0.0263543191800878,0.992630706019827
"Breast Cancer",31,"SSS",0.0263543191800878,0.992536469523917
"Breast Cancer",32,"SSS",0.0263543191800878,0.992197218138641
"Breast Cancer",33,"SSS",0.0278184480234261,0.992395114780052
"Breast Cancer",34,"SSS",0.0292825768667643,0.993111312148969
"Breast Cancer",35,"SSS",0.0263543191800878,0.992527045874326
"Breast Cancer",36,"SSS",0.0278184480234261,0.992329149232915
"Breast Cancer",37,"SSS",0.0263543191800878,0.992319725583324
"Breast Cancer",38,"SSS",0.0248901903367496,0.99237626748087
"Breast Cancer",39,"SSS",0.0263543191800878,0.992489351275962
"Breast Cancer",40,"SSS",0.0278184480234261,0.99283802631083
"Breast Cancer",41,"SSS",0.0263543191800878,0.992602435071054
"Breast Cancer",42,"SSS",0.0278184480234261,0.992329149232915
"Breast Cancer",43,"SSS",0.0278184480234261,0.992668400618191
"Breast Cancer",44,"SSS",0.0263543191800878,0.992753213464511
"Breast Cancer",45,"SSS",0.0248901903367496,0.992357420181688
"Breast Cancer",46,"SSS",0.0248901903367496,0.992413962079234
"Breast Cancer",47,"SSS",0.0292825768667643,0.993092464849787
"Breast Cancer",48,"SSS",0.0263543191800878,0.992357420181688
"Breast Cancer",49,"SSS",0.0278184480234261,0.992621282370236
"Breast Cancer",50,"SSS",0.0278184480234261,0.992762637114102
"Breast Cancer",1,"ER",0.0322108345534407,0.993742696671567
"Breast Cancer",2,"ER",0.0307467057101025,0.993846356817068
"Breast Cancer",3,"ER",0.0292825768667643,0.994015982509706
"Breast Cancer",4,"ER",0.0322108345534407,0.99395944061216
"Breast Cancer",5,"ER",0.0322108345534407,0.993902898714614
"Breast Cancer",6,"ER",0.0307467057101025,0.993912322364205
"Breast Cancer",7,"ER",0.0322108345534407,0.994364657544574
"Breast Cancer",8,"ER",0.0336749633967789,0.993874627765841
"Breast Cancer",9,"ER",0.0336749633967789,0.993884051415432
"Breast Cancer",10,"ER",0.0307467057101025,0.994383504843756
"Breast Cancer",11,"ER",0.0307467057101025,0.993902898714614
"Breast Cancer",12,"ER",0.0307467057101025,0.993893475065023
"Breast Cancer",13,"ER",0.0322108345534407,0.993968864261751
"Breast Cancer",14,"ER",0.0307467057101025,0.99460967243394
"Breast Cancer",15,"ER",0.0336749633967789,0.994374081194165
