"dataset","sim","method","misclass","auc"
"Birthwt",1,"RF",0.338624338624339,0.634159061277705
"Birthwt",2,"RF",0.328042328042328,0.634419817470665
"Birthwt",3,"RF",0.338624338624339,0.636114732724902
"Birthwt",4,"RF",0.333333333333333,0.632855280312907
"Birthwt",5,"RF",0.333333333333333,0.637940026075619
"Birthwt",6,"RF",0.338624338624339,0.637027379400261
"Birthwt",7,"RF",0.338624338624339,0.645110821382008
"Birthwt",8,"RF",0.338624338624339,0.639765319426336
"Birthwt",9,"RF",0.343915343915344,0.645632333767927
"Birthwt",10,"RF",0.333333333333333,0.634680573663625
"Birthwt",11,"RF",0.322751322751323,0.638200782268579
"Birthwt",12,"RF",0.338624338624339,0.635202086049544
"Birthwt",13,"RF",0.328042328042328,0.641981747066493
"Birthwt",14,"RF",0.338624338624339,0.641460234680574
"Birthwt",15,"RF",0.328042328042328,0.640938722294655
"Birthwt",16,"RF",0.338624338624339,0.644850065189048
"Birthwt",17,"RF",0.328042328042328,0.642503259452412
"Birthwt",18,"RF",0.333333333333333,0.643155149934811
"Birthwt",19,"RF",0.328042328042328,0.647066492829205
"Birthwt",20,"RF",0.338624338624339,0.632464146023468
"Birthwt",21,"RF",0.328042328042328,0.644458930899609
"Birthwt",22,"RF",0.333333333333333,0.643285528031291
"Birthwt",23,"RF",0.333333333333333,0.638331160365059
"Birthwt",24,"RF",0.333333333333333,0.639113428943937
"Birthwt",25,"RF",0.338624338624339,0.640286831812256
"Birthwt",26,"RF",0.322751322751323,0.640286831812256
"Birthwt",27,"RF",0.349206349206349,0.634419817470665
"Birthwt",28,"RF",0.338624338624339,0.641590612777053
"Birthwt",29,"RF",0.328042328042328,0.639504563233377
"Birthwt",30,"RF",0.333333333333333,0.63754889178618
"Birthwt",31,"RF",0.333333333333333,0.641069100391134
"Birthwt",32,"RF",0.343915343915344,0.632855280312907
"Birthwt",33,"RF",0.333333333333333,0.638591916558018
"Birthwt",34,"RF",0.333333333333333,0.641590612777053
"Birthwt",35,"RF",0.343915343915344,0.639895697522816
"Birthwt",36,"RF",0.322751322751323,0.644719687092568
"Birthwt",37,"RF",0.328042328042328,0.633507170795306
"Birthwt",38,"RF",0.333333333333333,0.641981747066493
"Birthwt",39,"RF",0.343915343915344,0.638331160365059
"Birthwt",40,"RF",0.333333333333333,0.635071707953064
"Birthwt",41,"RF",0.338624338624339,0.642503259452412
"Birthwt",42,"RF",0.343915343915344,0.636636245110821
"Birthwt",43,"RF",0.333333333333333,0.638070404172099
"Birthwt",44,"RF",0.328042328042328,0.638200782268579
"Birthwt",45,"RF",0.333333333333333,0.642894393741851
"Birthwt",46,"RF",0.349206349206349,0.64380704041721
"Birthwt",47,"RF",0.333333333333333,0.641590612777053
"Birthwt",48,"RF",0.333333333333333,0.638722294654498
"Birthwt",49,"RF",0.328042328042328,0.645501955671447
"Birthwt",50,"RF",0.338624338624339,0.649413298565841
"Birthwt",1,"SSS",0.333333333333333,0.642503259452412
"Birthwt",2,"SSS",0.333333333333333,0.643285528031291
"Birthwt",3,"SSS",0.343915343915344,0.641720990873533
"Birthwt",4,"SSS",0.333333333333333,0.639895697522816
"Birthwt",5,"SSS",0.333333333333333,0.645110821382008
"Birthwt",6,"SSS",0.349206349206349,0.634810951760104
"Birthwt",7,"SSS",0.333333333333333,0.643024771838331
"Birthwt",8,"SSS",0.338624338624339,0.642372881355932
"Birthwt",9,"SSS",0.328042328042328,0.645501955671447
"Birthwt",10,"SSS",0.328042328042328,0.640547588005215
"Birthwt",11,"SSS",0.328042328042328,0.642372881355932
"Birthwt",12,"SSS",0.338624338624339,0.648109517601043
"Birthwt",13,"SSS",0.333333333333333,0.640286831812256
"Birthwt",14,"SSS",0.333333333333333,0.644328552803129
"Birthwt",15,"SSS",0.322751322751323,0.641851368970013
"Birthwt",16,"SSS",0.328042328042328,0.643024771838331
"Birthwt",17,"SSS",0.328042328042328,0.645110821382008
"Birthwt",18,"SSS",0.333333333333333,0.636766623207301
"Birthwt",19,"SSS",0.349206349206349,0.640417209908735
"Birthwt",20,"SSS",0.333333333333333,0.635593220338983
"Birthwt",21,"SSS",0.333333333333333,0.647979139504563
"Birthwt",22,"SSS",0.333333333333333,0.650847457627119
"Birthwt",23,"SSS",0.333333333333333,0.642242503259452
"Birthwt",24,"SSS",0.333333333333333,0.640938722294655
"Birthwt",25,"SSS",0.333333333333333,0.638461538461538
"Birthwt",26,"SSS",0.338624338624339,0.647327249022164
"Birthwt",27,"SSS",0.338624338624339,0.638461538461538
"Birthwt",28,"SSS",0.328042328042328,0.638591916558018
"Birthwt",29,"SSS",0.333333333333333,0.641460234680574
"Birthwt",30,"SSS",0.333333333333333,0.645893089960887
"Birthwt",31,"SSS",0.333333333333333,0.640026075619296
"Birthwt",32,"SSS",0.333333333333333,0.638070404172099
"Birthwt",33,"SSS",0.338624338624339,0.643155149934811
"Birthwt",34,"SSS",0.343915343915344,0.635071707953064
"Birthwt",35,"SSS",0.338624338624339,0.633637548891786
"Birthwt",36,"SSS",0.333333333333333,0.640417209908735
"Birthwt",37,"SSS",0.333333333333333,0.640286831812256
"Birthwt",38,"SSS",0.338624338624339,0.639504563233377
"Birthwt",39,"SSS",0.343915343915344,0.639765319426336
"Birthwt",40,"SSS",0.349206349206349,0.643415906127771
"Birthwt",41,"SSS",0.317460317460317,0.641851368970013
"Birthwt",42,"SSS",0.333333333333333,0.640938722294655
"Birthwt",43,"SSS",0.343915343915344,0.645371577574967
"Birthwt",44,"SSS",0.322751322751323,0.640547588005215
"Birthwt",45,"SSS",0.349206349206349,0.642503259452412
"Birthwt",46,"SSS",0.338624338624339,0.639243807040417
"Birthwt",47,"SSS",0.333333333333333,0.641720990873533
"Birthwt",48,"SSS",0.343915343915344,0.642372881355932
"Birthwt",49,"SSS",0.333333333333333,0.634159061277705
"Birthwt",50,"SSS",0.328042328042328,0.639113428943937
"Birthwt",1,"ER",0.328042328042328,0.651238591916558
"Birthwt",2,"ER",0.317460317460317,0.657627118644068
"Birthwt",3,"ER",0.333333333333333,0.651760104302477
"Birthwt",4,"ER",0.328042328042328,0.653976531942634
"Birthwt",5,"ER",0.322751322751323,0.657887874837027
"Birthwt",6,"ER",0.322751322751323,0.659322033898305
"Birthwt",7,"ER",0.322751322751323,0.657366362451108
"Birthwt",8,"ER",0.333333333333333,0.656844850065189
"Birthwt",9,"ER",0.317460317460317,0.651368970013038
"Birthwt",10,"ER",0.333333333333333,0.645762711864407
"Birthwt",11,"ER",0.317460317460317,0.652672750977836
"Birthwt",12,"ER",0.317460317460317,0.653455019556714
"Birthwt",13,"ER",0.328042328042328,0.657366362451108
"Birthwt",14,"ER",0.322751322751323,0.661408083441982
"Birthwt",15,"ER",0.317460317460317,0.658800521512386
"Birthwt",16,"ER",0.317460317460317,0.654237288135593
"Birthwt",17,"ER",0.312169312169312,0.661408083441982
"Birthwt",18,"ER",0.322751322751323,0.653063885267275
"Birthwt",19,"ER",0.328042328042328,0.651368970013038
"Birthwt",20,"ER",0.333333333333333,0.655280312907432
"Birthwt",21,"ER",0.328042328042328,0.660234680573664
"Birthwt",22,"ER",0.322751322751323,0.660756192959583
"Birthwt",23,"ER",0.322751322751323,0.658670143415906
"Birthwt",24,"ER",0.322751322751323,0.657366362451108
"Birthwt",25,"ER",0.322751322751323,0.656584093872229
"Birthwt",26,"ER",0.317460317460317,0.656584093872229
"Birthwt",27,"ER",0.338624338624339,0.661929595827901
"Birthwt",28,"ER",0.317460317460317,0.654758800521512
"Birthwt",29,"ER",0.328042328042328,0.651108213820078
"Birthwt",30,"ER",0.328042328042328,0.658409387222947
"Birthwt",31,"ER",0.322751322751323,0.658018252933507
"Birthwt",32,"ER",0.328042328042328,0.655410691003911
"Birthwt",33,"ER",0.312169312169312,0.650586701434159
"Birthwt",34,"ER",0.322751322751323,0.655280312907432
"Birthwt",35,"ER",0.333333333333333,0.657757496740548
"Birthwt",36,"ER",0.322751322751323,0.659452411994785
"Birthwt",37,"ER",0.317460317460317,0.648370273794003
"Birthwt",38,"ER",0.328042328042328,0.664928292046936
"Birthwt",39,"ER",0.333333333333333,0.655671447196871
"Birthwt",40,"ER",0.317460317460317,0.658279009126467
"Birthwt",41,"ER",0.328042328042328,0.651238591916558
"Birthwt",42,"ER",0.317460317460317,0.649152542372881
"Birthwt",43,"ER",0.322751322751323,0.660104302477184
"Birthwt",44,"ER",0.333333333333333,0.65019556714472
"Birthwt",45,"ER",0.322751322751323,0.656714471968709
"Birthwt",46,"ER",0.328042328042328,0.655149934810952
"Birthwt",47,"ER",0.312169312169312,0.657757496740548
"Birthwt",48,"ER",0.328042328042328,0.655801825293351
"Birthwt",49,"ER",0.333333333333333,0.651368970013038
"Birthwt",50,"ER",0.333333333333333,0.651108213820078
"Birthwt",1,"AR",0.333333333333333,0.64993481095176
"Birthwt",2,"AR",0.338624338624339,0.64980443285528
"Birthwt",3,"AR",0.333333333333333,0.646936114732725
"Birthwt",4,"AR",0.333333333333333,0.651890482398957
"Birthwt",5,"AR",0.322751322751323,0.651238591916558
"Birthwt",6,"AR",0.338624338624339,0.652803129074315
"Birthwt",7,"AR",0.317460317460317,0.653324641460235
"Birthwt",8,"AR",0.322751322751323,0.652672750977836
"Birthwt",9,"AR",0.322751322751323,0.649543676662321
"Birthwt",10,"AR",0.322751322751323,0.644458930899609
"Birthwt",11,"AR",0.338624338624339,0.652672750977836
"Birthwt",12,"AR",0.328042328042328,0.653715775749674
"Birthwt",13,"AR",0.328042328042328,0.652411994784876
"Birthwt",14,"AR",0.328042328042328,0.649543676662321
"Birthwt",15,"AR",0.322751322751323,0.653194263363755
"Birthwt",16,"AR",0.328042328042328,0.652411994784876
"Birthwt",17,"AR",0.328042328042328,0.653324641460235
"Birthwt",18,"AR",0.333333333333333,0.64367666232073
"Birthwt",19,"AR",0.338624338624339,0.649282920469361
"Birthwt",20,"AR",0.333333333333333,0.653194263363755
"Birthwt",21,"AR",0.333333333333333,0.650456323337679
"Birthwt",22,"AR",0.333333333333333,0.653455019556714
"Birthwt",23,"AR",0.322751322751323,0.642894393741851
"Birthwt",24,"AR",0.333333333333333,0.643415906127771
"Birthwt",25,"AR",0.322751322751323,0.648761408083442
"Birthwt",26,"AR",0.322751322751323,0.64980443285528
"Birthwt",27,"AR",0.328042328042328,0.648761408083442
"Birthwt",28,"AR",0.328042328042328,0.649674054758801
"Birthwt",29,"AR",0.333333333333333,0.650586701434159
"Birthwt",30,"AR",0.328042328042328,0.651890482398957
"Birthwt",31,"AR",0.333333333333333,0.651238591916558
"Birthwt",32,"AR",0.333333333333333,0.653194263363755
"Birthwt",33,"AR",0.333333333333333,0.654106910039113
"Birthwt",34,"AR",0.338624338624339,0.65006518904824
"Birthwt",35,"AR",0.328042328042328,0.651238591916558
