"dataset","sim","method","mse"
"Elevators",1,"RF",8.41529562944386e-06
"Elevators",2,"RF",8.47372890734169e-06
"Elevators",3,"RF",8.44487182904327e-06
"Elevators",4,"RF",8.48073901055377e-06
"Elevators",5,"RF",8.26726404244683e-06
"Elevators",6,"RF",8.45065384240364e-06
"Elevators",7,"RF",8.32248731261086e-06
"Elevators",8,"RF",8.39676379613007e-06
"Elevators",9,"RF",8.44227725801443e-06
"Elevators",10,"RF",8.42444790485356e-06
"Elevators",11,"RF",8.4528888377815e-06
"Elevators",12,"RF",8.46516466356933e-06
"Elevators",13,"RF",8.31761938765705e-06
"Elevators",14,"RF",8.33027144663275e-06
"Elevators",15,"RF",8.50771629790798e-06
"Elevators",16,"RF",8.32631221189497e-06
"Elevators",17,"RF",8.24528789704406e-06
"Elevators",18,"RF",8.43607675673883e-06
"Elevators",19,"RF",8.51387676294458e-06
"Elevators",20,"RF",8.4487192186359e-06
"Elevators",21,"RF",8.43887049018407e-06
"Elevators",22,"RF",8.54910278672829e-06
"Elevators",23,"RF",8.32799995861934e-06
"Elevators",24,"RF",8.4356704155911e-06
"Elevators",25,"RF",8.41493986408734e-06
"Elevators",26,"RF",8.40508357714473e-06
"Elevators",27,"RF",8.31274639966264e-06
"Elevators",28,"RF",8.43581388218135e-06
"Elevators",29,"RF",8.44299928651755e-06
"Elevators",30,"RF",8.51403929388443e-06
"Elevators",31,"RF",8.33563111612525e-06
"Elevators",32,"RF",8.28846626658523e-06
"Elevators",33,"RF",8.34335125594675e-06
"Elevators",34,"RF",8.39596986340551e-06
"Elevators",35,"RF",8.34352309659244e-06
"Elevators",36,"RF",8.42584966790028e-06
"Elevators",37,"RF",8.40970375782575e-06
"Elevators",38,"RF",8.46300703244171e-06
"Elevators",39,"RF",8.44520003666609e-06
"Elevators",40,"RF",8.47265288967041e-06
"Elevators",41,"RF",8.4533175112597e-06
"Elevators",42,"RF",8.48576452919573e-06
"Elevators",43,"RF",8.34705193632138e-06
"Elevators",44,"RF",8.4238532977228e-06
"Elevators",45,"RF",8.52096587813469e-06
"Elevators",46,"RF",8.5906896894838e-06
"Elevators",47,"RF",8.4510189223021e-06
"Elevators",48,"RF",8.37899530903369e-06
"Elevators",49,"RF",8.5063024086252e-06
"Elevators",50,"RF",8.50132844654346e-06
"Elevators",1,"SSS",8.33027282955735e-06
"Elevators",2,"SSS",8.28501155958149e-06
"Elevators",3,"SSS",8.27218772885042e-06
"Elevators",4,"SSS",8.27457447782405e-06
"Elevators",5,"SSS",8.25691076352487e-06
