"dataset","sim","method","mse"
"Friedman3",1,"RF",0.0175860670765948
"Friedman3",2,"RF",0.0167917379540843
"Friedman3",3,"RF",0.0164242836788769
"Friedman3",4,"RF",0.0169014986734535
"Friedman3",5,"RF",0.0167427652800265
"Friedman3",6,"RF",0.0165693367654491
"Friedman3",7,"RF",0.0164490634991512
"Friedman3",8,"RF",0.0168646558846118
"Friedman3",9,"RF",0.0167598766613595
"Friedman3",10,"RF",0.0162964446892205
"Friedman3",11,"RF",0.0166268177780168
"Friedman3",12,"RF",0.0164000324965391
"Friedman3",13,"RF",0.0163509648426227
"Friedman3",14,"RF",0.0162585062730729
"Friedman3",15,"RF",0.0164203320186828
"Friedman3",16,"RF",0.0165789075560786
"Friedman3",17,"RF",0.0167027210675378
"Friedman3",18,"RF",0.0163939951172835
"Friedman3",19,"RF",0.0163522055426372
"Friedman3",20,"RF",0.0169412784779216
"Friedman3",21,"RF",0.0173607536952009
"Friedman3",22,"RF",0.0163284023800063
"Friedman3",23,"RF",0.0166151253134867
"Friedman3",24,"RF",0.0167608290597734
"Friedman3",25,"RF",0.0167163295372831
"Friedman3",26,"RF",0.0167418580481645
"Friedman3",27,"RF",0.0161202284543732
"Friedman3",28,"RF",0.016468882166463
"Friedman3",29,"RF",0.0166565064225561
"Friedman3",30,"RF",0.0168106934559446
"Friedman3",31,"RF",0.0168098464829924
"Friedman3",32,"RF",0.017246743972316
"Friedman3",33,"RF",0.0167809227518632
"Friedman3",34,"RF",0.0162594408615928
"Friedman3",35,"RF",0.0168142082771673
"Friedman3",36,"RF",0.0169765486756392
"Friedman3",37,"RF",0.0163844385085213
"Friedman3",38,"RF",0.0166713944882467
"Friedman3",39,"RF",0.0167574012551336
"Friedman3",40,"RF",0.0162629445172858
"Friedman3",41,"RF",0.0169504969133636
"Friedman3",42,"RF",0.0164142379207943
"Friedman3",43,"RF",0.016134741448891
"Friedman3",44,"RF",0.0172450285244211
"Friedman3",45,"RF",0.0167201314797615
"Friedman3",46,"RF",0.0172057326629315
"Friedman3",47,"RF",0.0170117702960715
"Friedman3",48,"RF",0.0170791404828068
"Friedman3",49,"RF",0.0170325826615754
"Friedman3",50,"RF",0.0167953492121716
"Friedman3",1,"SSS",0.0172972443577474
"Friedman3",2,"SSS",0.0174438054115921
"Friedman3",3,"SSS",0.0172603185981474
"Friedman3",4,"SSS",0.0174851839714443
"Friedman3",5,"SSS",0.0169954678969885
"Friedman3",6,"SSS",0.0174382061399872
"Friedman3",7,"SSS",0.0175781552805455
"Friedman3",8,"SSS",0.0174234837889283
"Friedman3",9,"SSS",0.0167890354192299
"Friedman3",10,"SSS",0.0168006918024663
"Friedman3",11,"SSS",0.0166658550861443
"Friedman3",12,"SSS",0.0172034229833743
"Friedman3",13,"SSS",0.0171494830600256
"Friedman3",14,"SSS",0.0171302942955402
"Friedman3",15,"SSS",0.01711856536969
"Friedman3",16,"SSS",0.0172019607524536
"Friedman3",17,"SSS",0.017377687048838
"Friedman3",18,"SSS",0.0176260668418654
"Friedman3",19,"SSS",0.0180665650844672
"Friedman3",20,"SSS",0.0172568910657649
"Friedman3",21,"SSS",0.0180831130599347
"Friedman3",22,"SSS",0.0179290859601664
"Friedman3",23,"SSS",0.0174292649678349
"Friedman3",24,"SSS",0.016445504080666
"Friedman3",25,"SSS",0.0175262588166653
"Friedman3",26,"SSS",0.0168684302018731
"Friedman3",27,"SSS",0.0167056500266043
"Friedman3",28,"SSS",0.0170550041362832
"Friedman3",29,"SSS",0.0171901176737069
"Friedman3",30,"SSS",0.0172003347337479
"Friedman3",31,"SSS",0.0169717066475628
"Friedman3",32,"SSS",0.0164946164092891
"Friedman3",33,"SSS",0.0180147664475144
"Friedman3",34,"SSS",0.0170141815910469
"Friedman3",35,"SSS",0.0171145185672118
"Friedman3",36,"SSS",0.0174436920874795
"Friedman3",37,"SSS",0.0174880876480926
"Friedman3",38,"SSS",0.0179363039968752
"Friedman3",39,"SSS",0.017185222036493
"Friedman3",40,"SSS",0.0172916228774062
"Friedman3",41,"SSS",0.0174553464836887
"Friedman3",42,"SSS",0.017799808577739
"Friedman3",43,"SSS",0.0167842206368897
"Friedman3",44,"SSS",0.017024367254805
"Friedman3",45,"SSS",0.0173747029938643
"Friedman3",46,"SSS",0.0173402459015904
"Friedman3",47,"SSS",0.0172071944172269
"Friedman3",48,"SSS",0.0180127162426211
"Friedman3",49,"SSS",0.0168854688844491
"Friedman3",50,"SSS",0.0171055046550791
"Friedman3",1,"ER",0.0228166583502086
"Friedman3",2,"ER",0.02314365998052
"Friedman3",3,"ER",0.023531395772529
"Friedman3",4,"ER",0.0244875263930995
"Friedman3",5,"ER",0.0222412433788877
"Friedman3",6,"ER",0.0241216586760046
"Friedman3",7,"ER",0.023325084577135
"Friedman3",8,"ER",0.0225202022666073
"Friedman3",9,"ER",0.0228018268639884
"Friedman3",10,"ER",0.024682766463211
"Friedman3",11,"ER",0.0236815872269424
"Friedman3",12,"ER",0.0228369130289386
"Friedman3",13,"ER",0.0233985417548409
"Friedman3",14,"ER",0.0244676988544455
"Friedman3",15,"ER",0.0241548052025098
"Friedman3",16,"ER",0.0234740888994618
"Friedman3",17,"ER",0.0237259931934754
"Friedman3",18,"ER",0.024203103557789
"Friedman3",19,"ER",0.0233598146681337
"Friedman3",20,"ER",0.0226880381065311
"Friedman3",21,"ER",0.0230821833585472
"Friedman3",22,"ER",0.0245747428666432
"Friedman3",23,"ER",0.0224502336309798
"Friedman3",24,"ER",0.0235945961680905
"Friedman3",25,"ER",0.0234043415566905
"Friedman3",26,"ER",0.023453991354105
"Friedman3",27,"ER",0.0237777308220647
"Friedman3",28,"ER",0.0233420306271878
"Friedman3",29,"ER",0.0238106910547171
"Friedman3",30,"ER",0.0224277850593152
"Friedman3",31,"ER",0.0236271874267808
"Friedman3",32,"ER",0.0241582125732487
"Friedman3",33,"ER",0.0232803205517682
"Friedman3",34,"ER",0.0230596663538199
"Friedman3",35,"ER",0.0230397051529015
"Friedman3",36,"ER",0.0235759169382036
