"dataset","sim","method","misclass","auc"
"German",1,"RF",0.232,0.797857142857143
"German",2,"RF",0.229,0.798752380952381
"German",3,"RF",0.227,0.796352380952381
"German",4,"RF",0.226,0.8007
"German",5,"RF",0.228,0.797204761904762
"German",6,"RF",0.229,0.797628571428571
"German",7,"RF",0.232,0.798066666666667
"German",8,"RF",0.229,0.795933333333333
"German",9,"RF",0.231,0.799957142857143
"German",10,"RF",0.23,0.796595238095238
"German",11,"RF",0.234,0.800247619047619
"German",12,"RF",0.221,0.798509523809524
"German",13,"RF",0.23,0.798285714285714
"German",14,"RF",0.228,0.800238095238095
"German",15,"RF",0.232,0.799452380952381
"German",16,"RF",0.227,0.799061904761905
"German",17,"RF",0.227,0.799133333333333
"German",18,"RF",0.231,0.797633333333333
"German",19,"RF",0.223,0.799019047619048
"German",20,"RF",0.234,0.798285714285714
"German",21,"RF",0.232,0.795580952380952
"German",22,"RF",0.228,0.798795238095238
"German",23,"RF",0.23,0.80022380952381
"German",24,"RF",0.227,0.7967
"German",25,"RF",0.228,0.796847619047619
"German",26,"RF",0.231,0.796109523809524
"German",27,"RF",0.23,0.801204761904762
"German",28,"RF",0.227,0.799104761904762
"German",29,"RF",0.232,0.796280952380952
"German",30,"RF",0.229,0.797071428571429
"German",31,"RF",0.23,0.798052380952381
"German",32,"RF",0.227,0.797828571428571
"German",33,"RF",0.228,0.7999
"German",34,"RF",0.232,0.799728571428571
"German",35,"RF",0.235,0.800090476190476
"German",36,"RF",0.239,0.796966666666667
"German",37,"RF",0.225,0.798238095238095
"German",38,"RF",0.227,0.80172380952381
"German",39,"RF",0.238,0.7973
"German",40,"RF",0.225,0.800609523809524
"German",41,"RF",0.238,0.800152380952381
"German",42,"RF",0.239,0.797490476190476
"German",43,"RF",0.232,0.7982
"German",44,"RF",0.227,0.803233333333333
"German",45,"RF",0.231,0.7975
"German",46,"RF",0.234,0.798952380952381
"German",47,"RF",0.233,0.797004761904762
"German",48,"RF",0.232,0.797938095238095
"German",49,"RF",0.23,0.795114285714286
"German",50,"RF",0.23,0.798028571428571
"German",1,"SSS",0.236,0.797180952380952
"German",2,"SSS",0.233,0.799771428571429
"German",3,"SSS",0.226,0.797166666666667
"German",4,"SSS",0.234,0.79762380952381
"German",5,"SSS",0.231,0.799338095238095
"German",6,"SSS",0.233,0.795695238095238
"German",7,"SSS",0.227,0.805157142857143
"German",8,"SSS",0.231,0.800371428571429
"German",9,"SSS",0.232,0.798780952380952
"German",10,"SSS",0.229,0.798690476190476
"German",11,"SSS",0.23,0.7981
"German",12,"SSS",0.236,0.796652380952381
"German",13,"SSS",0.229,0.800114285714286
"German",14,"SSS",0.227,0.797514285714286
"German",15,"SSS",0.232,0.798942857142857
"German",16,"SSS",0.231,0.796919047619048
"German",17,"SSS",0.229,0.8026
"German",18,"SSS",0.234,0.798480952380952
"German",19,"SSS",0.229,0.800352380952381
"German",20,"SSS",0.235,0.796071428571429
"German",21,"SSS",0.23,0.799271428571429
"German",22,"SSS",0.233,0.797714285714286
"German",23,"SSS",0.231,0.797219047619048
"German",24,"SSS",0.233,0.798985714285714
"German",25,"SSS",0.23,0.797914285714286
"German",26,"SSS",0.229,0.800466666666667
"German",27,"SSS",0.23,0.799695238095238
"German",28,"SSS",0.228,0.797333333333333
"German",29,"SSS",0.231,0.799371428571429
"German",30,"SSS",0.234,0.798161904761905
"German",31,"SSS",0.233,0.800428571428571
"German",32,"SSS",0.229,0.797495238095238
"German",33,"SSS",0.225,0.801719047619048
"German",34,"SSS",0.228,0.800357142857143
"German",35,"SSS",0.23,0.797433333333333
"German",36,"SSS",0.233,0.796357142857143
"German",37,"SSS",0.228,0.797061904761905
"German",38,"SSS",0.228,0.799609523809524
"German",39,"SSS",0.234,0.796695238095238
"German",40,"SSS",0.23,0.797204761904762
"German",41,"SSS",0.229,0.800771428571429
"German",42,"SSS",0.231,0.797647619047619
"German",43,"SSS",0.233,0.798938095238095
"German",44,"SSS",0.235,0.799557142857143
"German",45,"SSS",0.224,0.800976190476191
"German",46,"SSS",0.23,0.795823809523809
"German",47,"SSS",0.231,0.796790476190476
"German",48,"SSS",0.229,0.798890476190476
"German",49,"SSS",0.232,0.797471428571429
"German",50,"SSS",0.233,0.79852380952381
"German",1,"ER",0.247,0.800728571428571
"German",2,"ER",0.248,0.799957142857143
"German",3,"ER",0.241,0.795266666666667
"German",4,"ER",0.251,0.794609523809524
"German",5,"ER",0.24,0.800314285714286
"German",6,"ER",0.243,0.794757142857143
"German",7,"ER",0.248,0.798066666666667
"German",8,"ER",0.24,0.801114285714286
"German",9,"ER",0.245,0.800109523809524
"German",10,"ER",0.244,0.795519047619048
"German",11,"ER",0.243,0.799090476190476
"German",12,"ER",0.245,0.796252380952381
"German",13,"ER",0.244,0.799138095238095
"German",14,"ER",0.249,0.798961904761905
"German",15,"ER",0.254,0.798504761904762
"German",16,"ER",0.245,0.800209523809524
"German",17,"ER",0.24,0.797880952380952
"German",18,"ER",0.246,0.801252380952381
"German",19,"ER",0.245,0.796857142857143
"German",20,"ER",0.247,0.799304761904762
"German",21,"ER",0.241,0.798385714285714
"German",22,"ER",0.243,0.799385714285714
"German",23,"ER",0.247,0.797809523809524
"German",24,"ER",0.243,0.799161904761905
"German",25,"ER",0.238,0.80167619047619
"German",26,"ER",0.238,0.800752380952381
"German",27,"ER",0.249,0.795647619047619
"German",28,"ER",0.251,0.798157142857143
"German",29,"ER",0.245,0.802247619047619
"German",30,"ER",0.242,0.801138095238095
"German",31,"ER",0.246,0.797823809523809
"German",32,"ER",0.235,0.798590476190476
"German",33,"ER",0.249,0.800214285714286
"German",34,"ER",0.249,0.798914285714286
"German",35,"ER",0.241,0.7988
"German",36,"ER",0.242,0.798142857142857
"German",37,"ER",0.246,0.801942857142857
"German",38,"ER",0.24,0.796219047619048
"German",39,"ER",0.243,0.800519047619048
"German",40,"ER",0.25,0.798385714285714
"German",41,"ER",0.243,0.796333333333333
"German",42,"ER",0.238,0.798557142857143
"German",43,"ER",0.248,0.798871428571429
"German",44,"ER",0.247,0.799771428571429
"German",45,"ER",0.247,0.800752380952381
"German",46,"ER",0.244,0.796685714285714
"German",47,"ER",0.243,0.797652380952381
"German",48,"ER",0.239,0.798795238095238
"German",49,"ER",0.245,0.7972
"German",50,"ER",0.25,0.798128571428571
"German",1,"AR",0.231,0.79912380952381
"German",2,"AR",0.235,0.798238095238095
"German",3,"AR",0.24,0.79967619047619
"German",4,"AR",0.232,0.796390476190476
"German",5,"AR",0.24,0.798480952380952
"German",6,"AR",0.239,0.7978
"German",7,"AR",0.242,0.795990476190476
"German",8,"AR",0.24,0.796038095238095
"German",9,"AR",0.242,0.795271428571429
"German",10,"AR",0.24,0.798661904761905
"German",11,"AR",0.242,0.79742380952381
"German",12,"AR",0.24,0.796571428571429
"German",13,"AR",0.239,0.800219047619048
"German",14,"AR",0.245,0.798585714285714
"German",15,"AR",0.23,0.797238095238095
"German",16,"AR",0.24,0.798485714285714
"German",17,"AR",0.24,0.794152380952381
"German",18,"AR",0.233,0.798609523809524
"German",19,"AR",0.238,0.79932380952381
"German",20,"AR",0.24,0.800033333333333
"German",21,"AR",0.23,0.801233333333333
"German",22,"AR",0.234,0.797719047619048
"German",23,"AR",0.244,0.796709523809524
"German",24,"AR",0.236,0.797785714285714
"German",25,"AR",0.244,0.797876190476191
"German",26,"AR",0.233,0.798242857142857
"German",27,"AR",0.242,0.800642857142857
"German",28,"AR",0.241,0.798519047619048
"German",29,"AR",0.238,0.797614285714286
"German",30,"AR",0.24,0.801757142857143
"German",31,"AR",0.239,0.797152380952381
"German",32,"AR",0.237,0.794995238095238
"German",33,"AR",0.237,0.797533333333333
"German",34,"AR",0.246,0.798604761904762
"German",35,"AR",0.241,0.799509523809524
"German",36,"AR",0.241,0.798657142857143
"German",37,"AR",0.242,0.796685714285714
"German",38,"AR",0.239,0.798957142857143
"German",39,"AR",0.238,0.79632380952381
"German",40,"AR",0.24,0.800133333333333
"German",41,"AR",0.245,0.794114285714286
"German",42,"AR",0.234,0.797947619047619
"German",43,"AR",0.235,0.799371428571429
"German",44,"AR",0.242,0.800314285714286
"German",45,"AR",0.241,0.795566666666667
"German",46,"AR",0.244,0.797466666666667
"German",47,"AR",0.238,0.79617619047619
"German",48,"AR",0.243,0.800395238095238
"German",49,"AR",0.242,0.798338095238095
"German",50,"AR",0.24,0.797352380952381
