"dataset","sim","method","mse"
"Housing",1,"RF",10.2510969795824
"Housing",2,"RF",9.86554565701555
"Housing",3,"RF",9.56031111609287
"Housing",4,"RF",9.58490994336826
"Housing",5,"RF",9.23479368804318
"Housing",6,"RF",9.73529318962219
"Housing",7,"RF",9.70519090660386
"Housing",8,"RF",9.25115653168002
"Housing",9,"RF",9.49592660387024
"Housing",10,"RF",10.3160599122856
"Housing",11,"RF",9.91090741495335
"Housing",12,"RF",9.67785292907984
"Housing",13,"RF",9.36259042515645
"Housing",14,"RF",10.0183940005371
"Housing",15,"RF",9.79027589871919
"Housing",16,"RF",9.44976195966499
"Housing",17,"RF",9.53253942237699
"Housing",18,"RF",9.94729584668963
"Housing",19,"RF",9.56844517747514
"Housing",20,"RF",9.20143235788361
"Housing",21,"RF",9.71668299982529
"Housing",22,"RF",9.83050283749996
"Housing",23,"RF",9.89294681390205
"Housing",24,"RF",9.80826149557968
"Housing",25,"RF",8.61844581346054
"Housing",26,"RF",9.28993669398346
"Housing",27,"RF",10.0042190724093
"Housing",28,"RF",9.24297015267171
"Housing",29,"RF",9.53492181110818
"Housing",30,"RF",9.95021674346314
"Housing",31,"RF",9.9626584366632
"Housing",32,"RF",10.4247715108063
"Housing",33,"RF",9.56276045522578
"Housing",34,"RF",9.46026795457322
"Housing",35,"RF",9.24737504726575
"Housing",36,"RF",10.0010407877014
"Housing",37,"RF",9.26725043902969
"Housing",38,"RF",9.75374912456508
"Housing",39,"RF",9.80450669077405
"Housing",40,"RF",8.98869133328658
"Housing",41,"RF",9.44206510889796
"Housing",42,"RF",9.64883704520468
"Housing",43,"RF",10.0927554177281
"Housing",44,"RF",9.89016510080012
"Housing",45,"RF",9.59008523401179
"Housing",46,"RF",9.46294562532509
"Housing",47,"RF",9.67643964333891
"Housing",48,"RF",9.54062722827833
"Housing",49,"RF",9.78246437816298
"Housing",50,"RF",10.7450833935393
"Housing",1,"SSS",10.9428613040987
"Housing",2,"SSS",9.78709707156573
"Housing",3,"SSS",9.50256474636556
"Housing",4,"SSS",8.92551025892555
"Housing",5,"SSS",9.73978720942316
"Housing",6,"SSS",9.74128955783884
"Housing",7,"SSS",9.85196722142283
"Housing",8,"SSS",9.75123436870638
"Housing",9,"SSS",9.770362085423
"Housing",10,"SSS",9.39717500408162
"Housing",11,"SSS",9.80053205903935
"Housing",12,"SSS",9.68416802582741
"Housing",13,"SSS",9.92914139736537
"Housing",14,"SSS",9.470611382093
"Housing",15,"SSS",9.54818864090876
"Housing",16,"SSS",9.35277648556999
"Housing",17,"SSS",9.40663096363639
"Housing",18,"SSS",9.20012669642267
"Housing",19,"SSS",9.67327164223977
"Housing",20,"SSS",10.0633177558551
"Housing",21,"SSS",10.3848284849137
"Housing",22,"SSS",10.1062989679479
"Housing",23,"SSS",9.29719553767679
"Housing",24,"SSS",9.47834813038264
"Housing",25,"SSS",9.57806748294801
"Housing",26,"SSS",9.25688956112306
"Housing",27,"SSS",9.36832507770924
"Housing",28,"SSS",9.57636286932104
"Housing",29,"SSS",9.51313912263659
"Housing",30,"SSS",9.50883394258014
"Housing",31,"SSS",9.08309612143553
"Housing",32,"SSS",9.69506453069774
"Housing",33,"SSS",9.21820281217871
"Housing",34,"SSS",9.64855472000379
"Housing",35,"SSS",9.41179141915648
"Housing",36,"SSS",10.0572474996948
"Housing",37,"SSS",10.2314253601142
"Housing",38,"SSS",9.30605253085727
"Housing",39,"SSS",10.685216094545
"Housing",40,"SSS",9.60274165298842
"Housing",41,"SSS",9.51116186681699
"Housing",42,"SSS",9.78857790359294
"Housing",43,"SSS",10.0067889909712
"Housing",44,"SSS",9.31235979539051
"Housing",45,"SSS",9.50422243539103
"Housing",46,"SSS",9.12328283543628
"Housing",47,"SSS",9.04620165742635
"Housing",48,"SSS",10.1451736097895
"Housing",49,"SSS",9.70613671856916
"Housing",50,"SSS",9.4037254845542
"Housing",1,"ER",11.7967731770897
"Housing",2,"ER",11.7798430845038
"Housing",3,"ER",11.6311932683152
"Housing",4,"ER",11.981413378568
"Housing",5,"ER",11.1239361567928
"Housing",6,"ER",12.1485807078241
"Housing",7,"ER",11.6838806147549
"Housing",8,"ER",12.06813200799
"Housing",9,"ER",11.5697810319404
"Housing",10,"ER",11.8302290219896
"Housing",11,"ER",11.189166775485
"Housing",12,"ER",11.4786751396449
"Housing",13,"ER",11.4458388080811
"Housing",14,"ER",11.0935288293099
"Housing",15,"ER",11.3526860058147
"Housing",16,"ER",11.6623392866756
"Housing",17,"ER",11.6659925268071
"Housing",18,"ER",11.4309110372288
"Housing",19,"ER",11.2994251915095
"Housing",20,"ER",11.9616958017069
"Housing",21,"ER",11.2605735812119
"Housing",22,"ER",12.0804741470978
"Housing",23,"ER",11.9817431770646
"Housing",24,"ER",11.6295693849703
"Housing",25,"ER",12.142937797945
"Housing",26,"ER",11.0019685779678
"Housing",27,"ER",11.8771796078394
"Housing",28,"ER",10.9247758917686
"Housing",29,"ER",11.6167545774877
"Housing",30,"ER",11.8844317541704
"Housing",31,"ER",11.2127654190668
"Housing",32,"ER",11.5224827480348
"Housing",33,"ER",10.9838735682199
"Housing",34,"ER",11.6366959747993
"Housing",35,"ER",12.2224869714247
"Housing",36,"ER",11.9377082067836
"Housing",37,"ER",12.2032752130685
"Housing",38,"ER",11.4657340459132
"Housing",39,"ER",12.6144723650333
"Housing",40,"ER",11.882151437916
"Housing",41,"ER",11.911703910241
"Housing",42,"ER",11.4837580005879
"Housing",43,"ER",11.4489262573672
"Housing",44,"ER",12.4507118270857
"Housing",45,"ER",11.2738283492684
"Housing",46,"ER",11.1989012602369
"Housing",47,"ER",10.9726609404858
"Housing",48,"ER",12.0537949080007
"Housing",49,"ER",11.3191706546172
"Housing",50,"ER",11.1603874854714
"Housing",1,"AR",14.7986468728243
"Housing",2,"AR",15.2846028360486
"Housing",3,"AR",15.0937284933737
"Housing",4,"AR",14.8148585661745
"Housing",5,"AR",14.5490033302628
"Housing",6,"AR",14.8443044345198
"Housing",7,"AR",15.9186913204972
"Housing",8,"AR",15.1218333421686
"Housing",9,"AR",13.7919197906607
"Housing",10,"AR",15.654245280403
"Housing",11,"AR",14.335495162468
"Housing",12,"AR",14.6990497737771
"Housing",13,"AR",15.42883665099
"Housing",14,"AR",14.4980303014581
"Housing",15,"AR",14.9561144724677
"Housing",16,"AR",15.0509513783739
"Housing",17,"AR",15.0371405394754
"Housing",18,"AR",13.790338254266
"Housing",19,"AR",15.8931006257115
"Housing",20,"AR",15.5881168064244
"Housing",21,"AR",15.0474455763514
"Housing",22,"AR",15.6656821632753
"Housing",23,"AR",16.0102609494706
"Housing",24,"AR",15.4831844412556
"Housing",25,"AR",14.6088008219892
"Housing",26,"AR",14.923736587268
"Housing",27,"AR",14.4809174453416
"Housing",28,"AR",15.1612411712418
"Housing",29,"AR",15.9749598958377
"Housing",30,"AR",14.1363903694644
"Housing",31,"AR",15.2025010680932
"Housing",32,"AR",16.262209147248
"Housing",33,"AR",14.3477037780874
"Housing",34,"AR",15.2314777724623
"Housing",35,"AR",15.2167514278436
"Housing",36,"AR",16.0875651181028
"Housing",37,"AR",15.5458457042951
"Housing",38,"AR",15.1780655624335
"Housing",39,"AR",15.4244227261908
"Housing",40,"AR",15.5256203844534
"Housing",41,"AR",14.6691238939483
"Housing",42,"AR",14.8746740242287
"Housing",43,"AR",12.7346443544798
"Housing",44,"AR",15.8619931716074
"Housing",45,"AR",14.4486504694682
"Housing",46,"AR",14.9401690516156
"Housing",47,"AR",14.9297910514463
"Housing",48,"AR",14.8770050459112
"Housing",49,"AR",15.2039847132532
"Housing",50,"AR",15.3030027771668
