"dataset","sim","method","mse"
"Imports85",1,"RF",4145603.25018178
"Imports85",2,"RF",3872078.76662567
"Imports85",3,"RF",4170955.70566536
"Imports85",4,"RF",3736147.92068976
"Imports85",5,"RF",4316349.73631605
"Imports85",6,"RF",3993606.88539921
"Imports85",7,"RF",4208138.77957387
"Imports85",8,"RF",3965532.16059015
"Imports85",9,"RF",3987554.53308963
"Imports85",10,"RF",4127052.60474976
"Imports85",11,"RF",3932871.35921145
"Imports85",12,"RF",4090443.23981147
"Imports85",13,"RF",4630907.77000139
"Imports85",14,"RF",3857139.08826174
"Imports85",15,"RF",3930906.49705575
"Imports85",16,"RF",3929829.77859218
"Imports85",17,"RF",4146199.1114434
"Imports85",18,"RF",3873919.88802856
"Imports85",19,"RF",4175666.50489429
"Imports85",20,"RF",4344929.65353822
"Imports85",21,"RF",3829765.27776047
"Imports85",22,"RF",4003148.89948908
"Imports85",23,"RF",3972707.94235131
"Imports85",24,"RF",3986448.75999026
"Imports85",25,"RF",4077818.12177937
"Imports85",26,"RF",3942948.6712944
"Imports85",27,"RF",4277719.92378853
"Imports85",28,"RF",4228954.66160083
"Imports85",29,"RF",4080682.31683236
"Imports85",30,"RF",3715929.05517881
"Imports85",31,"RF",4186593.78077134
"Imports85",32,"RF",4279496.93068161
"Imports85",33,"RF",4051432.40204084
"Imports85",34,"RF",3928401.05768426
"Imports85",35,"RF",4044073.56276298
"Imports85",36,"RF",4231353.45759714
"Imports85",37,"RF",4176308.98460862
"Imports85",38,"RF",4139408.02418558
"Imports85",39,"RF",4071261.73651019
"Imports85",40,"RF",4021748.33238758
"Imports85",41,"RF",3745131.96887314
"Imports85",42,"RF",4137414.52643736
"Imports85",43,"RF",4322472.77161087
"Imports85",44,"RF",3909728.67890754
"Imports85",45,"RF",3937422.53405866
"Imports85",46,"RF",4039682.32640195
"Imports85",47,"RF",4076020.65974135
"Imports85",48,"RF",4263416.18529176
"Imports85",49,"RF",3982527.52646441
"Imports85",50,"RF",4017977.38310564
"Imports85",1,"SSS",4119600.53136368
"Imports85",2,"SSS",4340925.46395296
"Imports85",3,"SSS",4369908.08534926
"Imports85",4,"SSS",4328883.25434232
"Imports85",5,"SSS",4251865.53278649
"Imports85",6,"SSS",4237726.84528767
"Imports85",7,"SSS",4259908.82237159
"Imports85",8,"SSS",4304140.51529884
"Imports85",9,"SSS",4004242.5080081
"Imports85",10,"SSS",3991766.31883164
"Imports85",11,"SSS",4079968.64385158
"Imports85",12,"SSS",4118841.20719887
"Imports85",13,"SSS",4179682.01047563
"Imports85",14,"SSS",4062109.69380113
"Imports85",15,"SSS",4107299.04797531
"Imports85",16,"SSS",4151056.00805022
"Imports85",17,"SSS",4082958.04999914
"Imports85",18,"SSS",3932469.68568068
"Imports85",19,"SSS",4253243.08159214
"Imports85",20,"SSS",4405132.70640039
"Imports85",21,"SSS",3856117.76466574
"Imports85",22,"SSS",4199105.93854635
"Imports85",23,"SSS",4118725.09293825
"Imports85",24,"SSS",3844796.83286463
"Imports85",25,"SSS",4131548.6888542
"Imports85",26,"SSS",4184792.60331981
"Imports85",27,"SSS",4360102.55467638
"Imports85",28,"SSS",4107817.5815089
"Imports85",29,"SSS",4163498.8717264
"Imports85",30,"SSS",4222136.55761516
