"dataset","sim","method","misclass","auc"
"Ionosphere",1,"RF",0.0655270655270655,0.977671957671958
"Ionosphere",2,"RF",0.0683760683760684,0.97647266313933
"Ionosphere",3,"RF",0.0655270655270655,0.976860670194004
"Ionosphere",4,"RF",0.0655270655270655,0.975379188712522
"Ionosphere",5,"RF",0.0655270655270655,0.977425044091711
"Ionosphere",6,"RF",0.0655270655270655,0.977883597883598
"Ionosphere",7,"RF",0.0655270655270655,0.975837742504409
"Ionosphere",8,"RF",0.0655270655270655,0.976860670194004
"Ionosphere",9,"RF",0.0655270655270655,0.97689594356261
"Ionosphere",10,"RF",0.0655270655270655,0.977707231040564
"Ionosphere",11,"RF",0.0655270655270655,0.977495590828924
"Ionosphere",12,"RF",0.0655270655270655,0.977671957671958
"Ionosphere",13,"RF",0.0683760683760684,0.975908289241623
"Ionosphere",14,"RF",0.0655270655270655,0.976402116402116
"Ionosphere",15,"RF",0.0655270655270655,0.977248677248677
"Ionosphere",16,"RF",0.0626780626780627,0.976613756613757
"Ionosphere",17,"RF",0.0626780626780627,0.977566137566138
"Ionosphere",18,"RF",0.0655270655270655,0.976543209876543
"Ionosphere",19,"RF",0.0683760683760684,0.977389770723104
"Ionosphere",20,"RF",0.0655270655270655,0.978483245149912
"Ionosphere",21,"RF",0.0683760683760684,0.975837742504409
"Ionosphere",22,"RF",0.0655270655270655,0.976860670194004
"Ionosphere",23,"RF",0.0655270655270655,0.976225749559083
"Ionosphere",24,"RF",0.0655270655270655,0.976613756613757
"Ionosphere",25,"RF",0.0655270655270655,0.977636684303351
"Ionosphere",26,"RF",0.0712250712250712,0.976719576719577
"Ionosphere",27,"RF",0.0655270655270655,0.97721340388007
"Ionosphere",28,"RF",0.0655270655270655,0.977354497354497
"Ionosphere",29,"RF",0.0655270655270655,0.976613756613757
"Ionosphere",30,"RF",0.0655270655270655,0.977142857142857
"Ionosphere",31,"RF",0.0655270655270655,0.97647266313933
"Ionosphere",32,"RF",0.0655270655270655,0.977495590828924
"Ionosphere",33,"RF",0.0655270655270655,0.977072310405644
"Ionosphere",34,"RF",0.0655270655270655,0.97647266313933
"Ionosphere",35,"RF",0.0683760683760684,0.977742504409171
"Ionosphere",36,"RF",0.0655270655270655,0.978095238095238
"Ionosphere",37,"RF",0.0655270655270655,0.977883597883598
"Ionosphere",38,"RF",0.0683760683760684,0.97615520282187
"Ionosphere",39,"RF",0.0683760683760684,0.978201058201058
"Ionosphere",40,"RF",0.0683760683760684,0.977530864197531
"Ionosphere",41,"RF",0.0655270655270655,0.976402116402116
"Ionosphere",42,"RF",0.0626780626780627,0.976825396825397
"Ionosphere",43,"RF",0.0655270655270655,0.97700176366843
"Ionosphere",44,"RF",0.0655270655270655,0.976719576719577
"Ionosphere",45,"RF",0.0655270655270655,0.978800705467372
"Ionosphere",46,"RF",0.0655270655270655,0.97689594356261
"Ionosphere",47,"RF",0.0655270655270655,0.977248677248677
"Ionosphere",48,"RF",0.0655270655270655,0.977777777777778
"Ionosphere",49,"RF",0.0655270655270655,0.977707231040564
"Ionosphere",50,"RF",0.0655270655270655,0.977601410934744
"Ionosphere",1,"SSS",0.0683760683760684,0.978835978835979
"Ionosphere",2,"SSS",0.0683760683760684,0.979294532627866
