"dataset","sim","method","misclass","auc"
"Liver",1,"RF",0.252173913043478,0.782034482758621
"Liver",2,"RF",0.263768115942029,0.781758620689655
"Liver",3,"RF",0.266666666666667,0.779758620689655
"Liver",4,"RF",0.255072463768116,0.783724137931034
"Liver",5,"RF",0.257971014492754,0.780758620689655
"Liver",6,"RF",0.263768115942029,0.778275862068965
"Liver",7,"RF",0.255072463768116,0.771620689655172
"Liver",8,"RF",0.252173913043478,0.776310344827586
"Liver",9,"RF",0.249275362318841,0.781931034482759
"Liver",10,"RF",0.255072463768116,0.781310344827586
"Liver",11,"RF",0.249275362318841,0.781137931034483
"Liver",12,"RF",0.249275362318841,0.783896551724138
"Liver",13,"RF",0.260869565217391,0.777379310344828
"Liver",14,"RF",0.252173913043478,0.780137931034483
"Liver",15,"RF",0.269565217391304,0.780068965517241
"Liver",16,"RF",0.260869565217391,0.781172413793103
"Liver",17,"RF",0.252173913043478,0.776931034482759
"Liver",18,"RF",0.246376811594203,0.77848275862069
"Liver",19,"RF",0.246376811594203,0.781344827586207
"Liver",20,"RF",0.260869565217391,0.779034482758621
"Liver",21,"RF",0.243478260869565,0.782862068965517
"Liver",22,"RF",0.249275362318841,0.776931034482759
"Liver",23,"RF",0.257971014492754,0.777758620689655
"Liver",24,"RF",0.246376811594203,0.780931034482759
"Liver",25,"RF",0.260869565217391,0.777931034482759
"Liver",26,"RF",0.249275362318841,0.774137931034483
"Liver",27,"RF",0.260869565217391,0.777034482758621
"Liver",28,"RF",0.255072463768116,0.779965517241379
"Liver",29,"RF",0.246376811594203,0.778413793103448
"Liver",30,"RF",0.231884057971014,0.778310344827586
"Liver",31,"RF",0.255072463768116,0.779931034482759
"Liver",32,"RF",0.252173913043478,0.778758620689655
"Liver",33,"RF",0.240579710144928,0.780896551724138
"Liver",34,"RF",0.260869565217391,0.778586206896552
"Liver",35,"RF",0.252173913043478,0.776344827586207
"Liver",36,"RF",0.260869565217391,0.776655172413793
"Liver",37,"RF",0.249275362318841,0.780758620689655
"Liver",38,"RF",0.252173913043478,0.779551724137931
"Liver",39,"RF",0.249275362318841,0.776724137931034
"Liver",40,"RF",0.257971014492754,0.778137931034483
"Liver",41,"RF",0.249275362318841,0.777655172413793
"Liver",42,"RF",0.252173913043478,0.783413793103448
"Liver",43,"RF",0.257971014492754,0.778965517241379
"Liver",44,"RF",0.269565217391304,0.784034482758621
"Liver",45,"RF",0.260869565217391,0.77651724137931
"Liver",46,"RF",0.260869565217391,0.777413793103448
"Liver",47,"RF",0.246376811594203,0.781862068965517
"Liver",48,"RF",0.252173913043478,0.77751724137931
"Liver",49,"RF",0.246376811594203,0.78051724137931
"Liver",50,"RF",0.249275362318841,0.781862068965517
"Liver",1,"SSS",0.257971014492754,0.778827586206897
"Liver",2,"SSS",0.249275362318841,0.787
"Liver",3,"SSS",0.255072463768116,0.774068965517241
"Liver",4,"SSS",0.243478260869565,0.78448275862069
"Liver",5,"SSS",0.252173913043478,0.778448275862069
"Liver",6,"SSS",0.263768115942029,0.779413793103448
"Liver",7,"SSS",0.257971014492754,0.780931034482759
"Liver",8,"SSS",0.243478260869565,0.780344827586207
"Liver",9,"SSS",0.240579710144928,0.784896551724138
"Liver",10,"SSS",0.260869565217391,0.783724137931034
"Liver",11,"SSS",0.255072463768116,0.779896551724138
"Liver",12,"SSS",0.252173913043478,0.774689655172414
"Liver",13,"SSS",0.246376811594203,0.779620689655172
"Liver",14,"SSS",0.255072463768116,0.785551724137931
"Liver",15,"SSS",0.252173913043478,0.784310344827586
"Liver",16,"SSS",0.252173913043478,0.781137931034483
"Liver",17,"SSS",0.263768115942029,0.774724137931034
"Liver",18,"SSS",0.266666666666667,0.779413793103448
"Liver",19,"SSS",0.260869565217391,0.784206896551724
"Liver",20,"SSS",0.252173913043478,0.783551724137931
"Liver",21,"SSS",0.246376811594203,0.784896551724138
"Liver",22,"SSS",0.249275362318841,0.775758620689655
"Liver",23,"SSS",0.257971014492754,0.777896551724138
"Liver",24,"SSS",0.255072463768116,0.781241379310345
"Liver",25,"SSS",0.266666666666667,0.776827586206897
"Liver",26,"SSS",0.255072463768116,0.772620689655172
"Liver",27,"SSS",0.257971014492754,0.781965517241379
"Liver",28,"SSS",0.249275362318841,0.783448275862069
"Liver",29,"SSS",0.255072463768116,0.780172413793103
"Liver",30,"SSS",0.257971014492754,0.777413793103448
"Liver",31,"SSS",0.257971014492754,0.777344827586207
"Liver",32,"SSS",0.260869565217391,0.779172413793103
"Liver",33,"SSS",0.252173913043478,0.78048275862069
"Liver",34,"SSS",0.246376811594203,0.781206896551724
"Liver",35,"SSS",0.263768115942029,0.781862068965517
"Liver",36,"SSS",0.257971014492754,0.778931034482759
"Liver",37,"SSS",0.249275362318841,0.780758620689655
"Liver",38,"SSS",0.263768115942029,0.78
"Liver",39,"SSS",0.246376811594203,0.77848275862069
"Liver",40,"SSS",0.260869565217391,0.778862068965517
"Liver",41,"SSS",0.246376811594203,0.776655172413793
"Liver",42,"SSS",0.255072463768116,0.780379310344828
"Liver",43,"SSS",0.249275362318841,0.775448275862069
"Liver",44,"SSS",0.249275362318841,0.779344827586207
"Liver",45,"SSS",0.260869565217391,0.783758620689655
"Liver",46,"SSS",0.255072463768116,0.778655172413793
"Liver",47,"SSS",0.246376811594203,0.778551724137931
"Liver",48,"SSS",0.257971014492754,0.781068965517241
"Liver",49,"SSS",0.260869565217391,0.778551724137931
"Liver",50,"SSS",0.246376811594203,0.777310344827586
"Liver",1,"ER",0.263768115942029,0.787344827586207
"Liver",2,"ER",0.252173913043478,0.782896551724138
"Liver",3,"ER",0.249275362318841,0.788620689655172
"Liver",4,"ER",0.255072463768116,0.791931034482759
"Liver",5,"ER",0.260869565217391,0.789068965517241
"Liver",6,"ER",0.246376811594203,0.793620689655172
"Liver",7,"ER",0.255072463768116,0.785827586206897
"Liver",8,"ER",0.249275362318841,0.792586206896552
"Liver",9,"ER",0.257971014492754,0.788931034482759
"Liver",10,"ER",0.255072463768116,0.790344827586207
"Liver",11,"ER",0.255072463768116,0.787068965517241
"Liver",12,"ER",0.263768115942029,0.791724137931034
"Liver",13,"ER",0.260869565217391,0.786827586206897
"Liver",14,"ER",0.266666666666667,0.787620689655172
"Liver",15,"ER",0.255072463768116,0.785310344827586
"Liver",16,"ER",0.257971014492754,0.787344827586207
"Liver",17,"ER",0.246376811594203,0.795655172413793
"Liver",18,"ER",0.257971014492754,0.792827586206897
"Liver",19,"ER",0.260869565217391,0.798172413793103
"Liver",20,"ER",0.263768115942029,0.789655172413793
"Liver",21,"ER",0.255072463768116,0.793413793103448
"Liver",22,"ER",0.246376811594203,0.790241379310345
"Liver",23,"ER",0.246376811594203,0.788896551724138
"Liver",24,"ER",0.255072463768116,0.790413793103448
"Liver",25,"ER",0.246376811594203,0.792551724137931
"Liver",26,"ER",0.263768115942029,0.783068965517241
"Liver",27,"ER",0.252173913043478,0.785310344827586
"Liver",28,"ER",0.260869565217391,0.788793103448276
"Liver",29,"ER",0.249275362318841,0.790931034482759
"Liver",30,"ER",0.263768115942029,0.786793103448276
"Liver",31,"ER",0.252173913043478,0.788724137931034
"Liver",32,"ER",0.257971014492754,0.78551724137931
"Liver",33,"ER",0.263768115942029,0.787068965517241
"Liver",34,"ER",0.23768115942029,0.788137931034483
"Liver",35,"ER",0.243478260869565,0.792413793103448
"Liver",36,"ER",0.252173913043478,0.782896551724138
"Liver",37,"ER",0.252173913043478,0.789793103448276
"Liver",38,"ER",0.243478260869565,0.786620689655172
"Liver",39,"ER",0.257971014492754,0.781931034482759
"Liver",40,"ER",0.260869565217391,0.784241379310345
"Liver",41,"ER",0.255072463768116,0.793758620689655
"Liver",42,"ER",0.269565217391304,0.788965517241379
"Liver",43,"ER",0.263768115942029,0.790068965517241
"Liver",44,"ER",0.255072463768116,0.784068965517241
"Liver",45,"ER",0.257971014492754,0.788862068965517
"Liver",46,"ER",0.257971014492754,0.791068965517241
"Liver",47,"ER",0.252173913043478,0.789793103448276
"Liver",48,"ER",0.260869565217391,0.793344827586207
"Liver",49,"ER",0.246376811594203,0.79648275862069
"Liver",50,"ER",0.257971014492754,0.788
"Liver",1,"AR",0.269565217391304,0.777344827586207
"Liver",2,"AR",0.263768115942029,0.782551724137931
"Liver",3,"AR",0.266666666666667,0.778310344827586
"Liver",4,"AR",0.272463768115942,0.783689655172414
"Liver",5,"AR",0.266666666666667,0.778965517241379
"Liver",6,"AR",0.263768115942029,0.784689655172414
"Liver",7,"AR",0.272463768115942,0.781275862068965
"Liver",8,"AR",0.266666666666667,0.779551724137931
"Liver",9,"AR",0.269565217391304,0.779448275862069
"Liver",10,"AR",0.255072463768116,0.782689655172414
"Liver",11,"AR",0.257971014492754,0.783620689655172
"Liver",12,"AR",0.255072463768116,0.781965517241379
"Liver",13,"AR",0.255072463768116,0.778275862068965
"Liver",14,"AR",0.260869565217391,0.780172413793103
"Liver",15,"AR",0.269565217391304,0.778241379310345
"Liver",16,"AR",0.266666666666667,0.780862068965517
"Liver",17,"AR",0.246376811594203,0.784068965517241
"Liver",18,"AR",0.263768115942029,0.780620689655172
"Liver",19,"AR",0.257971014492754,0.784034482758621
"Liver",20,"AR",0.257971014492754,0.781344827586207
"Liver",21,"AR",0.269565217391304,0.784
"Liver",22,"AR",0.269565217391304,0.775344827586207
"Liver",23,"AR",0.257971014492754,0.779862068965517
"Liver",24,"AR",0.255072463768116,0.782724137931034
"Liver",25,"AR",0.257971014492754,0.777827586206897
"Liver",26,"AR",0.27536231884058,0.779068965517241
"Liver",27,"AR",0.252173913043478,0.780965517241379
"Liver",28,"AR",0.255072463768116,0.781275862068965
"Liver",29,"AR",0.266666666666667,0.781034482758621
"Liver",30,"AR",0.27536231884058,0.782034482758621
"Liver",31,"AR",0.255072463768116,0.778758620689655
"Liver",32,"AR",0.257971014492754,0.781689655172414
