"dataset","sim","method","misclass","auc"
"Ringnorm",1,"RF",0.0493939393939394,0.992750780532599
"Ringnorm",2,"RF",0.0542424242424242,0.992464279155188
"Ringnorm",3,"RF",0.0539393939393939,0.992466115702479
"Ringnorm",4,"RF",0.0515151515151515,0.992438200183655
"Ringnorm",5,"RF",0.0533333333333333,0.992413590449954
"Ringnorm",6,"RF",0.0515151515151515,0.992447750229568
"Ringnorm",7,"RF",0.0506060606060606,0.992676951331497
"Ringnorm",8,"RF",0.0503030303030303,0.992686868686869
"Ringnorm",9,"RF",0.05,0.99230303030303
"Ringnorm",10,"RF",0.0515151515151515,0.992582552800735
"Ringnorm",11,"RF",0.0509090909090909,0.992434527089073
"Ringnorm",12,"RF",0.0521212121212121,0.992456565656566
"Ringnorm",13,"RF",0.0512121212121212,0.992460973370064
"Ringnorm",14,"RF",0.0518181818181818,0.992349311294766
"Ringnorm",15,"RF",0.0512121212121212,0.992537006427916
"Ringnorm",16,"RF",0.046969696969697,0.992220018365473
"Ringnorm",17,"RF",0.05,0.992564554637282
"Ringnorm",18,"RF",0.0524242424242424,0.992543250688705
"Ringnorm",19,"RF",0.0527272727272727,0.992518640955005
"Ringnorm",20,"RF",0.0512121212121212,0.992522314049587
"Ringnorm",21,"RF",0.05,0.992388613406795
"Ringnorm",22,"RF",0.0527272727272727,0.992334618916437
"Ringnorm",23,"RF",0.0527272727272727,0.992301561065197
"Ringnorm",24,"RF",0.0506060606060606,0.992594674012856
"Ringnorm",25,"RF",0.0478787878787879,0.992730945821855
"Ringnorm",26,"RF",0.0521212121212121,0.992403673094582
"Ringnorm",27,"RF",0.0490909090909091,0.992499908172635
"Ringnorm",28,"RF",0.0506060606060606,0.992563085399449
"Ringnorm",29,"RF",0.0509090909090909,0.992514233241506
"Ringnorm",30,"RF",0.0512121212121212,0.992363269054178
"Ringnorm",31,"RF",0.0521212121212121,0.992420202020202
"Ringnorm",32,"RF",0.0506060606060606,0.992620752984389
"Ringnorm",33,"RF",0.0512121212121212,0.992216712580349
"Ringnorm",34,"RF",0.0512121212121212,0.992412121212121
"Ringnorm",35,"RF",0.0509090909090909,0.992392286501377
"Ringnorm",36,"RF",0.0518181818181818,0.992283562901745
"Ringnorm",37,"RF",0.0509090909090909,0.992337557392103
"Ringnorm",38,"RF",0.0496969696969697,0.992427548209366
"Ringnorm",39,"RF",0.0518181818181818,0.992557943067034
"Ringnorm",40,"RF",0.0496969696969697,0.992541781450872
"Ringnorm",41,"RF",0.0493939393939394,0.992572268135904
"Ringnorm",42,"RF",0.0493939393939394,0.992514967860422
"Ringnorm",43,"RF",0.0524242424242424,0.992146923783287
"Ringnorm",44,"RF",0.0545454545454545,0.99254435261708
"Ringnorm",45,"RF",0.0527272727272727,0.992077869605142
"Ringnorm",46,"RF",0.0509090909090909,0.992334618916437
"Ringnorm",47,"RF",0.0515151515151515,0.992684297520661
"Ringnorm",48,"RF",0.0518181818181818,0.992478971533517
"Ringnorm",49,"RF",0.0521212121212121,0.992277318640955
"Ringnorm",50,"RF",0.0521212121212121,0.99228870523416
"Ringnorm",1,"SSS",0.0478787878787879,0.992424242424242
"Ringnorm",2,"SSS",0.0487878787878788,0.992715886134068
"Ringnorm",3,"SSS",0.0484848484848485,0.992586225895317
"Ringnorm",4,"SSS",0.0472727272727273,0.992498438934803
"Ringnorm",5,"SSS",0.0487878787878788,0.992642056932966
"Ringnorm",6,"SSS",0.0481818181818182,0.992626262626263
