"dataset","sim","method","mse"
"Servo",1,"RF",52.0739345693701
"Servo",2,"RF",47.4597149362332
"Servo",3,"RF",52.8310575585085
"Servo",4,"RF",54.2619615754873
"Servo",5,"RF",50.9218525887935
"Servo",6,"RF",54.6782133808746
"Servo",7,"RF",53.3536261409751
"Servo",8,"RF",51.9217819918752
"Servo",9,"RF",55.0307299567802
"Servo",10,"RF",53.1697017119891
"Servo",11,"RF",57.9932030773635
"Servo",12,"RF",46.4177233693242
"Servo",13,"RF",56.0016537036732
"Servo",14,"RF",52.4166273568594
"Servo",15,"RF",52.4130612416872
"Servo",16,"RF",55.9847760218668
"Servo",17,"RF",55.597779993392
"Servo",18,"RF",56.5320184430567
"Servo",19,"RF",55.9057774685464
"Servo",20,"RF",48.4049541356241
"Servo",21,"RF",51.7365628384598
"Servo",22,"RF",55.0176887308413
"Servo",23,"RF",57.8922042794133
"Servo",24,"RF",60.0603863903829
"Servo",25,"RF",49.4117400230569
"Servo",26,"RF",54.2719878757208
"Servo",27,"RF",56.7815081586159
"Servo",28,"RF",49.8817708060077
"Servo",29,"RF",55.8665967960393
"Servo",30,"RF",52.5337087218105
"Servo",31,"RF",55.1183481404417
"Servo",32,"RF",52.6026351646599
"Servo",33,"RF",52.2884976672425
"Servo",34,"RF",54.7036930124259
"Servo",35,"RF",57.9107246199376
"Servo",36,"RF",52.9181361702039
"Servo",37,"RF",52.6648810404022
"Servo",38,"RF",53.8966305270036
"Servo",39,"RF",54.4611979150463
"Servo",40,"RF",50.6814515975523
"Servo",41,"RF",46.1069831445278
"Servo",42,"RF",47.9736601183191
"Servo",43,"RF",54.2905040103573
"Servo",44,"RF",49.1877463445648
"Servo",45,"RF",53.9099284737919
"Servo",46,"RF",57.5279428908972
"Servo",47,"RF",60.690110472971
"Servo",48,"RF",55.1006687622161
"Servo",49,"RF",48.1592361704156
"Servo",50,"RF",53.5015001120491
"Servo",1,"SSS",48.4500213351012
"Servo",2,"SSS",48.4584687396947
"Servo",3,"SSS",49.2650116988495
"Servo",4,"SSS",55.4081873232488
"Servo",5,"SSS",50.589665195857
"Servo",6,"SSS",52.2947640040339
"Servo",7,"SSS",52.0532806295416
"Servo",8,"SSS",56.7162628904918
"Servo",9,"SSS",57.5625401633216
"Servo",10,"SSS",54.6834437396762
"Servo",11,"SSS",57.8769002530723
"Servo",12,"SSS",43.7397660579914
"Servo",13,"SSS",55.6042704953687
"Servo",14,"SSS",51.4234525471811
"Servo",15,"SSS",54.8975276635379
"Servo",16,"SSS",53.4743456838718
"Servo",17,"SSS",54.8049649439316
"Servo",18,"SSS",52.2037716014819
"Servo",19,"SSS",53.170664266003
"Servo",20,"SSS",50.8038692233629
"Servo",21,"SSS",48.4801501689351
"Servo",22,"SSS",56.4460003230541
"Servo",23,"SSS",59.3421281727802
"Servo",24,"SSS",56.877524470554
"Servo",25,"SSS",52.4145844267644
"Servo",26,"SSS",53.3628142224477
"Servo",27,"SSS",60.4854133096076
"Servo",28,"SSS",50.8242113247315
"Servo",29,"SSS",52.6844722267656
"Servo",30,"SSS",54.0750752562698
"Servo",31,"SSS",55.1202811184822
"Servo",32,"SSS",52.690029292914
"Servo",33,"SSS",55.919229377405
"Servo",34,"SSS",54.8648404797487
"Servo",35,"SSS",57.8116783670342
"Servo",36,"SSS",57.0925569427516
"Servo",37,"SSS",53.1378450388096
"Servo",38,"SSS",52.217022377228
"Servo",39,"SSS",53.0429852387632
"Servo",40,"SSS",51.1268296894597
"Servo",41,"SSS",48.3882575286583
"Servo",42,"SSS",48.2910094838219
"Servo",43,"SSS",54.5579654125125
"Servo",44,"SSS",50.8337434362032
"Servo",45,"SSS",51.763869745118
"Servo",46,"SSS",56.7326802888774
"Servo",47,"SSS",56.6666109837058
"Servo",48,"SSS",58.42282953858
"Servo",49,"SSS",50.7367608025346
"Servo",50,"SSS",52.5834661886228
"Servo",1,"ER",84.6444641254641
"Servo",2,"ER",77.5202382479501
"Servo",3,"ER",74.5872624517259
"Servo",4,"ER",79.2430633628791
"Servo",5,"ER",85.5780165452818
"Servo",6,"ER",76.6648954270178
"Servo",7,"ER",72.3266778076773
"Servo",8,"ER",85.286153502127
"Servo",9,"ER",76.9667442791472
"Servo",10,"ER",75.9669878344677
"Servo",11,"ER",72.673432585895
"Servo",12,"ER",85.6735594792715
"Servo",13,"ER",73.3844864113811
"Servo",14,"ER",79.3201575567596
"Servo",15,"ER",79.1330708161299
"Servo",16,"ER",78.6805012891459
"Servo",17,"ER",79.5616172419682
"Servo",18,"ER",76.1892323581304
"Servo",19,"ER",81.510500511637
"Servo",20,"ER",79.252148405769
"Servo",21,"ER",80.5461962608343
"Servo",22,"ER",76.6917292138921
"Servo",23,"ER",83.9904561338666
"Servo",24,"ER",71.7124547214187
"Servo",25,"ER",75.861520971948
"Servo",26,"ER",78.7507027644148
"Servo",27,"ER",75.9190092306112
"Servo",28,"ER",79.0026690652879
"Servo",29,"ER",72.0257167015698
"Servo",30,"ER",77.7564820421007
"Servo",31,"ER",72.9511716660028
"Servo",32,"ER",75.9222526300799
"Servo",33,"ER",80.5239126183611
"Servo",34,"ER",73.2270300039408
"Servo",35,"ER",71.909488872279
"Servo",36,"ER",81.9788067164278
"Servo",37,"ER",77.296016218977
"Servo",38,"ER",82.7555750654239
"Servo",39,"ER",75.4453368395086
"Servo",40,"ER",76.9839644910479
"Servo",41,"ER",76.0062546246178
"Servo",42,"ER",72.623912254816
"Servo",43,"ER",75.3433228288729
"Servo",44,"ER",75.8962349867509
"Servo",45,"ER",74.6337887597027
"Servo",46,"ER",83.2660101237424
"Servo",47,"ER",79.3611149634861
"Servo",48,"ER",79.4395109527761
"Servo",49,"ER",80.8411682498557
