"dataset","sim","method","misclass","auc"
"Sonar",1,"RF",0.173076923076923,0.936565431410792
"Sonar",2,"RF",0.177884615384615,0.933593387201635
"Sonar",3,"RF",0.158653846153846,0.934057769109315
"Sonar",4,"RF",0.182692307692308,0.930621342992477
"Sonar",5,"RF",0.163461538461538,0.938422959041516
"Sonar",6,"RF",0.153846153846154,0.933407634438562
"Sonar",7,"RF",0.163461538461538,0.934893656543141
"Sonar",8,"RF",0.158653846153846,0.939908981146095
"Sonar",9,"RF",0.182692307692308,0.928578062598681
"Sonar",10,"RF",0.158653846153846,0.933314758057026
"Sonar",11,"RF",0.168269230769231,0.937215566081545
"Sonar",12,"RF",0.177884615384615,0.930435590229405
"Sonar",13,"RF",0.163461538461538,0.934336398253924
"Sonar",14,"RF",0.163461538461538,0.934243521872388
"Sonar",15,"RF",0.149038461538462,0.933036128912418
"Sonar",16,"RF",0.163461538461538,0.939351722856878
"Sonar",17,"RF",0.182692307692308,0.932664623386273
"Sonar",18,"RF",0.139423076923077,0.935822420358503
"Sonar",19,"RF",0.144230769230769,0.938237206278443
"Sonar",20,"RF",0.173076923076923,0.933686263583171
"Sonar",21,"RF",0.182692307692308,0.932571747004737
"Sonar",22,"RF",0.153846153846154,0.93953747561995
"Sonar",23,"RF",0.149038461538462,0.935822420358503
"Sonar",24,"RF",0.153846153846154,0.935822420358503
"Sonar",25,"RF",0.139423076923077,0.932850376149345
"Sonar",26,"RF",0.149038461538462,0.933593387201635
"Sonar",27,"RF",0.158653846153846,0.936844060555401
"Sonar",28,"RF",0.168269230769231,0.933129005293954
"Sonar",29,"RF",0.153846153846154,0.932757499767809
"Sonar",30,"RF",0.168269230769231,0.934057769109315
"Sonar",31,"RF",0.139423076923077,0.937122689700009
"Sonar",32,"RF",0.173076923076923,0.931550106807839
"Sonar",33,"RF",0.158653846153846,0.930156961084796
"Sonar",34,"RF",0.144230769230769,0.937865700752299
"Sonar",35,"RF",0.153846153846154,0.931085724900158
"Sonar",36,"RF",0.163461538461538,0.930992848518622
"Sonar",37,"RF",0.177884615384615,0.934150645490852
"Sonar",38,"RF",0.158653846153846,0.930992848518622
"Sonar",39,"RF",0.153846153846154,0.934243521872388
