"dataset","sim","method","misclass","auc"
"Spambase",1,"RF",0.0493371006302978,0.986364816196749
"Spambase",2,"RF",0.0493371006302978,0.98647718810662
"Spambase",3,"RF",0.049989132797218,0.986495389190614
"Spambase",4,"RF",0.0482503803520974,0.986737344905002
"Spambase",5,"RF",0.0495544446859378,0.986762668152297
"Spambase",6,"RF",0.0495544446859378,0.986295770780296
"Spambase",7,"RF",0.0502064768528581,0.986571952446107
"Spambase",8,"RF",0.049989132797218,0.986390337281913
"Spambase",9,"RF",0.0484677244077375,0.986619433534785
"Spambase",10,"RF",0.0510758530754184,0.9863567048441
"Spambase",11,"RF",0.0502064768528581,0.986647922187992
"Spambase",12,"RF",0.0486850684633775,0.986581646501712
"Spambase",13,"RF",0.0475983481851771,0.986600638937183
"Spambase",14,"RF",0.0493371006302978,0.986599254072097
"Spambase",15,"RF",0.0486850684633775,0.986355715654752
"Spambase",16,"RF",0.0493371006302978,0.986495784866353
"Spambase",17,"RF",0.049989132797218,0.986509435679348
"Spambase",18,"RF",0.0504238209084982,0.986172319949733
"Spambase",19,"RF",0.0495544446859378,0.986660979487378
"Spambase",20,"RF",0.0489024125190176,0.986624972995131
"Spambase",21,"RF",0.0484677244077375,0.986539309197641
"Spambase",22,"RF",0.0480330362964573,0.986524669195298
"Spambase",23,"RF",0.0491197565746577,0.986547618388159
"Spambase",24,"RF",0.0502064768528581,0.986492421622571
"Spambase",25,"RF",0.0493371006302978,0.986606376235399
"Spambase",26,"RF",0.0495544446859378,0.986283405913453
"Spambase",27,"RF",0.049989132797218,0.986654450837685
"Spambase",28,"RF",0.049989132797218,0.986625170833
"Spambase",29,"RF",0.0493371006302978,0.986478572971707
"Spambase",30,"RF",0.0489024125190176,0.986581052988104
"Spambase",31,"RF",0.0497717887415779,0.986303585376141
"Spambase",32,"RF",0.049989132797218,0.986449490804892
"Spambase",33,"RF",0.0489024125190176,0.986390337281913
"Spambase",34,"RF",0.0504238209084982,0.986685313545326
"Spambase",35,"RF",0.049989132797218,0.986512996760998
"Spambase",36,"RF",0.0489024125190176,0.986283900508127
"Spambase",37,"RF",0.0484677244077375,0.986653857324077
"Spambase",38,"RF",0.0497717887415779,0.986537528656815
"Spambase",39,"RF",0.0493371006302978,0.986705690845883
"Spambase",40,"RF",0.0480330362964573,0.986756930854082
"Spambase",41,"RF",0.0486850684633775,0.986619829210524
"Spambase",42,"RF",0.0502064768528581,0.986382423767134
"Spambase",43,"RF",0.0495544446859378,0.986500928650959
"Spambase",44,"RF",0.0495544446859378,0.986659792460161
"Spambase",45,"RF",0.0502064768528581,0.986679378409241
"Spambase",46,"RF",0.0504238209084982,0.986714494631076
"Spambase",47,"RF",0.0508585090197783,0.986492421622571
"Spambase",48,"RF",0.0510758530754184,0.986491630271093
"Spambase",49,"RF",0.0504238209084982,0.986361848628707
"Spambase",50,"RF",0.0502064768528581,0.986536539467468
"Spambase",1,"SSS",0.0484677244077375,0.986819051945102
"Spambase",2,"SSS",0.049989132797218,0.986491531352159
"Spambase",3,"SSS",0.0480330362964573,0.986679279490306
"Spambase",4,"SSS",0.0489024125190176,0.986671069218722
"Spambase",5,"SSS",0.0495544446859378,0.986474220538578
"Spambase",6,"SSS",0.0486850684633775,0.986543562711835
"Spambase",7,"SSS",0.0506411649641382,0.986506072435566
"Spambase",8,"SSS",0.0491197565746577,0.986602320559074
"Spambase",9,"SSS",0.049989132797218,0.986598858396358
"Spambase",10,"SSS",0.0484677244077375,0.986705690845883
"Spambase",11,"SSS",0.0495544446859378,0.98643049836942
"Spambase",12,"SSS",0.0486850684633775,0.986581349744908
"Spambase",13,"SSS",0.049989132797218,0.98650053297522
"Spambase",14,"SSS",0.0502064768528581,0.986555927578678
"Spambase",15,"SSS",0.0491197565746577,0.986664936244768
"Spambase",16,"SSS",0.0497717887415779,0.986627940563173
"Spambase",17,"SSS",0.0484677244077375,0.986712417333446
"Spambase",18,"SSS",0.0491197565746577,0.986666518947724
"Spambase",19,"SSS",0.0489024125190176,0.986333953489108
"Spambase",20,"SSS",0.0486850684633775,0.986597671369141
"Spambase",21,"SSS",0.0506411649641382,0.986557807038438
"Spambase",22,"SSS",0.0495544446859378,0.986529417304166
"Spambase",23,"SSS",0.0491197565746577,0.986471846484144
"Spambase",24,"SSS",0.0497717887415779,0.986475011890056
"Spambase",25,"SSS",0.0480330362964573,0.986717857874857
"Spambase",26,"SSS",0.0495544446859378,0.986504094056871
"Spambase",27,"SSS",0.0497717887415779,0.986500335137351
"Spambase",28,"SSS",0.0491197565746577,0.986618246507568
"Spambase",29,"SSS",0.049989132797218,0.986702426521037
"Spambase",30,"SSS",0.0484677244077375,0.986665134082638
"Spambase",31,"SSS",0.0495544446859378,0.986567600012978
"Spambase",32,"SSS",0.0491197565746577,0.986772560045772
"Spambase",33,"SSS",0.0502064768528581,0.986775923289553
"Spambase",34,"SSS",0.0482503803520974,0.986640107592147
"Spambase",35,"SSS",0.0493371006302978,0.986624972995131
"Spambase",36,"SSS",0.0478156922408172,0.986669288677897
"Spambase",37,"SSS",0.049989132797218,0.986483321080575
"Spambase",38,"SSS",0.0473810041295371,0.986622598940697
"Spambase",39,"SSS",0.0486850684633775,0.986460569725583
"Spambase",40,"SSS",0.0484677244077375,0.986544650820117
"Spambase",41,"SSS",0.0497717887415779,0.98637985187483
"Spambase",42,"SSS",0.0486850684633775,0.986517744869866
"Spambase",43,"SSS",0.0484677244077375,0.986560675687546
"Spambase",44,"SSS",0.0493371006302978,0.986464526482973
"Spambase",45,"SSS",0.0482503803520974,0.986719935172487
"Spambase",46,"SSS",0.0482503803520974,0.986776318965292
"Spambase",47,"SSS",0.0486850684633775,0.986705295170144
"Spambase",48,"SSS",0.0489024125190176,0.986652868134729
"Spambase",49,"SSS",0.0484677244077375,0.986308432403944
"Spambase",50,"SSS",0.0486850684633775,0.986622203264958
