"dataset","sim","method","misclass","auc"
"Twonorm",1,"RF",0.0324242424242424,0.994667768595041
"Twonorm",2,"RF",0.0336363636363636,0.994309641873278
"Twonorm",3,"RF",0.0327272727272727,0.99429696969697
"Twonorm",4,"RF",0.0312121212121212,0.994272910927456
"Twonorm",5,"RF",0.0327272727272727,0.994351147842057
"Twonorm",6,"RF",0.0321212121212121,0.994503397612489
"Twonorm",7,"RF",0.0333333333333333,0.994189164370982
"Twonorm",8,"RF",0.0339393939393939,0.994151515151515
"Twonorm",9,"RF",0.0333333333333333,0.994534802571166
"Twonorm",10,"RF",0.0324242424242424,0.99428246097337
"Twonorm",11,"RF",0.0321212121212121,0.994253810835629
"Twonorm",12,"RF",0.0321212121212121,0.994412121212121
"Twonorm",13,"RF",0.0306060606060606,0.994427548209366
"Twonorm",14,"RF",0.0306060606060606,0.994488154269972
"Twonorm",15,"RF",0.0327272727272727,0.994252708907254
"Twonorm",16,"RF",0.0321212121212121,0.994611937557392
"Twonorm",17,"RF",0.033030303030303,0.99431955922865
"Twonorm",18,"RF",0.0342424242424242,0.994323599632691
"Twonorm",19,"RF",0.0312121212121212,0.994554269972452
"Twonorm",20,"RF",0.0339393939393939,0.994541046831956
"Twonorm",21,"RF",0.0324242424242424,0.994284664830119
"Twonorm",22,"RF",0.0345454545454545,0.994422405876951
"Twonorm",23,"RF",0.03,0.994550964187328
"Twonorm",24,"RF",0.033030303030303,0.994419467401286
"Twonorm",25,"RF",0.0351515151515151,0.994378512396694
"Twonorm",26,"RF",0.0318181818181818,0.994457300275482
"Twonorm",27,"RF",0.03,0.994392286501377
"Twonorm",28,"RF",0.0345454545454545,0.99432580348944
"Twonorm",29,"RF",0.0324242424242424,0.994412855831038
"Twonorm",30,"RF",0.0327272727272727,0.994657483930211
"Twonorm",31,"RF",0.0336363636363636,0.994384940312213
"Twonorm",32,"RF",0.0309090909090909,0.994585307621671
"Twonorm",33,"RF",0.0318181818181818,0.994556841138659
"Twonorm",34,"RF",0.033030303030303,0.994396694214876
"Twonorm",35,"RF",0.0309090909090909,0.994460973370064
"Twonorm",36,"RF",0.0339393939393939,0.99427842056933
"Twonorm",37,"RF",0.0324242424242424,0.994205693296602
"Twonorm",38,"RF",0.0315151515151515,0.994409182736455
"Twonorm",39,"RF",0.0336363636363636,0.994116069788797
"Twonorm",40,"RF",0.0318181818181818,0.994289439853076
"Twonorm",41,"RF",0.0324242424242424,0.994477869605142
"Twonorm",42,"RF",0.0315151515151515,0.994413590449954
"Twonorm",43,"RF",0.0321212121212121,0.994677318640955
"Twonorm",44,"RF",0.0306060606060606,0.994564187327824
"Twonorm",45,"RF",0.0321212121212121,0.994684297520661
"Twonorm",46,"RF",0.0303030303030303,0.994575573921028
"Twonorm",47,"RF",0.0324242424242424,0.994283379247016
"Twonorm",48,"RF",0.03,0.994379797979798
"Twonorm",49,"RF",0.0327272727272727,0.994395224977043
"Twonorm",50,"RF",0.033030303030303,0.994262993572084
"Twonorm",1,"SSS",0.0309090909090909,0.994320293847567
"Twonorm",2,"SSS",0.033030303030303,0.994302662993572
"Twonorm",3,"SSS",0.0345454545454545,0.994485766758494
"Twonorm",4,"SSS",0.0275757575757576,0.994619283746557
"Twonorm",5,"SSS",0.0342424242424242,0.994090358126722
"Twonorm",6,"SSS",0.0303030303030303,0.994830486685032
"Twonorm",7,"SSS",0.03,0.994195408631772
"Twonorm",8,"SSS",0.0321212121212121,0.994461707988981
"Twonorm",9,"SSS",0.0324242424242424,0.994085583103765
"Twonorm",10,"SSS",0.0327272727272727,0.994372819100092
"Twonorm",11,"SSS",0.0315151515151515,0.994447199265381
"Twonorm",12,"SSS",0.0318181818181818,0.99435886134068
"Twonorm",13,"SSS",0.0324242424242424,0.994344903581267
"Twonorm",14,"SSS",0.0315151515151515,0.994338659320477
"Twonorm",15,"SSS",0.033030303030303,0.994401101928375
"Twonorm",16,"SSS",0.0306060606060606,0.99419173553719
"Twonorm",17,"SSS",0.0327272727272727,0.994469788797061
"Twonorm",18,"SSS",0.0333333333333333,0.994467217630854
"Twonorm",19,"SSS",0.0327272727272727,0.994395224977043
"Twonorm",20,"SSS",0.033030303030303,0.994429017447199
"Twonorm",21,"SSS",0.0324242424242424,0.994341965105601
"Twonorm",22,"SSS",0.0309090909090909,0.99448044077135
"Twonorm",23,"SSS",0.0315151515151515,0.994350780532599
"Twonorm",24,"SSS",0.0312121212121212,0.994280624426079
"Twonorm",25,"SSS",0.0312121212121212,0.994166758494031
"Twonorm",26,"SSS",0.0318181818181818,0.994471808999082
"Twonorm",27,"SSS",0.0339393939393939,0.994385307621671
"Twonorm",28,"SSS",0.0321212121212121,0.994345270890725
"Twonorm",29,"SSS",0.0339393939393939,0.9942681359045
"Twonorm",30,"SSS",0.0318181818181818,0.994236914600551
"Twonorm",31,"SSS",0.0336363636363636,0.994328741965106
"Twonorm",32,"SSS",0.0333333333333333,0.994442607897153
"Twonorm",33,"SSS",0.0324242424242424,0.994544168962351
"Twonorm",34,"SSS",0.0312121212121212,0.994505417814509
"Twonorm",35,"SSS",0.0309090909090909,0.99438567493113
"Twonorm",36,"SSS",0.0309090909090909,0.994219100091827
"Twonorm",37,"SSS",0.0327272727272727,0.994398898071625
"Twonorm",38,"SSS",0.0351515151515151,0.994341965105601
"Twonorm",39,"SSS",0.0333333333333333,0.994445546372819
"Twonorm",40,"SSS",0.0312121212121212,0.994431955922865
"Twonorm",41,"SSS",0.0339393939393939,0.994242424242424
"Twonorm",42,"SSS",0.0312121212121212,0.99438567493113
"Twonorm",43,"SSS",0.0339393939393939,0.994418365472911
"Twonorm",44,"SSS",0.0287878787878788,0.994419467401286
"Twonorm",45,"SSS",0.033030303030303,0.99432984389348
"Twonorm",46,"SSS",0.0351515151515151,0.994500091827365
"Twonorm",47,"SSS",0.0315151515151515,0.994469421487603
"Twonorm",48,"SSS",0.0327272727272727,0.994502662993572
"Twonorm",49,"SSS",0.0342424242424242,0.993990449954086
"Twonorm",50,"SSS",0.033030303030303,0.994435629017447
"Twonorm",1,"ER",0.0309090909090909,0.99487015610652
"Twonorm",2,"ER",0.0290909090909091,0.995248484848485
"Twonorm",3,"ER",0.0293939393939394,0.995014141414141
"Twonorm",4,"ER",0.03,0.994896602387511
"Twonorm",5,"ER",0.0296969696969697,0.99498145087236
"Twonorm",6,"ER",0.0312121212121212,0.994973737373737
"Twonorm",7,"ER",0.0296969696969697,0.995076033057851
"Twonorm",8,"ER",0.0287878787878788,0.99519375573921
"Twonorm",9,"ER",0.0303030303030303,0.994930394857668
"Twonorm",10,"ER",0.03,0.994926721763085
"Twonorm",11,"ER",0.0293939393939394,0.994957943067034
"Twonorm",12,"ER",0.03,0.994840404040404
"Twonorm",13,"ER",0.0324242424242424,0.994649035812672
"Twonorm",14,"ER",0.0296969696969697,0.994939944903581
"Twonorm",15,"ER",0.0287878787878788,0.995189164370983
"Twonorm",16,"ER",0.0303030303030303,0.994723232323232
"Twonorm",17,"ER",0.03,0.994909458218549
"Twonorm",18,"ER",0.0290909090909091,0.9949072543618
"Twonorm",19,"ER",0.0290909090909091,0.994840036730946
"Twonorm",20,"ER",0.0318181818181818,0.994798530762167
"Twonorm",21,"ER",0.0293939393939394,0.995016345270891
"Twonorm",22,"ER",0.0312121212121212,0.994790817263545
"Twonorm",23,"ER",0.0315151515151515,0.995080991735537
"Twonorm",24,"ER",0.0296969696969697,0.994795224977043
"Twonorm",25,"ER",0.0284848484848485,0.995095684113866
"Twonorm",26,"ER",0.0293939393939394,0.994954453627181
"Twonorm",27,"ER",0.03,0.994802938475666
"Twonorm",28,"ER",0.0296969696969697,0.994914967860422
"Twonorm",29,"ER",0.0303030303030303,0.995067033976125
"Twonorm",30,"ER",0.0287878787878788,0.994932966023875
"Twonorm",31,"ER",0.0287878787878788,0.995019283746556
"Twonorm",32,"ER",0.0312121212121212,0.994915702479339
"Twonorm",33,"ER",0.0318181818181818,0.995026997245179
"Twonorm",34,"ER",0.03,0.994982552800735
"Twonorm",35,"ER",0.0306060606060606,0.994913865932048
"Twonorm",36,"ER",0.0306060606060606,0.99502258953168
"Twonorm",37,"ER",0.03,0.994825895316804
"Twonorm",38,"ER",0.0290909090909091,0.994878236914601
"Twonorm",39,"ER",0.0296969696969697,0.99504536271809
"Twonorm",40,"ER",0.0260606060606061,0.995187327823691
"Twonorm",41,"ER",0.0306060606060606,0.995104499540863
"Twonorm",42,"ER",0.0293939393939394,0.994883562901745
"Twonorm",43,"ER",0.0306060606060606,0.995107988980716
"Twonorm",44,"ER",0.0309090909090909,0.994961616161616
"Twonorm",45,"ER",0.03,0.995089439853076
"Twonorm",46,"ER",0.0312121212121212,0.994998347107438
"Twonorm",47,"ER",0.0315151515151515,0.995007162534435
"Twonorm",48,"ER",0.0309090909090909,0.994953168044077
"Twonorm",49,"ER",0.0296969696969697,0.995039485766758
"Twonorm",50,"ER",0.0293939393939394,0.994883746556474
"Twonorm",1,"AR",0.0257575757575758,0.995649954086318
"Twonorm",2,"AR",0.0257575757575758,0.995916253443526
"Twonorm",3,"AR",0.0251515151515152,0.995626078971534
"Twonorm",4,"AR",0.0254545454545455,0.995581634527089
"Twonorm",5,"AR",0.0266666666666667,0.995654729109275
