"dataset","sim","method","minpvalue","mse"
"Abalone",1,"AR",0.01,4.64018953858589
"Abalone",1,"AR",0.1,4.73737750308072
"Abalone",1,"AR",0.25,4.71330453379657
"Abalone",1,"AR",0.5,4.75298171514868
"Abalone",1,"AR",0.75,4.85497006812424
"Abalone",1,"AR",0.9,4.85529941904564
"Abalone",2,"AR",0.01,4.59291646139439
"Abalone",2,"AR",0.1,4.6705624500019
"Abalone",2,"AR",0.25,4.73523024713904
"Abalone",2,"AR",0.5,4.76783511420207
"Abalone",2,"AR",0.75,4.82795855367795
"Abalone",2,"AR",0.9,4.93069219257128
"Abalone",3,"AR",0.01,4.631552422952
"Abalone",3,"AR",0.1,4.71149074433025
"Abalone",3,"AR",0.25,4.7118303530504
"Abalone",3,"AR",0.5,4.74072527286989
"Abalone",3,"AR",0.75,4.80633855004634
"Abalone",3,"AR",0.9,4.80704984047962
"Abalone",4,"AR",0.01,4.6300997592501
"Abalone",4,"AR",0.1,4.68111573340232
"Abalone",4,"AR",0.25,4.7866713643205
"Abalone",4,"AR",0.5,4.79051603144268
"Abalone",4,"AR",0.75,4.81680488709165
"Abalone",4,"AR",0.9,4.88053989960294
"Abalone",5,"AR",0.01,4.62568520468542
"Abalone",5,"AR",0.1,4.7761245574836
"Abalone",5,"AR",0.25,4.69273566008467
"Abalone",5,"AR",0.5,4.77732124201946
"Abalone",5,"AR",0.75,4.84437244218792
"Abalone",5,"AR",0.9,4.89937633433468
"Abalone",6,"AR",0.01,4.64285165512502
"Abalone",6,"AR",0.1,4.71022339520124
"Abalone",6,"AR",0.25,4.72930242269473
"Abalone",6,"AR",0.5,4.79668216038416
"Abalone",6,"AR",0.75,4.82802989724807
"Abalone",6,"AR",0.9,4.84470377547149
"Abalone",7,"AR",0.01,4.57528724965226
"Abalone",7,"AR",0.1,4.69951716756564
"Abalone",7,"AR",0.25,4.7112706311732
"Abalone",7,"AR",0.5,4.76559789997685
"Abalone",7,"AR",0.75,4.82060356984032
"Abalone",7,"AR",0.9,4.84047178971716
"Abalone",8,"AR",0.01,4.62809366282914
"Abalone",8,"AR",0.1,4.71705532113622
"Abalone",8,"AR",0.25,4.7285858606423
"Abalone",8,"AR",0.5,4.77537058103796
"Abalone",8,"AR",0.75,4.8666712956643
"Abalone",8,"AR",0.9,4.81282136969033
"Abalone",9,"AR",0.01,4.58012771011307
"Abalone",9,"AR",0.1,4.69854145702114
"Abalone",9,"AR",0.25,4.71334086293757
"Abalone",9,"AR",0.5,4.78382551507402
"Abalone",9,"AR",0.75,4.85975643257095
"Abalone",9,"AR",0.9,4.91841267477616
"Abalone",10,"AR",0.01,4.61761033882971
"Abalone",10,"AR",0.1,4.69684098042523
"Abalone",10,"AR",0.25,4.75620761197908
"Abalone",10,"AR",0.5,4.7905104123353
"Abalone",10,"AR",0.75,4.86606161454956
"Abalone",10,"AR",0.9,4.8824421590779
"Abalone",11,"AR",0.01,4.62442077928336
"Abalone",11,"AR",0.1,4.71603679373412
"Abalone",11,"AR",0.25,4.7440477836961
"Abalone",11,"AR",0.5,4.7477630096317
"Abalone",11,"AR",0.75,4.8640745513598
"Abalone",11,"AR",0.9,4.87192073053279
"Abalone",12,"AR",0.01,4.61735676390516
"Abalone",12,"AR",0.1,4.70189359492311
"Abalone",12,"AR",0.25,4.76683419078376
"Abalone",12,"AR",0.5,4.77160943650775
"Abalone",12,"AR",0.75,4.81203485972773
"Abalone",12,"AR",0.9,4.88413901174709
"Abalone",13,"AR",0.01,4.60222842767006
"Abalone",13,"AR",0.1,4.65839858288554
"Abalone",13,"AR",0.25,4.75821600423129
"Abalone",13,"AR",0.5,4.80920935625503
"Abalone",13,"AR",0.75,4.84589667949361
"Abalone",13,"AR",0.9,4.8525366068529
"Abalone",14,"AR",0.01,4.63376402862783
"Abalone",14,"AR",0.1,4.71207072879219
"Abalone",14,"AR",0.25,4.74635252502363
"Abalone",14,"AR",0.5,4.80693162278886
"Abalone",14,"AR",0.75,4.81859897886499
"Abalone",14,"AR",0.9,4.85175762344622
"Abalone",15,"AR",0.01,4.62332496665983
"Abalone",15,"AR",0.1,4.6780372059248
"Abalone",15,"AR",0.25,4.76891249481163
"Abalone",15,"AR",0.5,4.83807629765903
"Abalone",15,"AR",0.75,4.78888620720963
"Abalone",15,"AR",0.9,4.90380677246735
"Abalone",16,"AR",0.01,4.60364881444817
"Abalone",16,"AR",0.1,4.62079785876877
"Abalone",16,"AR",0.25,4.67573658432044
"Abalone",16,"AR",0.5,4.76793183822427
"Abalone",16,"AR",0.75,4.8037277885536
"Abalone",16,"AR",0.9,4.87737868235671
"Abalone",17,"AR",0.01,4.62330162286098
"Abalone",17,"AR",0.1,4.69181863628338
"Abalone",17,"AR",0.25,4.75980014386741
"Abalone",17,"AR",0.5,4.75927884723684
"Abalone",17,"AR",0.75,4.80592691190598
"Abalone",17,"AR",0.9,4.82751885487985
"Abalone",18,"AR",0.01,4.60999507297518
"Abalone",18,"AR",0.1,4.69493962107041
"Abalone",18,"AR",0.25,4.74775402686274
"Abalone",18,"AR",0.5,4.78349326247811
"Abalone",18,"AR",0.75,4.87530297951663
"Abalone",18,"AR",0.9,4.86333897700759
"Abalone",19,"AR",0.01,4.63185865910139
"Abalone",19,"AR",0.1,4.67371271129104
"Abalone",19,"AR",0.25,4.70615393653448
"Abalone",19,"AR",0.5,4.78130952360764
"Abalone",19,"AR",0.75,4.81630220512617
"Abalone",19,"AR",0.9,4.88796655652908
"Abalone",20,"AR",0.01,4.63077782778858
"Abalone",20,"AR",0.1,4.66961663150717
"Abalone",20,"AR",0.25,4.71271148954218
"Abalone",20,"AR",0.5,4.75485382900721
"Abalone",20,"AR",0.75,4.8776041477784
"Abalone",20,"AR",0.9,4.87380814042172
"Abalone",21,"AR",0.01,4.64117486965269
"Abalone",21,"AR",0.1,4.6948450122295
"Abalone",21,"AR",0.25,4.74115704500442
"Abalone",21,"AR",0.5,4.79175570916185
"Abalone",21,"AR",0.75,4.85569960409693
"Abalone",21,"AR",0.9,4.88905607059919
"Abalone",22,"AR",0.01,4.61940788302863
