"dataset","sim","method","minpvalue","mse"
"Ailerons",1,"AR",0.01,3.69845666888581e-08
"Ailerons",1,"AR",0.1,4.29350802111839e-08
"Ailerons",1,"AR",0.25,4.84627286734631e-08
"Ailerons",1,"AR",0.5,5.32558727725449e-08
"Ailerons",1,"AR",0.75,5.76061051601014e-08
"Ailerons",1,"AR",0.9,5.97680354432829e-08
"Ailerons",2,"AR",0.01,3.69001134996374e-08
"Ailerons",2,"AR",0.1,4.28610125622343e-08
"Ailerons",2,"AR",0.25,4.79655949749505e-08
"Ailerons",2,"AR",0.5,5.38556709500308e-08
"Ailerons",2,"AR",0.75,5.88553190161953e-08
"Ailerons",2,"AR",0.9,6.18183015766292e-08
"Ailerons",3,"AR",0.01,3.68638889770182e-08
"Ailerons",3,"AR",0.1,4.34149300190058e-08
"Ailerons",3,"AR",0.25,4.91014715265606e-08
"Ailerons",3,"AR",0.5,5.32360038823463e-08
"Ailerons",3,"AR",0.75,5.61730159216858e-08
"Ailerons",3,"AR",0.9,5.84178863744412e-08
"Ailerons",4,"AR",0.01,3.69098643409077e-08
"Ailerons",4,"AR",0.1,4.33663851772904e-08
"Ailerons",4,"AR",0.25,4.89450336158265e-08
"Ailerons",4,"AR",0.5,5.40438810042751e-08
"Ailerons",4,"AR",0.75,5.83661114182911e-08
"Ailerons",4,"AR",0.9,5.88023566784559e-08
"Ailerons",5,"AR",0.01,3.72131104231184e-08
"Ailerons",5,"AR",0.1,4.38507652437041e-08
"Ailerons",5,"AR",0.25,4.9342079154818e-08
"Ailerons",5,"AR",0.5,5.47661138464127e-08
"Ailerons",5,"AR",0.75,5.75241191980835e-08
"Ailerons",5,"AR",0.9,5.79838255353196e-08
"Ailerons",6,"AR",0.01,3.76569201821423e-08
"Ailerons",6,"AR",0.1,4.29515411929446e-08
"Ailerons",6,"AR",0.25,4.87680802230519e-08
"Ailerons",6,"AR",0.5,5.30696056577146e-08
"Ailerons",6,"AR",0.75,5.71132481397917e-08
"Ailerons",6,"AR",0.9,5.89367514648202e-08
"Ailerons",7,"AR",0.01,3.73024944286387e-08
"Ailerons",7,"AR",0.1,4.24643271650217e-08
"Ailerons",7,"AR",0.25,4.87055977746663e-08
"Ailerons",7,"AR",0.5,5.33008434895129e-08
"Ailerons",7,"AR",0.75,5.60358839603308e-08
"Ailerons",7,"AR",0.9,5.83650607712458e-08
"Ailerons",8,"AR",0.01,3.69294290664207e-08
"Ailerons",8,"AR",0.1,4.36663952981713e-08
"Ailerons",8,"AR",0.25,4.87497753512543e-08
"Ailerons",8,"AR",0.5,5.35327003915081e-08
"Ailerons",8,"AR",0.75,5.7975841156923e-08
