"dataset","sim","method","minpvalue","mse"
"Airquality",1,"AR",0.01,368.920078784967
"Airquality",1,"AR",0.1,328.878765516757
"Airquality",1,"AR",0.25,361.348797610499
"Airquality",1,"AR",0.5,348.452317188246
"Airquality",1,"AR",0.75,370.3166426761
"Airquality",1,"AR",0.9,402.129592636251
"Airquality",2,"AR",0.01,313.961122276192
"Airquality",2,"AR",0.1,342.380472553698
"Airquality",2,"AR",0.25,366.183516112979
"Airquality",2,"AR",0.5,388.80534831721
"Airquality",2,"AR",0.75,387.465414910855
"Airquality",2,"AR",0.9,401.11593447418
"Airquality",3,"AR",0.01,334.604556297373
"Airquality",3,"AR",0.1,338.955593094547
"Airquality",3,"AR",0.25,346.321632891429
"Airquality",3,"AR",0.5,363.12134548209
"Airquality",3,"AR",0.75,398.048330356506
"Airquality",3,"AR",0.9,374.706528995368
"Airquality",4,"AR",0.01,328.470130135918
"Airquality",4,"AR",0.1,323.839782463582
"Airquality",4,"AR",0.25,339.009189765415
"Airquality",4,"AR",0.5,358.764082964964
"Airquality",4,"AR",0.75,378.866047834358
"Airquality",4,"AR",0.9,379.715073886811
"Airquality",5,"AR",0.01,334.304787072754
"Airquality",5,"AR",0.1,319.169255788333
"Airquality",5,"AR",0.25,333.766835307437
"Airquality",5,"AR",0.5,368.975039983901
"Airquality",5,"AR",0.75,418.682606446408
"Airquality",5,"AR",0.9,400.420986190952
"Airquality",6,"AR",0.01,357.676187804727
"Airquality",6,"AR",0.1,319.586036417882
"Airquality",6,"AR",0.25,339.638056147168
"Airquality",6,"AR",0.5,378.041509388229
"Airquality",6,"AR",0.75,401.408566699643
"Airquality",6,"AR",0.9,382.92872617519
"Airquality",7,"AR",0.01,328.223844541586
"Airquality",7,"AR",0.1,335.445787878218
"Airquality",7,"AR",0.25,345.53188461783
"Airquality",7,"AR",0.5,356.366088679319
"Airquality",7,"AR",0.75,376.179596285934
"Airquality",7,"AR",0.9,417.666398059484
"Airquality",8,"AR",0.01,333.927604446093
"Airquality",8,"AR",0.1,320.783772723501
"Airquality",8,"AR",0.25,326.990923302937
"Airquality",8,"AR",0.5,364.486366809353
"Airquality",8,"AR",0.75,365.913245801553
"Airquality",8,"AR",0.9,391.957579644788
"Airquality",9,"AR",0.01,329.469852670331
"Airquality",9,"AR",0.1,338.170093404554
"Airquality",9,"AR",0.25,315.069515864158
"Airquality",9,"AR",0.5,345.947619323208
"Airquality",9,"AR",0.75,406.692093474323
"Airquality",9,"AR",0.9,392.290425437829
