"dataset","sim","method","minpvalue","misclass","auc"
"Breast Cancer",1,"AR",0.01,0.0307467057101025,0.993893475065023
"Breast Cancer",1,"AR",0.1,0.0292825768667643,0.993968864261751
"Breast Cancer",1,"AR",0.25,0.0322108345534407,0.994129066304799
"Breast Cancer",1,"AR",0.5,0.0278184480234261,0.994006558860115
"Breast Cancer",1,"AR",0.75,0.0278184480234261,0.994430623091711
"Breast Cancer",1,"AR",0.9,0.0278184480234261,0.994345810245392
"Breast Cancer",2,"AR",0.01,0.0322108345534407,0.993497681782201
"Breast Cancer",2,"AR",0.1,0.0307467057101025,0.99377096762034
"Breast Cancer",2,"AR",0.25,0.0307467057101025,0.994402352142938
"Breast Cancer",2,"AR",0.5,0.0307467057101025,0.993987711560933
"Breast Cancer",2,"AR",0.75,0.0292825768667643,0.994176184552754
"Breast Cancer",2,"AR",0.9,0.0307467057101025,0.994374081194165
"Breast Cancer",3,"AR",0.01,0.0292825768667643,0.993525952730974
"Breast Cancer",3,"AR",0.1,0.0307467057101025,0.993705002073203
"Breast Cancer",3,"AR",0.25,0.0322108345534407,0.994063100757661
"Breast Cancer",3,"AR",0.5,0.0292825768667643,0.993610765577293
"Breast Cancer",3,"AR",0.75,0.0322108345534407,0.993997135210524
"Breast Cancer",3,"AR",0.9,0.0292825768667643,0.994072524407252
"Breast Cancer",4,"AR",0.01,0.0307467057101025,0.993818085868295
"Breast Cancer",4,"AR",0.1,0.0307467057101025,0.993940593312978
"Breast Cancer",4,"AR",0.25,0.0307467057101025,0.994195031851936
"Breast Cancer",4,"AR",0.5,0.0322108345534407,0.994025406159297
"Breast Cancer",4,"AR",0.75,0.0292825768667643,0.994006558860115
"Breast Cancer",4,"AR",0.9,0.0292825768667643,0.994204455501527
"Breast Cancer",5,"AR",0.01,0.0322108345534407,0.993902898714614
"Breast Cancer",5,"AR",0.1,0.0307467057101025,0.994006558860115
"Breast Cancer",5,"AR",0.25,0.0307467057101025,0.99377096762034
"Breast Cancer",5,"AR",0.5,0.0307467057101025,0.993723849372385
"Breast Cancer",5,"AR",0.75,0.0307467057101025,0.994298691997437
"Breast Cancer",5,"AR",0.9,0.0307467057101025,0.994251573749482
"Breast Cancer",6,"AR",0.01,0.0307467057101025,0.993827509517886
"Breast Cancer",6,"AR",0.1,0.0292825768667643,0.994223302800709
"Breast Cancer",6,"AR",0.25,0.0278184480234261,0.99432696294621
"Breast Cancer",6,"AR",0.5,0.0307467057101025,0.993921746013796
"Breast Cancer",6,"AR",0.75,0.0307467057101025,0.993978287911342
"Breast Cancer",6,"AR",0.9,0.0292825768667643,0.994279844698255
"Breast Cancer",7,"AR",0.01,0.0292825768667643,0.993874627765841
"Breast Cancer",7,"AR",0.1,0.0307467057101025,0.99367673112443
"Breast Cancer",7,"AR",0.25,0.0292825768667643,0.994487164989257
"Breast Cancer",7,"AR",0.5,0.0322108345534407,0.994298691997437
"Breast Cancer",7,"AR",0.75,0.0307467057101025,0.994110219005616
"Breast Cancer",7,"AR",0.9,0.0278184480234261,0.99432696294621
"Breast Cancer",8,"AR",0.01,0.0278184480234261,0.993836933167477
"Breast Cancer",8,"AR",0.1,0.0292825768667643,0.993544800030156
"Breast Cancer",8,"AR",0.25,0.0322108345534407,0.994411775792529
"Breast Cancer",8,"AR",0.5,0.0307467057101025,0.993978287911342
"Breast Cancer",8,"AR",0.75,0.0278184480234261,0.994100795356025
"Breast Cancer",8,"AR",0.9,0.0278184480234261,0.994223302800709
"Breast Cancer",9,"AR",0.01,0.0307467057101025,0.993780391269931
"Breast Cancer",9,"AR",0.1,0.0278184480234261,0.993733273021976
"Breast Cancer",9,"AR",0.25,0.0292825768667643,0.993968864261751
"Breast Cancer",9,"AR",0.5,0.0307467057101025,0.993931169663387
"Breast Cancer",9,"AR",0.75,0.0322108345534407,0.99395944061216
"Breast Cancer",9,"AR",0.9,0.0292825768667643,0.994364657544574
"Breast Cancer",10,"AR",0.01,0.0278184480234261,0.993375174337517
"Breast Cancer",10,"AR",0.1,0.0322108345534407,0.99386520411625
"Breast Cancer",10,"AR",0.25,0.0307467057101025,0.993799238569113
