"dataset","sim","method","minpvalue","misclass","auc"
"Birthwt",1,"AR",0.01,0.306878306878307,0.654889178617992
"Birthwt",1,"AR",0.1,0.328042328042328,0.652803129074315
"Birthwt",1,"AR",0.25,0.328042328042328,0.650325945241199
"Birthwt",1,"AR",0.5,0.333333333333333,0.645110821382008
"Birthwt",1,"AR",0.75,0.333333333333333,0.652803129074315
"Birthwt",1,"AR",0.9,0.333333333333333,0.652020860495437
"Birthwt",2,"AR",0.01,0.322751322751323,0.647457627118644
"Birthwt",2,"AR",0.1,0.333333333333333,0.64367666232073
"Birthwt",2,"AR",0.25,0.328042328042328,0.649022164276402
"Birthwt",2,"AR",0.5,0.333333333333333,0.651108213820078
"Birthwt",2,"AR",0.75,0.328042328042328,0.658279009126467
"Birthwt",2,"AR",0.9,0.306878306878307,0.658670143415906
"Birthwt",3,"AR",0.01,0.328042328042328,0.647848761408083
"Birthwt",3,"AR",0.1,0.333333333333333,0.648631029986962
"Birthwt",3,"AR",0.25,0.317460317460317,0.641199478487614
"Birthwt",3,"AR",0.5,0.322751322751323,0.652803129074316
"Birthwt",3,"AR",0.75,0.317460317460317,0.646153846153846
"Birthwt",3,"AR",0.9,0.328042328042328,0.650847457627119
"Birthwt",4,"AR",0.01,0.328042328042328,0.646544980443286
"Birthwt",4,"AR",0.1,0.338624338624339,0.651760104302477
"Birthwt",4,"AR",0.25,0.343915343915344,0.650325945241199
"Birthwt",4,"AR",0.5,0.328042328042328,0.647848761408083
"Birthwt",4,"AR",0.75,0.317460317460317,0.655019556714472
"Birthwt",4,"AR",0.9,0.333333333333333,0.654498044328553
"Birthwt",5,"AR",0.01,0.322751322751323,0.65593220338983
"Birthwt",5,"AR",0.1,0.338624338624339,0.650847457627119
"Birthwt",5,"AR",0.25,0.333333333333333,0.646414602346806
"Birthwt",5,"AR",0.5,0.312169312169312,0.655801825293351
"Birthwt",5,"AR",0.75,0.328042328042328,0.646936114732725
"Birthwt",5,"AR",0.9,0.306878306878307,0.650847457627119
"Birthwt",6,"AR",0.01,0.322751322751323,0.649022164276402
"Birthwt",6,"AR",0.1,0.328042328042328,0.646414602346806
"Birthwt",6,"AR",0.25,0.322751322751323,0.65593220338983
"Birthwt",6,"AR",0.5,0.328042328042328,0.655280312907432
"Birthwt",6,"AR",0.75,0.322751322751323,0.651760104302477
"Birthwt",6,"AR",0.9,0.317460317460317,0.658409387222947
"Birthwt",7,"AR",0.01,0.312169312169312,0.648370273794003
"Birthwt",7,"AR",0.1,0.338624338624339,0.645501955671447
"Birthwt",7,"AR",0.25,0.328042328042328,0.653324641460235
"Birthwt",7,"AR",0.5,0.333333333333333,0.651238591916558
"Birthwt",7,"AR",0.75,0.338624338624339,0.650847457627119
"Birthwt",7,"AR",0.9,0.322751322751323,0.653194263363755
"Birthwt",8,"AR",0.01,0.317460317460317,0.648631029986962
"Birthwt",8,"AR",0.1,0.322751322751323,0.646936114732725
"Birthwt",8,"AR",0.25,0.328042328042328,0.645371577574967
"Birthwt",8,"AR",0.5,0.328042328042328,0.648761408083442
"Birthwt",8,"AR",0.75,0.317460317460317,0.652933507170795
"Birthwt",8,"AR",0.9,0.333333333333333,0.658279009126467
"Birthwt",9,"AR",0.01,0.322751322751323,0.648500651890482
"Birthwt",9,"AR",0.1,0.328042328042328,0.654628422425033
"Birthwt",9,"AR",0.25,0.338624338624339,0.646153846153846
"Birthwt",9,"AR",0.5,0.333333333333333,0.655541069100391
"Birthwt",9,"AR",0.75,0.317460317460317,0.654889178617992
"Birthwt",9,"AR",0.9,0.328042328042328,0.656844850065189
"Birthwt",10,"AR",0.01,0.322751322751323,0.64393741851369
"Birthwt",10,"AR",0.1,0.333333333333333,0.649413298565841
"Birthwt",10,"AR",0.25,0.322751322751323,0.658018252933507
"Birthwt",10,"AR",0.5,0.317460317460317,0.644719687092568
"Birthwt",10,"AR",0.75,0.328042328042328,0.651890482398957
"Birthwt",10,"AR",0.9,0.317460317460317,0.659452411994785
"Birthwt",11,"AR",0.01,0.306878306878307,0.64980443285528
"Birthwt",11,"AR",0.1,0.328042328042328,0.652411994784876
"Birthwt",11,"AR",0.25,0.322751322751323,0.646675358539765
"Birthwt",11,"AR",0.5,0.328042328042328,0.653324641460235
"Birthwt",11,"AR",0.75,0.317460317460317,0.649282920469361
"Birthwt",11,"AR",0.9,0.306878306878307,0.653324641460235
"Birthwt",12,"AR",0.01,0.312169312169312,0.64980443285528
"Birthwt",12,"AR",0.1,0.317460317460317,0.64406779661017
"Birthwt",12,"AR",0.25,0.333333333333333,0.652672750977836
"Birthwt",12,"AR",0.5,0.333333333333333,0.655280312907432
