"dataset","sim","method","minpvalue","mse"
"Elevators",1,"AR",0.01,1.07653187345861e-05
"Elevators",1,"AR",0.1,1.21193889966065e-05
"Elevators",1,"AR",0.25,1.34202392409744e-05
"Elevators",1,"AR",0.5,1.47690802879007e-05
"Elevators",1,"AR",0.75,1.53568260308393e-05
"Elevators",1,"AR",0.9,1.57153653251016e-05
"Elevators",2,"AR",0.01,1.07505009764911e-05
"Elevators",2,"AR",0.1,1.20551213220403e-05
"Elevators",2,"AR",0.25,1.3388295163032e-05
"Elevators",2,"AR",0.5,1.45218683673137e-05
"Elevators",2,"AR",0.75,1.51469057761889e-05
"Elevators",2,"AR",0.9,1.56575575467944e-05
"Elevators",3,"AR",0.01,1.0957419844201e-05
"Elevators",3,"AR",0.1,1.21145809318756e-05
"Elevators",3,"AR",0.25,1.33312612338624e-05
"Elevators",3,"AR",0.5,1.47656088766462e-05
"Elevators",3,"AR",0.75,1.54130786886901e-05
"Elevators",3,"AR",0.9,1.59020514302353e-05
"Elevators",4,"AR",0.01,1.06332146693623e-05
"Elevators",4,"AR",0.1,1.20611738619593e-05
"Elevators",4,"AR",0.25,1.34402952145941e-05
"Elevators",4,"AR",0.5,1.48340308099669e-05
"Elevators",4,"AR",0.75,1.5337701169195e-05
"Elevators",4,"AR",0.9,1.56925266481378e-05
"Elevators",5,"AR",0.01,1.08238747850883e-05
"Elevators",5,"AR",0.1,1.18525985288667e-05
"Elevators",5,"AR",0.25,1.3158530191385e-05
"Elevators",5,"AR",0.5,1.44110967603182e-05
"Elevators",5,"AR",0.75,1.55224013802639e-05
"Elevators",5,"AR",0.9,1.56482636662378e-05
"Elevators",6,"AR",0.01,1.07279658552562e-05
"Elevators",6,"AR",0.1,1.20037869349787e-05
"Elevators",6,"AR",0.25,1.34642790018211e-05
"Elevators",6,"AR",0.5,1.45316793847836e-05
"Elevators",6,"AR",0.75,1.51930452036104e-05
"Elevators",6,"AR",0.9,1.55943799968881e-05
"Elevators",7,"AR",0.01,1.06197173824531e-05
"Elevators",7,"AR",0.1,1.21837763256424e-05
"Elevators",7,"AR",0.25,1.3244679296218e-05
"Elevators",7,"AR",0.5,1.47013910057708e-05
"Elevators",7,"AR",0.75,1.54144873337952e-05
"Elevators",7,"AR",0.9,1.57750362193187e-05
"Elevators",8,"AR",0.01,1.08045558046922e-05
"Elevators",8,"AR",0.1,1.22601299833588e-05
"Elevators",8,"AR",0.25,1.33632996641455e-05
"Elevators",8,"AR",0.5,1.44422421412539e-05
"Elevators",8,"AR",0.75,1.52880010640318e-05
"Elevators",8,"AR",0.9,1.55355776369645e-05
"Elevators",9,"AR",0.01,1.08144237213971e-05
"Elevators",9,"AR",0.1,1.21909561505815e-05
"Elevators",9,"AR",0.25,1.33991455725483e-05
"Elevators",9,"AR",0.5,1.45644068226436e-05
"Elevators",9,"AR",0.75,1.5099125738553e-05
"Elevators",9,"AR",0.9,1.57114758059694e-05
"Elevators",10,"AR",0.01,1.06731844932009e-05
"Elevators",10,"AR",0.1,1.19704763217207e-05
"Elevators",10,"AR",0.25,1.33154029530579e-05
"Elevators",10,"AR",0.5,1.46753073841853e-05
"Elevators",10,"AR",0.75,1.51241658601267e-05
"Elevators",10,"AR",0.9,1.59010634721746e-05
"Elevators",11,"AR",0.01,1.07703019763511e-05
"Elevators",11,"AR",0.1,1.19687539901684e-05
"Elevators",11,"AR",0.25,1.34028343800037e-05
"Elevators",11,"AR",0.5,1.45093519027753e-05
"Elevators",11,"AR",0.75,1.53733464792135e-05
"Elevators",11,"AR",0.9,1.57422568773553e-05
"Elevators",12,"AR",0.01,1.06861698551549e-05
"Elevators",12,"AR",0.1,1.21091671150612e-05
"Elevators",12,"AR",0.25,1.33412969959623e-05
"Elevators",12,"AR",0.5,1.47609051035803e-05
"Elevators",12,"AR",0.75,1.55301819242045e-05
"Elevators",12,"AR",0.9,1.56278936522058e-05
"Elevators",13,"AR",0.01,1.09006679056078e-05
"Elevators",13,"AR",0.1,1.21834211756857e-05
"Elevators",13,"AR",0.25,1.33461532841361e-05
"Elevators",13,"AR",0.5,1.46616479540562e-05
"Elevators",13,"AR",0.75,1.55180940668393e-05
"Elevators",13,"AR",0.9,1.54990423153736e-05
"Elevators",14,"AR",0.01,1.07373402330706e-05
"Elevators",14,"AR",0.1,1.20017485842936e-05
"Elevators",14,"AR",0.25,1.32522927289335e-05
"Elevators",14,"AR",0.5,1.45499893898682e-05
"Elevators",14,"AR",0.75,1.54024505570036e-05
"Elevators",14,"AR",0.9,1.57013432612434e-05
"Elevators",15,"AR",0.01,1.10154820409267e-05
"Elevators",15,"AR",0.1,1.1971956403379e-05
"Elevators",15,"AR",0.25,1.34043789714275e-05
