"dataset","sim","method","minpvalue","mse"
"Friedman3",1,"AR",0.01,0.0124085620357394
"Friedman3",1,"AR",0.1,0.0139119885350607
"Friedman3",1,"AR",0.25,0.0158075373192667
"Friedman3",1,"AR",0.5,0.0185123941005446
"Friedman3",1,"AR",0.75,0.0212877192873418
"Friedman3",1,"AR",0.9,0.0228666232954801
"Friedman3",2,"AR",0.01,0.0125053804911002
"Friedman3",2,"AR",0.1,0.0142736888259221
"Friedman3",2,"AR",0.25,0.0164349152183471
"Friedman3",2,"AR",0.5,0.0189615348144419
"Friedman3",2,"AR",0.75,0.0218313986792262
"Friedman3",2,"AR",0.9,0.0232591952465052
"Friedman3",3,"AR",0.01,0.0124013131723753
"Friedman3",3,"AR",0.1,0.0144304749022601
"Friedman3",3,"AR",0.25,0.0155725254091823
"Friedman3",3,"AR",0.5,0.0186446613907775
"Friedman3",3,"AR",0.75,0.0225706573520885
"Friedman3",3,"AR",0.9,0.0224530110435061
"Friedman3",4,"AR",0.01,0.0125248081572758
"Friedman3",4,"AR",0.1,0.0136416720440106
"Friedman3",4,"AR",0.25,0.0164900084844659
"Friedman3",4,"AR",0.5,0.019662576546522
"Friedman3",4,"AR",0.75,0.0215936033192952
"Friedman3",4,"AR",0.9,0.0225631924930403
"Friedman3",5,"AR",0.01,0.0124647295570197
"Friedman3",5,"AR",0.1,0.0140373743295481
"Friedman3",5,"AR",0.25,0.0160889790834957
"Friedman3",5,"AR",0.5,0.0195696532705544
"Friedman3",5,"AR",0.75,0.0220220870567645
"Friedman3",5,"AR",0.9,0.0224207139948525
"Friedman3",6,"AR",0.01,0.0126994823063589
"Friedman3",6,"AR",0.1,0.0138701730214002
"Friedman3",6,"AR",0.25,0.0158324300108362
"Friedman3",6,"AR",0.5,0.0189411996868326
"Friedman3",6,"AR",0.75,0.0208427833240223
"Friedman3",6,"AR",0.9,0.0222219917146946
"Friedman3",7,"AR",0.01,0.0126525495344202
"Friedman3",7,"AR",0.1,0.0139547853899038
"Friedman3",7,"AR",0.25,0.0165316553106676
"Friedman3",7,"AR",0.5,0.0184236014229302
"Friedman3",7,"AR",0.75,0.021260149542409
"Friedman3",7,"AR",0.9,0.0227695088915598
"Friedman3",8,"AR",0.01,0.0126514802365967
"Friedman3",8,"AR",0.1,0.0141025244982996
"Friedman3",8,"AR",0.25,0.015762516157441
"Friedman3",8,"AR",0.5,0.0176062088371715
"Friedman3",8,"AR",0.75,0.0220028027510504
"Friedman3",8,"AR",0.9,0.0214716673494503
"Friedman3",9,"AR",0.01,0.012389620676878
"Friedman3",9,"AR",0.1,0.0135996883074498
"Friedman3",9,"AR",0.25,0.0156453727591218
"Friedman3",9,"AR",0.5,0.0179180426090545
"Friedman3",9,"AR",0.75,0.0210105680160125
"Friedman3",9,"AR",0.9,0.0225009968295659
"Friedman3",10,"AR",0.01,0.0123017599333069
"Friedman3",10,"AR",0.1,0.0138173251062581
"Friedman3",10,"AR",0.25,0.0155634551347702
"Friedman3",10,"AR",0.5,0.0181162757268044
"Friedman3",10,"AR",0.75,0.0205058507439509
"Friedman3",10,"AR",0.9,0.0228721171701482
"Friedman3",11,"AR",0.01,0.0125515062110956
"Friedman3",11,"AR",0.1,0.013924510712214
"Friedman3",11,"AR",0.25,0.0160671663528114
"Friedman3",11,"AR",0.5,0.018443543532966
"Friedman3",11,"AR",0.75,0.0208866217369369
"Friedman3",11,"AR",0.9,0.0235314771103756
"Friedman3",12,"AR",0.01,0.0124887159819387
"Friedman3",12,"AR",0.1,0.0137668255013916
"Friedman3",12,"AR",0.25,0.015490893764829
"Friedman3",12,"AR",0.5,0.0183245431697477
"Friedman3",12,"AR",0.75,0.0219241090359406
"Friedman3",12,"AR",0.9,0.0218124232640053
"Friedman3",13,"AR",0.01,0.0127782450265811
"Friedman3",13,"AR",0.1,0.0142349672741403
"Friedman3",13,"AR",0.25,0.01571354569394
"Friedman3",13,"AR",0.5,0.0180114359444652
"Friedman3",13,"AR",0.75,0.0221433902875322
"Friedman3",13,"AR",0.9,0.0216025479610652
"Friedman3",14,"AR",0.01,0.0128558607649997
"Friedman3",14,"AR",0.1,0.0139478056594216
"Friedman3",14,"AR",0.25,0.015823249654949
"Friedman3",14,"AR",0.5,0.0182686628250753
"Friedman3",14,"AR",0.75,0.0216092042144109
"Friedman3",14,"AR",0.9,0.0227842173724395
"Friedman3",15,"AR",0.01,0.0126177998367269
"Friedman3",15,"AR",0.1,0.0144066455767362
"Friedman3",15,"AR",0.25,0.0159298288599042
"Friedman3",15,"AR",0.5,0.0187585964336307
"Friedman3",15,"AR",0.75,0.0212593570729278
"Friedman3",15,"AR",0.9,0.0231979038024629
"Friedman3",16,"AR",0.01,0.0124549736852529
"Friedman3",16,"AR",0.1,0.0140788303848484
"Friedman3",16,"AR",0.25,0.01603241845558
"Friedman3",16,"AR",0.5,0.018662553495395
"Friedman3",16,"AR",0.75,0.0207049733798112
"Friedman3",16,"AR",0.9,0.0229365964724029
"Friedman3",17,"AR",0.01,0.012329810151864
"Friedman3",17,"AR",0.1,0.0142928399869872
"Friedman3",17,"AR",0.25,0.0160633389115568
"Friedman3",17,"AR",0.5,0.0181669484734908
"Friedman3",17,"AR",0.75,0.0219382763079657
"Friedman3",17,"AR",0.9,0.0219595482325383
"Friedman3",18,"AR",0.01,0.0127885574182619
"Friedman3",18,"AR",0.1,0.0141492649514878
"Friedman3",18,"AR",0.25,0.0162012697353263
"Friedman3",18,"AR",0.5,0.0185434782709067
"Friedman3",18,"AR",0.75,0.0213789211818206
"Friedman3",18,"AR",0.9,0.0228030140074699
"Friedman3",19,"AR",0.01,0.0123020055455209
"Friedman3",19,"AR",0.1,0.0141707893163165
"Friedman3",19,"AR",0.25,0.0157913115518781
"Friedman3",19,"AR",0.5,0.0198401609614168
"Friedman3",19,"AR",0.75,0.0211614726477979
"Friedman3",19,"AR",0.9,0.0222922518541061
"Friedman3",20,"AR",0.01,0.0126158889061438
"Friedman3",20,"AR",0.1,0.0141060145544833
"Friedman3",20,"AR",0.25,0.015550191682119
"Friedman3",20,"AR",0.5,0.0178824879222199
"Friedman3",20,"AR",0.75,0.0208787210829565
"Friedman3",20,"AR",0.9,0.0226426672827627
"Friedman3",21,"AR",0.01,0.012522753132311
"Friedman3",21,"AR",0.1,0.0142001968499813
"Friedman3",21,"AR",0.25,0.0151013451118726
"Friedman3",21,"AR",0.5,0.0186475191737176
"Friedman3",21,"AR",0.75,0.0226692444288761
"Friedman3",21,"AR",0.9,0.02122824224908
"Friedman3",22,"AR",0.01,0.0124715875986876
"Friedman3",22,"AR",0.1,0.0142697016119442
"Friedman3",22,"AR",0.25,0.0156400979662466
"Friedman3",22,"AR",0.5,0.0180527701514856
"Friedman3",22,"AR",0.75,0.0216940314100629
"Friedman3",22,"AR",0.9,0.022179459117046
"Friedman3",23,"AR",0.01,0.0123457042286455
"Friedman3",23,"AR",0.1,0.0137979103379201
"Friedman3",23,"AR",0.25,0.015390806196986
"Friedman3",23,"AR",0.5,0.0189668160230564
"Friedman3",23,"AR",0.75,0.0207416578326305
"Friedman3",23,"AR",0.9,0.022894681732293
"Friedman3",24,"AR",0.01,0.0124270925973497
"Friedman3",24,"AR",0.1,0.0138140655289757
"Friedman3",24,"AR",0.25,0.0164559360040881
"Friedman3",24,"AR",0.5,0.0186628293117801
"Friedman3",24,"AR",0.75,0.0208472446673687
"Friedman3",24,"AR",0.9,0.0233360815699012
"Friedman3",25,"AR",0.01,0.0125148887323983
"Friedman3",25,"AR",0.1,0.0143685550024462
"Friedman3",25,"AR",0.25,0.0157966297820115
"Friedman3",25,"AR",0.5,0.0182800412960635
"Friedman3",25,"AR",0.75,0.0210300188934039
"Friedman3",25,"AR",0.9,0.0240865787737388
"Friedman3",26,"AR",0.01,0.0123517522409454
"Friedman3",26,"AR",0.1,0.0139251879834259
"Friedman3",26,"AR",0.25,0.0164422198269104
"Friedman3",26,"AR",0.5,0.018666285949601
"Friedman3",26,"AR",0.75,0.0207267301235598
"Friedman3",26,"AR",0.9,0.0218670221278064
"Friedman3",27,"AR",0.01,0.0124683153486626
"Friedman3",27,"AR",0.1,0.0138127232243411
"Friedman3",27,"AR",0.25,0.0162580244164009
"Friedman3",27,"AR",0.5,0.0188577666162124
"Friedman3",27,"AR",0.75,0.0214580713759553
"Friedman3",27,"AR",0.9,0.0230380597133765
"Friedman3",28,"AR",0.01,0.0121630969755686
"Friedman3",28,"AR",0.1,0.0143065882757012
"Friedman3",28,"AR",0.25,0.0157868382137024
"Friedman3",28,"AR",0.5,0.0194513103182527
"Friedman3",28,"AR",0.75,0.021439402553908
"Friedman3",28,"AR",0.9,0.022623076316891
"Friedman3",29,"AR",0.01,0.0122164671269839
"Friedman3",29,"AR",0.1,0.0138071360677525
"Friedman3",29,"AR",0.25,0.0155689337615662
"Friedman3",29,"AR",0.5,0.0187801876973276
"Friedman3",29,"AR",0.75,0.0215291226866065
"Friedman3",29,"AR",0.9,0.0213045458806574
"Friedman3",30,"AR",0.01,0.0129597205223936
"Friedman3",30,"AR",0.1,0.0140152274913662
"Friedman3",30,"AR",0.25,0.0157139061613551
"Friedman3",30,"AR",0.5,0.0185733605603668
"Friedman3",30,"AR",0.75,0.0213414785028733
"Friedman3",30,"AR",0.9,0.0223657551588497
"Friedman3",31,"AR",0.01,0.0124417937673141
"Friedman3",31,"AR",0.1,0.0139236623577916
"Friedman3",31,"AR",0.25,0.0151671965842849
"Friedman3",31,"AR",0.5,0.019572034805944
"Friedman3",31,"AR",0.75,0.0216644975420744
"Friedman3",31,"AR",0.9,0.0231493342358326
"Friedman3",32,"AR",0.01,0.0123551028493891
"Friedman3",32,"AR",0.1,0.0138191845884626
"Friedman3",32,"AR",0.25,0.0160347065857448
"Friedman3",32,"AR",0.5,0.0181327745302678
"Friedman3",32,"AR",0.75,0.0230498729933748
"Friedman3",32,"AR",0.9,0.0226115116091378
"Friedman3",33,"AR",0.01,0.0126304249595166
"Friedman3",33,"AR",0.1,0.0137183908048016
"Friedman3",33,"AR",0.25,0.0167965090796295
"Friedman3",33,"AR",0.5,0.0184223256904441
"Friedman3",33,"AR",0.75,0.0204014643655758
"Friedman3",33,"AR",0.9,0.0235941037377676
"Friedman3",34,"AR",0.01,0.0124438853995182
"Friedman3",34,"AR",0.1,0.0132418150176311
"Friedman3",34,"AR",0.25,0.0164097707622655
"Friedman3",34,"AR",0.5,0.0186640196361637
"Friedman3",34,"AR",0.75,0.0224598621962189
"Friedman3",34,"AR",0.9,0.0233682961287041
"Friedman3",35,"AR",0.01,0.0124901434005327
"Friedman3",35,"AR",0.1,0.0139250655858542
"Friedman3",35,"AR",0.25,0.0158193654843411
"Friedman3",35,"AR",0.5,0.0190906967636873
"Friedman3",35,"AR",0.75,0.0199861624201993
"Friedman3",35,"AR",0.9,0.0224602266816533
"Friedman3",36,"AR",0.01,0.0123715124168618
"Friedman3",36,"AR",0.1,0.0140993390371974
"Friedman3",36,"AR",0.25,0.0163747449989519
"Friedman3",36,"AR",0.5,0.0196339686242612
"Friedman3",36,"AR",0.75,0.021733630003209
"Friedman3",36,"AR",0.9,0.0228990932179873
"Friedman3",37,"AR",0.01,0.0126637642488361
"Friedman3",37,"AR",0.1,0.0140219910861472
"Friedman3",37,"AR",0.25,0.0157497085852413
"Friedman3",37,"AR",0.5,0.0189944184643325
"Friedman3",37,"AR",0.75,0.021505059650576
"Friedman3",37,"AR",0.9,0.0222644194583626
"Friedman3",38,"AR",0.01,0.0125049496969258
"Friedman3",38,"AR",0.1,0.0140911667557709
"Friedman3",38,"AR",0.25,0.0160167019527801
"Friedman3",38,"AR",0.5,0.0183093115869136
"Friedman3",38,"AR",0.75,0.0218756794751084
"Friedman3",38,"AR",0.9,0.0227798815683254
"Friedman3",39,"AR",0.01,0.0123816414744988
"Friedman3",39,"AR",0.1,0.0138440550519328
"Friedman3",39,"AR",0.25,0.0156965807963277
"Friedman3",39,"AR",0.5,0.0186503950052848
"Friedman3",39,"AR",0.75,0.0201509225609463
"Friedman3",39,"AR",0.9,0.0214834176415368
"Friedman3",40,"AR",0.01,0.0123957292956023
"Friedman3",40,"AR",0.1,0.0141005508958538
"Friedman3",40,"AR",0.25,0.0157345872370926
"Friedman3",40,"AR",0.5,0.0183759832435851
"Friedman3",40,"AR",0.75,0.0206781375818513
"Friedman3",40,"AR",0.9,0.0227650390347887
"Friedman3",41,"AR",0.01,0.0123889541034875
"Friedman3",41,"AR",0.1,0.0137266516509634
"Friedman3",41,"AR",0.25,0.0158440551445196
"Friedman3",41,"AR",0.5,0.0191083058581362
"Friedman3",41,"AR",0.75,0.0214573560601582
"Friedman3",41,"AR",0.9,0.0222463280554196
"Friedman3",42,"AR",0.01,0.0124205550289684
"Friedman3",42,"AR",0.1,0.0134369445896936
"Friedman3",42,"AR",0.25,0.0160374307366898
"Friedman3",42,"AR",0.5,0.0178913832304949
"Friedman3",42,"AR",0.75,0.0207721649864257
"Friedman3",42,"AR",0.9,0.0226449728355308
"Friedman3",43,"AR",0.01,0.0123126237348077
"Friedman3",43,"AR",0.1,0.0140425851840296
"Friedman3",43,"AR",0.25,0.0160749722914837
"Friedman3",43,"AR",0.5,0.018133515083045
"Friedman3",43,"AR",0.75,0.0219067779955511
"Friedman3",43,"AR",0.9,0.022160180534313
"Friedman3",44,"AR",0.01,0.0124774003396174
"Friedman3",44,"AR",0.1,0.0143729543238152
"Friedman3",44,"AR",0.25,0.016323326115354
"Friedman3",44,"AR",0.5,0.0187807471898177
"Friedman3",44,"AR",0.75,0.0216570803872359
"Friedman3",44,"AR",0.9,0.022222176227932
"Friedman3",45,"AR",0.01,0.0122419927380151
"Friedman3",45,"AR",0.1,0.0140884939085374
"Friedman3",45,"AR",0.25,0.0157445369748786
"Friedman3",45,"AR",0.5,0.019734964002604
"Friedman3",45,"AR",0.75,0.0214377524869882
"Friedman3",45,"AR",0.9,0.0218970181150804
"Friedman3",46,"AR",0.01,0.0123330980193525
"Friedman3",46,"AR",0.1,0.0140923911375033
"Friedman3",46,"AR",0.25,0.0158053373163394
"Friedman3",46,"AR",0.5,0.0194424664001597
"Friedman3",46,"AR",0.75,0.0221927728137109
"Friedman3",46,"AR",0.9,0.0234079620698663
"Friedman3",47,"AR",0.01,0.0123268095547035
"Friedman3",47,"AR",0.1,0.013914850160385
"Friedman3",47,"AR",0.25,0.0156365750555064
"Friedman3",47,"AR",0.5,0.0187302536070803
"Friedman3",47,"AR",0.75,0.0206694664013571
"Friedman3",47,"AR",0.9,0.023280173624041
"Friedman3",48,"AR",0.01,0.0124603554809303
"Friedman3",48,"AR",0.1,0.0139900355195092
"Friedman3",48,"AR",0.25,0.0152850035832007
"Friedman3",48,"AR",0.5,0.0185216172157725
"Friedman3",48,"AR",0.75,0.0208072790610539
"Friedman3",48,"AR",0.9,0.0227386507287919
"Friedman3",49,"AR",0.01,0.0123188487593182
"Friedman3",49,"AR",0.1,0.0142606248130423
"Friedman3",49,"AR",0.25,0.0159527970289741
"Friedman3",49,"AR",0.5,0.0181395558167362
"Friedman3",49,"AR",0.75,0.0213843990063678
"Friedman3",49,"AR",0.9,0.0217729012007603
"Friedman3",50,"AR",0.01,0.0125952278001608
"Friedman3",50,"AR",0.1,0.0140598034083086
"Friedman3",50,"AR",0.25,0.0155278016985666
"Friedman3",50,"AR",0.5,0.0186883606935347
"Friedman3",50,"AR",0.75,0.0210352642537524
"Friedman3",50,"AR",0.9,0.0231514741284085
