"dataset","sim","method","minpvalue","misclass","auc"
"German",1,"AR",0.01,0.25,0.796252380952381
"German",1,"AR",0.1,0.238,0.8009
"German",1,"AR",0.25,0.246,0.797195238095238
"German",1,"AR",0.5,0.25,0.797647619047619
"German",1,"AR",0.75,0.267,0.79742380952381
"German",1,"AR",0.9,0.273,0.796185714285714
"German",2,"AR",0.01,0.246,0.796333333333333
"German",2,"AR",0.1,0.236,0.799680952380952
"German",2,"AR",0.25,0.247,0.801957142857143
"German",2,"AR",0.5,0.257,0.798495238095238
"German",2,"AR",0.75,0.269,0.796871428571429
"German",2,"AR",0.9,0.272,0.794904761904762
"German",3,"AR",0.01,0.245,0.794480952380952
"German",3,"AR",0.1,0.24,0.799733333333333
"German",3,"AR",0.25,0.245,0.797033333333333
"German",3,"AR",0.5,0.256,0.802390476190476
"German",3,"AR",0.75,0.267,0.795257142857143
"German",3,"AR",0.9,0.268,0.7957
"German",4,"AR",0.01,0.244,0.795885714285714
"German",4,"AR",0.1,0.238,0.801128571428571
"German",4,"AR",0.25,0.247,0.796009523809524
"German",4,"AR",0.5,0.253,0.801371428571429
"German",4,"AR",0.75,0.265,0.800357142857143
"German",4,"AR",0.9,0.268,0.798238095238095
"German",5,"AR",0.01,0.25,0.794438095238095
"German",5,"AR",0.1,0.243,0.800280952380952
"German",5,"AR",0.25,0.25,0.79852380952381
"German",5,"AR",0.5,0.253,0.796985714285714
"German",5,"AR",0.75,0.266,0.794895238095238
"German",5,"AR",0.9,0.269,0.791352380952381
"German",6,"AR",0.01,0.248,0.794042857142857
"German",6,"AR",0.1,0.25,0.798295238095238
"German",6,"AR",0.25,0.256,0.796085714285714
"German",6,"AR",0.5,0.254,0.799228571428571
"German",6,"AR",0.75,0.268,0.792080952380952
"German",6,"AR",0.9,0.27,0.79607619047619
"German",7,"AR",0.01,0.248,0.795038095238095
"German",7,"AR",0.1,0.243,0.79872380952381
"German",7,"AR",0.25,0.247,0.797271428571429
"German",7,"AR",0.5,0.253,0.794504761904762
"German",7,"AR",0.75,0.262,0.796904761904762
"German",7,"AR",0.9,0.271,0.7982
"German",8,"AR",0.01,0.245,0.794485714285714
"German",8,"AR",0.1,0.239,0.799795238095238
"German",8,"AR",0.25,0.248,0.797061904761905
"German",8,"AR",0.5,0.259,0.796890476190476
"German",8,"AR",0.75,0.265,0.793461904761905
"German",8,"AR",0.9,0.27,0.793880952380952
"German",9,"AR",0.01,0.248,0.794942857142857
"German",9,"AR",0.1,0.237,0.799933333333333
"German",9,"AR",0.25,0.25,0.79447619047619
"German",9,"AR",0.5,0.26,0.792947619047619
"German",9,"AR",0.75,0.266,0.790547619047619
"German",9,"AR",0.9,0.264,0.795895238095238
"German",10,"AR",0.01,0.245,0.795390476190476
"German",10,"AR",0.1,0.24,0.7976
"German",10,"AR",0.25,0.248,0.795604761904762
"German",10,"AR",0.5,0.258,0.8012
