"dataset","sim","method","minpvalue","mse"
"Housing",1,"AR",0.01,15.0539239429113
"Housing",1,"AR",0.1,16.9932989960729
"Housing",1,"AR",0.25,18.1138045089707
"Housing",1,"AR",0.5,19.2627475838946
"Housing",1,"AR",0.75,18.9928258185106
"Housing",1,"AR",0.9,22.2473522462831
"Housing",2,"AR",0.01,14.4749365880983
"Housing",2,"AR",0.1,15.0942688399262
"Housing",2,"AR",0.25,17.3066378698696
"Housing",2,"AR",0.5,19.9724679515521
"Housing",2,"AR",0.75,21.2286265509918
"Housing",2,"AR",0.9,20.9603111080819
"Housing",3,"AR",0.01,12.925258701104
"Housing",3,"AR",0.1,15.334925543737
"Housing",3,"AR",0.25,16.6457075639222
"Housing",3,"AR",0.5,18.7362529839437
"Housing",3,"AR",0.75,21.1598669661545
"Housing",3,"AR",0.9,20.6403718237214
"Housing",4,"AR",0.01,14.6774895270575
"Housing",4,"AR",0.1,15.9409655727984
"Housing",4,"AR",0.25,17.3616074023449
"Housing",4,"AR",0.5,17.8941651935485
"Housing",4,"AR",0.75,21.0377456810372
"Housing",4,"AR",0.9,22.0618603902737
"Housing",5,"AR",0.01,14.9872715839932
"Housing",5,"AR",0.1,15.587642986425
"Housing",5,"AR",0.25,16.8788077367628
"Housing",5,"AR",0.5,19.6033629708874
"Housing",5,"AR",0.75,20.3611827720739
"Housing",5,"AR",0.9,22.4953152045706
"Housing",6,"AR",0.01,14.4950478671524
"Housing",6,"AR",0.1,16.2028031745785
"Housing",6,"AR",0.25,17.7846187398523
"Housing",6,"AR",0.5,19.8602864175263
"Housing",6,"AR",0.75,21.8027269640076
"Housing",6,"AR",0.9,20.4492559488169
"Housing",7,"AR",0.01,14.1747087720276
"Housing",7,"AR",0.1,15.3098716244364
"Housing",7,"AR",0.25,16.8976077335543
"Housing",7,"AR",0.5,18.7064834328677
"Housing",7,"AR",0.75,20.3971253539914
"Housing",7,"AR",0.9,21.3588412740567
"Housing",8,"AR",0.01,14.4023435543509
"Housing",8,"AR",0.1,16.2057373541632
"Housing",8,"AR",0.25,15.7735550422905
"Housing",8,"AR",0.5,19.3668337075127
"Housing",8,"AR",0.75,20.270385810719
"Housing",8,"AR",0.9,20.765799573236
"Housing",9,"AR",0.01,13.3887175319528
"Housing",9,"AR",0.1,15.1188680815156
"Housing",9,"AR",0.25,17.8728101219525
"Housing",9,"AR",0.5,19.7345776226295
"Housing",9,"AR",0.75,21.1235488499462
"Housing",9,"AR",0.9,20.5589062482261
"Housing",10,"AR",0.01,14.7873319680463
"Housing",10,"AR",0.1,16.2689808457701
"Housing",10,"AR",0.25,17.2868681464661
"Housing",10,"AR",0.5,19.6649529017518
"Housing",10,"AR",0.75,20.7738958558475
"Housing",10,"AR",0.9,20.9463196687855
"Housing",11,"AR",0.01,13.284307689818
"Housing",11,"AR",0.1,16.1360217368639
"Housing",11,"AR",0.25,17.9946813482929
"Housing",11,"AR",0.5,18.7545574168166
"Housing",11,"AR",0.75,20.2746410915431
"Housing",11,"AR",0.9,20.7005163482487
"Housing",12,"AR",0.01,15.6822678881518
"Housing",12,"AR",0.1,16.349846456373
"Housing",12,"AR",0.25,18.1038833654287
"Housing",12,"AR",0.5,19.2539801512921
"Housing",12,"AR",0.75,21.4552778246857
"Housing",12,"AR",0.9,22.9766010626025
"Housing",13,"AR",0.01,13.8292400581225
"Housing",13,"AR",0.1,15.5814060642144
"Housing",13,"AR",0.25,18.6918119838745
"Housing",13,"AR",0.5,18.9133450229635
"Housing",13,"AR",0.75,20.9133604767063
"Housing",13,"AR",0.9,21.5672247728123
"Housing",14,"AR",0.01,14.515109675432
"Housing",14,"AR",0.1,15.9853111427114
"Housing",14,"AR",0.25,17.6305573846267
"Housing",14,"AR",0.5,18.9913100555645
"Housing",14,"AR",0.75,20.173893330066
"Housing",14,"AR",0.9,21.0826785304316
"Housing",15,"AR",0.01,15.2838936893464
"Housing",15,"AR",0.1,15.5905642033502
"Housing",15,"AR",0.25,17.5676895080026
"Housing",15,"AR",0.5,18.7503312372536
"Housing",15,"AR",0.75,20.8308629176155
"Housing",15,"AR",0.9,21.8492402138901
"Housing",16,"AR",0.01,14.4976464173629
"Housing",16,"AR",0.1,16.0050846944319
"Housing",16,"AR",0.25,18.0873565730627
"Housing",16,"AR",0.5,20.11478873372
"Housing",16,"AR",0.75,20.2774262815776
"Housing",16,"AR",0.9,20.9119326021291
"Housing",17,"AR",0.01,13.7729167247085
"Housing",17,"AR",0.1,15.3411265370289
"Housing",17,"AR",0.25,16.2968990145952
"Housing",17,"AR",0.5,20.4116143920101
"Housing",17,"AR",0.75,18.9690732255024
"Housing",17,"AR",0.9,21.4693399550994
"Housing",18,"AR",0.01,14.5197092566011
"Housing",18,"AR",0.1,16.4254043351201
"Housing",18,"AR",0.25,15.9702925226274
"Housing",18,"AR",0.5,19.9972450813441
"Housing",18,"AR",0.75,20.9449428337137
"Housing",18,"AR",0.9,22.1838292732151
"Housing",19,"AR",0.01,14.9000582366065
"Housing",19,"AR",0.1,16.3192413098542
"Housing",19,"AR",0.25,17.433595658386
"Housing",19,"AR",0.5,20.1788568999574
"Housing",19,"AR",0.75,20.5037278445889
"Housing",19,"AR",0.9,20.0927801844334
"Housing",20,"AR",0.01,13.868748976489
"Housing",20,"AR",0.1,14.6079793792504
"Housing",20,"AR",0.25,16.2799802146997
