"dataset","sim","method","minpvalue","mse"
"Imports85",1,"AR",0.01,7634641.27658532
"Imports85",1,"AR",0.1,6712892.62267107
"Imports85",1,"AR",0.25,8584313.9420199
"Imports85",1,"AR",0.5,8323874.24768673
"Imports85",1,"AR",0.75,9823889.07676284
"Imports85",1,"AR",0.9,10904954.464753
"Imports85",2,"AR",0.01,7091986.37546393
"Imports85",2,"AR",0.1,7022607.01962423
"Imports85",2,"AR",0.25,7352414.09992943
"Imports85",2,"AR",0.5,10203013.9167797
"Imports85",2,"AR",0.75,9538947.10825476
"Imports85",2,"AR",0.9,10723461.3908417
"Imports85",3,"AR",0.01,7233735.77999939
"Imports85",3,"AR",0.1,7919882.06481977
"Imports85",3,"AR",0.25,8011136.81431924
"Imports85",3,"AR",0.5,8211669.24440363
"Imports85",3,"AR",0.75,8776070.26878738
"Imports85",3,"AR",0.9,11290982.8533961
"Imports85",4,"AR",0.01,8259331.67259001
"Imports85",4,"AR",0.1,6707636.76442869
"Imports85",4,"AR",0.25,8631465.78783965
"Imports85",4,"AR",0.5,8393732.20245148
"Imports85",4,"AR",0.75,10690424.8386766
"Imports85",4,"AR",0.9,10723233.7411621
"Imports85",5,"AR",0.01,7261726.60815122
"Imports85",5,"AR",0.1,7111166.37234702
"Imports85",5,"AR",0.25,8711124.02395918
"Imports85",5,"AR",0.5,8583175.06605785
"Imports85",5,"AR",0.75,9417650.67538564
"Imports85",5,"AR",0.9,10081350.7612926
"Imports85",6,"AR",0.01,6396467.18394088
"Imports85",6,"AR",0.1,7470125.50083373
"Imports85",6,"AR",0.25,7862920.13572714
"Imports85",6,"AR",0.5,9023897.0678723
"Imports85",6,"AR",0.75,10185973.7225244
"Imports85",6,"AR",0.9,11357948.5705705
"Imports85",7,"AR",0.01,6937286.53845039
"Imports85",7,"AR",0.1,7590375.99713995
"Imports85",7,"AR",0.25,8568789.44059892
"Imports85",7,"AR",0.5,8227767.2632113
"Imports85",7,"AR",0.75,10106951.789089
"Imports85",7,"AR",0.9,10824370.4845609
"Imports85",8,"AR",0.01,7049354.77712045
"Imports85",8,"AR",0.1,7724279.61637412
"Imports85",8,"AR",0.25,7969978.95440209
"Imports85",8,"AR",0.5,10031192.1666281
"Imports85",8,"AR",0.75,11300695.2655015
"Imports85",8,"AR",0.9,9710819.40784097
"Imports85",9,"AR",0.01,6413814.44303839
"Imports85",9,"AR",0.1,8131416.44892879
"Imports85",9,"AR",0.25,7229842.68681675
"Imports85",9,"AR",0.5,8333459.17028809
"Imports85",9,"AR",0.75,11359991.8211416
"Imports85",9,"AR",0.9,9759833.89552252
"Imports85",10,"AR",0.01,7382802.6856091
"Imports85",10,"AR",0.1,7103011.54347071
"Imports85",10,"AR",0.25,7625445.13428214
"Imports85",10,"AR",0.5,8519539.01305171
"Imports85",10,"AR",0.75,9535774.67421001
"Imports85",10,"AR",0.9,10548060.0633121
"Imports85",11,"AR",0.01,6632763.04915615
"Imports85",11,"AR",0.1,7871577.84474004
"Imports85",11,"AR",0.25,7924322.25484912
"Imports85",11,"AR",0.5,8178633.21961312
"Imports85",11,"AR",0.75,9815483.35651577
"Imports85",11,"AR",0.9,8288908.58053459
"Imports85",12,"AR",0.01,7392608.83347487
"Imports85",12,"AR",0.1,8883494.75046604
"Imports85",12,"AR",0.25,7696025.17770183
"Imports85",12,"AR",0.5,9476331.92924367
"Imports85",12,"AR",0.75,10645185.5042146
"Imports85",12,"AR",0.9,9753890.58754703
