"dataset","sim","method","minpvalue","misclass","auc"
"Ionosphere",1,"AR",0.01,0.0740740740740741,0.975908289241623
"Ionosphere",1,"AR",0.1,0.0740740740740741,0.975873015873016
"Ionosphere",1,"AR",0.25,0.0769230769230769,0.974885361552028
"Ionosphere",1,"AR",0.5,0.0997150997150997,0.975343915343915
"Ionosphere",1,"AR",0.75,0.102564102564103,0.975202821869489
"Ionosphere",1,"AR",0.9,0.105413105413105,0.972522045855379
"Ionosphere",2,"AR",0.01,0.0769230769230769,0.977072310405644
"Ionosphere",2,"AR",0.1,0.0712250712250712,0.974532627865961
"Ionosphere",2,"AR",0.25,0.0854700854700855,0.975626102292769
"Ionosphere",2,"AR",0.5,0.0854700854700855,0.975202821869489
"Ionosphere",2,"AR",0.75,0.0968660968660969,0.974885361552028
"Ionosphere",2,"AR",0.9,0.105413105413105,0.974038800705467
"Ionosphere",3,"AR",0.01,0.0797720797720798,0.97721340388007
"Ionosphere",3,"AR",0.1,0.0769230769230769,0.97657848324515
"Ionosphere",3,"AR",0.25,0.0911680911680912,0.975661375661376
"Ionosphere",3,"AR",0.5,0.0997150997150997,0.975273368606702
"Ionosphere",3,"AR",0.75,0.102564102564103,0.973121693121693
"Ionosphere",3,"AR",0.9,0.111111111111111,0.97283950617284
"Ionosphere",4,"AR",0.01,0.0683760683760684,0.977283950617284
"Ionosphere",4,"AR",0.1,0.0769230769230769,0.97689594356261
"Ionosphere",4,"AR",0.25,0.0911680911680912,0.97647266313933
"Ionosphere",4,"AR",0.5,0.0968660968660969,0.975626102292769
"Ionosphere",4,"AR",0.75,0.105413105413105,0.973121693121693
"Ionosphere",4,"AR",0.9,0.111111111111111,0.973192239858907
"Ionosphere",5,"AR",0.01,0.0712250712250712,0.973932980599647
"Ionosphere",5,"AR",0.1,0.0797720797720798,0.975590828924162
"Ionosphere",5,"AR",0.25,0.0854700854700855,0.976437389770723
"Ionosphere",5,"AR",0.5,0.0997150997150997,0.975097001763668
"Ionosphere",5,"AR",0.75,0.0997150997150997,0.973650793650794
"Ionosphere",5,"AR",0.9,0.105413105413105,0.971569664902998
"Ionosphere",6,"AR",0.01,0.0740740740740741,0.97636684303351
"Ionosphere",6,"AR",0.1,0.0769230769230769,0.977072310405644
"Ionosphere",6,"AR",0.25,0.0911680911680912,0.977566137566138
"Ionosphere",6,"AR",0.5,0.0911680911680912,0.973403880070547
"Ionosphere",6,"AR",0.75,0.102564102564103,0.972522045855379
"Ionosphere",6,"AR",0.9,0.111111111111111,0.971040564373898
"Ionosphere",7,"AR",0.01,0.0740740740740741,0.976437389770723
"Ionosphere",7,"AR",0.1,0.0769230769230769,0.974814814814815
"Ionosphere",7,"AR",0.25,0.0826210826210826,0.977178130511464
"Ionosphere",7,"AR",0.5,0.0911680911680912,0.974955908289242
"Ionosphere",7,"AR",0.75,0.105413105413105,0.971675485008818
"Ionosphere",7,"AR",0.9,0.102564102564103,0.974144620811287
"Ionosphere",8,"AR",0.01,0.0712250712250712,0.973932980599647
"Ionosphere",8,"AR",0.1,0.0712250712250712,0.975167548500882
"Ionosphere",8,"AR",0.25,0.0797720797720798,0.975167548500882
"Ionosphere",8,"AR",0.5,0.0911680911680912,0.974885361552028
"Ionosphere",8,"AR",0.75,0.105413105413105,0.972063492063492
"Ionosphere",8,"AR",0.9,0.0997150997150997,0.972416225749559
"Ionosphere",9,"AR",0.01,0.0683760683760684,0.976190476190476
"Ionosphere",9,"AR",0.1,0.0712250712250712,0.976966490299824
"Ionosphere",9,"AR",0.25,0.0883190883190883,0.97668430335097
"Ionosphere",9,"AR",0.5,0.0826210826210826,0.975343915343915
"Ionosphere",9,"AR",0.75,0.0997150997150997,0.972768959435626
"Ionosphere",9,"AR",0.9,0.108262108262108,0.974215167548501
"Ionosphere",10,"AR",0.01,0.0740740740740741,0.975449735449735
"Ionosphere",10,"AR",0.1,0.0769230769230769,0.97657848324515
"Ionosphere",10,"AR",0.25,0.0797720797720798,0.977848324514991
"Ionosphere",10,"AR",0.5,0.0883190883190883,0.974497354497355
"Ionosphere",10,"AR",0.75,0.0968660968660969,0.972486772486773
"Ionosphere",10,"AR",0.9,0.113960113960114,0.973650793650794
"Ionosphere",11,"AR",0.01,0.0683760683760684,0.977037037037037
"Ionosphere",11,"AR",0.1,0.0740740740740741,0.974814814814815
