"dataset","sim","method","minpvalue","misclass","auc"
"Liver",1,"AR",0.01,0.28695652173913,0.767068965517241
"Liver",1,"AR",0.1,0.249275362318841,0.786724137931034
"Liver",1,"AR",0.25,0.257971014492754,0.790379310344828
"Liver",1,"AR",0.5,0.255072463768116,0.794344827586207
"Liver",1,"AR",0.75,0.255072463768116,0.786103448275862
"Liver",1,"AR",0.9,0.269565217391304,0.79251724137931
"Liver",2,"AR",0.01,0.278260869565217,0.771172413793103
"Liver",2,"AR",0.1,0.255072463768116,0.787655172413793
"Liver",2,"AR",0.25,0.263768115942029,0.789241379310345
"Liver",2,"AR",0.5,0.249275362318841,0.794034482758621
"Liver",2,"AR",0.75,0.255072463768116,0.784034482758621
"Liver",2,"AR",0.9,0.252173913043478,0.789655172413793
"Liver",3,"AR",0.01,0.289855072463768,0.765827586206897
"Liver",3,"AR",0.1,0.255072463768116,0.782896551724138
"Liver",3,"AR",0.25,0.240579710144928,0.791448275862069
"Liver",3,"AR",0.5,0.252173913043478,0.794137931034483
"Liver",3,"AR",0.75,0.269565217391304,0.791448275862069
"Liver",3,"AR",0.9,0.266666666666667,0.79148275862069
"Liver",4,"AR",0.01,0.289855072463768,0.767689655172414
"Liver",4,"AR",0.1,0.255072463768116,0.782793103448276
"Liver",4,"AR",0.25,0.246376811594203,0.790068965517241
"Liver",4,"AR",0.5,0.246376811594203,0.787862068965517
"Liver",4,"AR",0.75,0.252173913043478,0.787724137931034
"Liver",4,"AR",0.9,0.246376811594203,0.788103448275862
"Liver",5,"AR",0.01,0.281159420289855,0.767137931034483
"Liver",5,"AR",0.1,0.257971014492754,0.783655172413793
"Liver",5,"AR",0.25,0.249275362318841,0.790103448275862
"Liver",5,"AR",0.5,0.266666666666667,0.782586206896552
"Liver",5,"AR",0.75,0.260869565217391,0.79351724137931
"Liver",5,"AR",0.9,0.266666666666667,0.791068965517241
"Liver",6,"AR",0.01,0.289855072463768,0.766413793103448
"Liver",6,"AR",0.1,0.252173913043478,0.785
"Liver",6,"AR",0.25,0.246376811594203,0.794931034482759
"Liver",6,"AR",0.5,0.260869565217391,0.79251724137931
"Liver",6,"AR",0.75,0.255072463768116,0.788448275862069
"Liver",6,"AR",0.9,0.272463768115942,0.790068965517241
"Liver",7,"AR",0.01,0.284057971014493,0.766344827586207
"Liver",7,"AR",0.1,0.246376811594203,0.781896551724138
"Liver",7,"AR",0.25,0.260869565217391,0.788
"Liver",7,"AR",0.5,0.255072463768116,0.790206896551724
"Liver",7,"AR",0.75,0.266666666666667,0.789827586206897
"Liver",7,"AR",0.9,0.249275362318841,0.789103448275862
"Liver",8,"AR",0.01,0.284057971014493,0.76251724137931
"Liver",8,"AR",0.1,0.255072463768116,0.786689655172414
"Liver",8,"AR",0.25,0.249275362318841,0.787241379310345
"Liver",8,"AR",0.5,0.249275362318841,0.79048275862069
"Liver",8,"AR",0.75,0.255072463768116,0.79148275862069
"Liver",8,"AR",0.9,0.249275362318841,0.792758620689655
"Liver",9,"AR",0.01,0.289855072463768,0.766724137931034
"Liver",9,"AR",0.1,0.243478260869565,0.785931034482759
"Liver",9,"AR",0.25,0.257971014492754,0.785103448275862
"Liver",9,"AR",0.5,0.252173913043478,0.789793103448276
"Liver",9,"AR",0.75,0.255072463768116,0.790551724137931
"Liver",9,"AR",0.9,0.255072463768116,0.784689655172414
"Liver",10,"AR",0.01,0.289855072463768,0.766241379310345
"Liver",10,"AR",0.1,0.257971014492754,0.785137931034483
"Liver",10,"AR",0.25,0.246376811594203,0.787310344827586
"Liver",10,"AR",0.5,0.252173913043478,0.796
"Liver",10,"AR",0.75,0.243478260869565,0.797275862068966
"Liver",10,"AR",0.9,0.255072463768116,0.789620689655172
"Liver",11,"AR",0.01,0.284057971014493,0.766724137931034
"Liver",11,"AR",0.1,0.263768115942029,0.787689655172414
"Liver",11,"AR",0.25,0.252173913043478,0.786034482758621
"Liver",11,"AR",0.5,0.255072463768116,0.78551724137931
"Liver",11,"AR",0.75,0.252173913043478,0.792586206896552
"Liver",11,"AR",0.9,0.249275362318841,0.788896551724138
"Liver",12,"AR",0.01,0.281159420289855,0.758896551724138
"Liver",12,"AR",0.1,0.23768115942029,0.792034482758621
"Liver",12,"AR",0.25,0.263768115942029,0.791344827586207
"Liver",12,"AR",0.5,0.246376811594203,0.798655172413793
"Liver",12,"AR",0.75,0.263768115942029,0.792896551724138
"Liver",12,"AR",0.9,0.260869565217391,0.792620689655172
"Liver",13,"AR",0.01,0.289855072463768,0.765758620689655
"Liver",13,"AR",0.1,0.255072463768116,0.791896551724138
"Liver",13,"AR",0.25,0.260869565217391,0.791
"Liver",13,"AR",0.5,0.260869565217391,0.790689655172414
