"dataset","sim","method","minpvalue","misclass","auc"
"Ringnorm",1,"AR",0.01,0.0293939393939394,0.996322865013774
"Ringnorm",1,"AR",0.1,0.0339393939393939,0.996059136822773
"Ringnorm",1,"AR",0.25,0.0390909090909091,0.995886134067952
"Ringnorm",1,"AR",0.5,0.043030303030303,0.995314967860422
"Ringnorm",1,"AR",0.75,0.0463636363636364,0.995270523415978
"Ringnorm",1,"AR",0.9,0.0506060606060606,0.995104499540863
"Ringnorm",2,"AR",0.01,0.0306060606060606,0.99604958677686
"Ringnorm",2,"AR",0.1,0.0366666666666667,0.995507438016529
"Ringnorm",2,"AR",0.25,0.0384848484848485,0.995752433425161
"Ringnorm",2,"AR",0.5,0.043030303030303,0.996013590449954
"Ringnorm",2,"AR",0.75,0.0439393939393939,0.995280808080808
"Ringnorm",2,"AR",0.9,0.0454545454545455,0.995905601469238
"Ringnorm",3,"AR",0.01,0.0284848484848485,0.996262626262626
"Ringnorm",3,"AR",0.1,0.0345454545454545,0.99571349862259
"Ringnorm",3,"AR",0.25,0.04,0.995641505968779
"Ringnorm",3,"AR",0.5,0.0436363636363636,0.995018916437098
"Ringnorm",3,"AR",0.75,0.0463636363636364,0.995036179981635
"Ringnorm",3,"AR",0.9,0.046969696969697,0.995453810835629
"Ringnorm",4,"AR",0.01,0.0309090909090909,0.996250137741047
"Ringnorm",4,"AR",0.1,0.0312121212121212,0.996127456382002
"Ringnorm",4,"AR",0.25,0.0381818181818182,0.995606611570248
"Ringnorm",4,"AR",0.5,0.0427272727272727,0.995924701561065
"Ringnorm",4,"AR",0.75,0.0451515151515152,0.995527272727273
"Ringnorm",4,"AR",0.9,0.0481818181818182,0.995288888888889
"Ringnorm",5,"AR",0.01,0.0293939393939394,0.995940495867769
"Ringnorm",5,"AR",0.1,0.0351515151515151,0.996325436179982
"Ringnorm",5,"AR",0.25,0.0384848484848485,0.995767125803489
"Ringnorm",5,"AR",0.5,0.0439393939393939,0.995315702479339
"Ringnorm",5,"AR",0.75,0.0433333333333333,0.995402387511478
"Ringnorm",5,"AR",0.9,0.0475757575757576,0.995335904499541
"Ringnorm",6,"AR",0.01,0.0306060606060606,0.996041505968779
"Ringnorm",6,"AR",0.1,0.0363636363636364,0.995821854912764
"Ringnorm",6,"AR",0.25,0.0363636363636364,0.995605876951332
"Ringnorm",6,"AR",0.5,0.0436363636363636,0.995827364554637
"Ringnorm",6,"AR",0.75,0.0454545454545455,0.995368962350781
"Ringnorm",6,"AR",0.9,0.0484848484848485,0.995469237832874
"Ringnorm",7,"AR",0.01,0.0296969696969697,0.996167493112948
"Ringnorm",7,"AR",0.1,0.0354545454545455,0.995959228650138
"Ringnorm",7,"AR",0.25,0.0384848484848485,0.995717171717172
"Ringnorm",7,"AR",0.5,0.0442424242424242,0.995500091827365
"Ringnorm",7,"AR",0.75,0.0439393939393939,0.995117355371901
"Ringnorm",7,"AR",0.9,0.0457575757575758,0.995295133149679
"Ringnorm",8,"AR",0.01,0.0266666666666667,0.996152066115703
"Ringnorm",8,"AR",0.1,0.033030303030303,0.996082277318641
"Ringnorm",8,"AR",0.25,0.04,0.995386960514233
"Ringnorm",8,"AR",0.5,0.0436363636363636,0.995522130394858
"Ringnorm",8,"AR",0.75,0.0460606060606061,0.995370431588613
"Ringnorm",8,"AR",0.9,0.0448484848484848,0.995433241505969
"Ringnorm",9,"AR",0.01,0.0278787878787879,0.996315886134068
"Ringnorm",9,"AR",0.1,0.0357575757575758,0.995770798898072
"Ringnorm",9,"AR",0.25,0.0375757575757576,0.995417447199265
"Ringnorm",9,"AR",0.5,0.0421212121212121,0.995467401285583
"Ringnorm",9,"AR",0.75,0.0436363636363636,0.995770064279155
"Ringnorm",9,"AR",0.9,0.0457575757575758,0.99548650137741
"Ringnorm",10,"AR",0.01,0.0296969696969697,0.996250505050505
"Ringnorm",10,"AR",0.1,0.0366666666666667,0.995959595959596
"Ringnorm",10,"AR",0.25,0.0387878787878788,0.995682644628099
"Ringnorm",10,"AR",0.5,0.0439393939393939,0.99550523415978
