"dataset","sim","method","minpvalue","mse"
"Servo",1,"AR",0.01,27.6935885062096
"Servo",1,"AR",0.1,32.0417279145966
"Servo",1,"AR",0.25,37.1162851176785
"Servo",1,"AR",0.5,45.9646445826434
"Servo",1,"AR",0.75,50.6023068527847
"Servo",1,"AR",0.9,54.4732907516151
"Servo",2,"AR",0.01,27.0581477056386
"Servo",2,"AR",0.1,31.0240017031969
"Servo",2,"AR",0.25,35.5723247557839
"Servo",2,"AR",0.5,44.2704543418344
"Servo",2,"AR",0.75,52.8609369558863
"Servo",2,"AR",0.9,55.8518595813242
"Servo",3,"AR",0.01,27.4764525338208
"Servo",3,"AR",0.1,32.9019363706774
"Servo",3,"AR",0.25,34.1807988093378
"Servo",3,"AR",0.5,47.6249472150785
"Servo",3,"AR",0.75,53.6136327984729
"Servo",3,"AR",0.9,61.3637870285981
"Servo",4,"AR",0.01,28.129714913295
"Servo",4,"AR",0.1,29.932914970606
"Servo",4,"AR",0.25,32.9719670371835
"Servo",4,"AR",0.5,46.2308328022057
"Servo",4,"AR",0.75,52.5334885162019
"Servo",4,"AR",0.9,52.2871194348286
"Servo",5,"AR",0.01,25.7624785216284
"Servo",5,"AR",0.1,29.8250230439631
"Servo",5,"AR",0.25,35.2878680909748
"Servo",5,"AR",0.5,42.1432826819961
"Servo",5,"AR",0.75,55.810417986902
"Servo",5,"AR",0.9,52.9001174523349
"Servo",6,"AR",0.01,27.0699043702953
"Servo",6,"AR",0.1,32.3937349351188
"Servo",6,"AR",0.25,36.0258069027586
"Servo",6,"AR",0.5,42.8938108725355
"Servo",6,"AR",0.75,57.6070593221974
"Servo",6,"AR",0.9,58.5802899389657
"Servo",7,"AR",0.01,26.5578837044551
"Servo",7,"AR",0.1,30.0672390434847
"Servo",7,"AR",0.25,34.8282104464332
"Servo",7,"AR",0.5,45.8922294207457
"Servo",7,"AR",0.75,52.4707076298917
"Servo",7,"AR",0.9,59.9587426440426
"Servo",8,"AR",0.01,29.3649943479979
"Servo",8,"AR",0.1,31.6495435734525
"Servo",8,"AR",0.25,38.0724654619564
"Servo",8,"AR",0.5,45.4872458489193
"Servo",8,"AR",0.75,53.5101629430148
"Servo",8,"AR",0.9,58.6071258553873
"Servo",9,"AR",0.01,27.9847946478178
"Servo",9,"AR",0.1,28.5537121036768
"Servo",9,"AR",0.25,35.9015816951969
"Servo",9,"AR",0.5,42.1695458023148
"Servo",9,"AR",0.75,51.2406736984794
"Servo",9,"AR",0.9,60.050195043591
"Servo",10,"AR",0.01,26.0634132416624
"Servo",10,"AR",0.1,29.1643527604268
"Servo",10,"AR",0.25,36.410700699137
"Servo",10,"AR",0.5,44.7615243295105
"Servo",10,"AR",0.75,54.5612832553992
"Servo",10,"AR",0.9,61.4285691152702
"Servo",11,"AR",0.01,27.6412450528545
"Servo",11,"AR",0.1,27.1564414259404
"Servo",11,"AR",0.25,35.6783208562751
"Servo",11,"AR",0.5,41.5236233341973
"Servo",11,"AR",0.75,51.8019988717084
"Servo",11,"AR",0.9,58.3771951135995
"Servo",12,"AR",0.01,27.1141648591448
"Servo",12,"AR",0.1,29.0125307013825
"Servo",12,"AR",0.25,35.0291052828056
"Servo",12,"AR",0.5,46.722716681591
"Servo",12,"AR",0.75,54.0150591648711
"Servo",12,"AR",0.9,62.0201086140595
"Servo",13,"AR",0.01,29.5942205680855
"Servo",13,"AR",0.1,31.3760103378494
"Servo",13,"AR",0.25,33.1464945216006
"Servo",13,"AR",0.5,47.7405855198629
"Servo",13,"AR",0.75,54.1495660700233
"Servo",13,"AR",0.9,61.7894634817215
"Servo",14,"AR",0.01,26.7792766258184
"Servo",14,"AR",0.1,29.8982653018167
"Servo",14,"AR",0.25,35.9673249083487
"Servo",14,"AR",0.5,50.7301991124844
"Servo",14,"AR",0.75,56.7016096807515
"Servo",14,"AR",0.9,61.0609410099749
"Servo",15,"AR",0.01,26.8387208319962
"Servo",15,"AR",0.1,30.4614028239501
"Servo",15,"AR",0.25,36.0575745956492
"Servo",15,"AR",0.5,49.112375749394
"Servo",15,"AR",0.75,54.3348112489276
"Servo",15,"AR",0.9,59.9918571048054
"Servo",16,"AR",0.01,29.8902763747956
"Servo",16,"AR",0.1,31.8071415694934
"Servo",16,"AR",0.25,34.0829844522767
"Servo",16,"AR",0.5,42.5222699475835
"Servo",16,"AR",0.75,50.4107496590818
"Servo",16,"AR",0.9,64.9201608003686
"Servo",17,"AR",0.01,26.9776099626815
"Servo",17,"AR",0.1,29.0996503661722
"Servo",17,"AR",0.25,38.3901629666336
"Servo",17,"AR",0.5,47.0432637874757
"Servo",17,"AR",0.75,56.0769499061338
"Servo",17,"AR",0.9,62.2802324222298
"Servo",18,"AR",0.01,27.3372876722469
"Servo",18,"AR",0.1,32.3096686404987
"Servo",18,"AR",0.25,39.6013146988037
"Servo",18,"AR",0.5,44.6604499852159
"Servo",18,"AR",0.75,52.3959427324847
"Servo",18,"AR",0.9,57.319316088296
"Servo",19,"AR",0.01,27.9305252362812
"Servo",19,"AR",0.1,29.6873752630324
"Servo",19,"AR",0.25,36.5484249221181
"Servo",19,"AR",0.5,44.2658996874447
"Servo",19,"AR",0.75,53.0036049451207
"Servo",19,"AR",0.9,63.1239122096499
"Servo",20,"AR",0.01,26.8092733378405
"Servo",20,"AR",0.1,29.1781991585769
"Servo",20,"AR",0.25,35.9318498296454
"Servo",20,"AR",0.5,45.6502893934326
"Servo",20,"AR",0.75,54.8389689508546
"Servo",20,"AR",0.9,53.842846075966
"Servo",21,"AR",0.01,28.0340392993491
"Servo",21,"AR",0.1,29.6865532144047
"Servo",21,"AR",0.25,34.9460847024868
"Servo",21,"AR",0.5,42.389530695571
"Servo",21,"AR",0.75,56.8605837984777
"Servo",21,"AR",0.9,57.1308703099513
"Servo",22,"AR",0.01,26.5606757632622
"Servo",22,"AR",0.1,31.0451125787024
"Servo",22,"AR",0.25,36.5713001342699
"Servo",22,"AR",0.5,39.9145910253084
"Servo",22,"AR",0.75,50.9207053128139
"Servo",22,"AR",0.9,57.7532911201556
"Servo",23,"AR",0.01,26.830906072753
"Servo",23,"AR",0.1,31.649834839515
"Servo",23,"AR",0.25,38.6538517837065
"Servo",23,"AR",0.5,41.9835245364536
"Servo",23,"AR",0.75,53.6338500335657
"Servo",23,"AR",0.9,55.7122244813567
"Servo",24,"AR",0.01,27.325601266604
"Servo",24,"AR",0.1,32.0448282618394
"Servo",24,"AR",0.25,35.7044049012106
"Servo",24,"AR",0.5,44.7544517669357
"Servo",24,"AR",0.75,50.5071175914607
"Servo",24,"AR",0.9,62.301001611302
"Servo",25,"AR",0.01,26.6869656702792
"Servo",25,"AR",0.1,32.6751232778882
"Servo",25,"AR",0.25,34.0040787229678
"Servo",25,"AR",0.5,46.7585899031719
"Servo",25,"AR",0.75,49.5775497659489
"Servo",25,"AR",0.9,58.0468807116605
"Servo",26,"AR",0.01,27.7525715662039
"Servo",26,"AR",0.1,28.1677646257061
"Servo",26,"AR",0.25,35.7449241115295
"Servo",26,"AR",0.5,51.0387654129514
"Servo",26,"AR",0.75,55.2575097762131
"Servo",26,"AR",0.9,64.9353281878291
"Servo",27,"AR",0.01,26.3313599825048
"Servo",27,"AR",0.1,30.3666850159112
"Servo",27,"AR",0.25,32.7541220339327
"Servo",27,"AR",0.5,48.4252643306704
"Servo",27,"AR",0.75,51.546835486015
"Servo",27,"AR",0.9,59.2832088773515
"Servo",28,"AR",0.01,28.1091234176135
"Servo",28,"AR",0.1,28.1125126393703
"Servo",28,"AR",0.25,35.6977386281172
"Servo",28,"AR",0.5,44.8531615101506
"Servo",28,"AR",0.75,55.7027316164346
"Servo",28,"AR",0.9,57.6018379023164
"Servo",29,"AR",0.01,27.2347354656562
"Servo",29,"AR",0.1,32.274717652882
"Servo",29,"AR",0.25,36.3221648445366
"Servo",29,"AR",0.5,42.3816826839358
"Servo",29,"AR",0.75,58.5317461210519
"Servo",29,"AR",0.9,58.636060615307
"Servo",30,"AR",0.01,27.0707801190157
