"dataset","sim","method","minpvalue","misclass","auc"
"Sonar",1,"AR",0.01,0.182692307692308,0.914646605368255
"Sonar",1,"AR",0.1,0.153846153846154,0.930899972137086
"Sonar",1,"AR",0.25,0.153846153846154,0.934057769109315
"Sonar",1,"AR",0.5,0.158653846153846,0.933407634438562
"Sonar",1,"AR",0.75,0.168269230769231,0.938422959041516
"Sonar",1,"AR",0.9,0.1875,0.921519457601932
"Sonar",2,"AR",0.01,0.173076923076923,0.925884647534132
"Sonar",2,"AR",0.1,0.153846153846154,0.936008173121575
"Sonar",2,"AR",0.25,0.158653846153846,0.935358038450822
"Sonar",2,"AR",0.5,0.158653846153846,0.934336398253924
"Sonar",2,"AR",0.75,0.1875,0.928578062598681
"Sonar",2,"AR",0.9,0.173076923076923,0.930807095755549
"Sonar",3,"AR",0.01,0.163461538461538,0.917711525958949
"Sonar",3,"AR",0.1,0.149038461538462,0.939908981146095
"Sonar",3,"AR",0.25,0.173076923076923,0.933036128912418
"Sonar",3,"AR",0.5,0.163461538461538,0.93127147766323
"Sonar",3,"AR",0.75,0.177884615384615,0.935358038450822
"Sonar",3,"AR",0.9,0.158653846153846,0.928763815361753
"Sonar",4,"AR",0.01,0.1875,0.917154267669732
"Sonar",4,"AR",0.1,0.182692307692308,0.933314758057026
"Sonar",4,"AR",0.25,0.144230769230769,0.934986532924677
"Sonar",4,"AR",0.5,0.173076923076923,0.934707903780069
"Sonar",4,"AR",0.75,0.163461538461538,0.934057769109315
"Sonar",4,"AR",0.9,0.173076923076923,0.931642983189375
"Sonar",5,"AR",0.01,0.177884615384615,0.925141636481843
"Sonar",5,"AR",0.1,0.153846153846154,0.936193925884648
"Sonar",5,"AR",0.25,0.149038461538462,0.930807095755549
"Sonar",5,"AR",0.5,0.173076923076923,0.924584378192626
"Sonar",5,"AR",0.75,0.177884615384615,0.924212872666481
"Sonar",5,"AR",0.9,0.173076923076923,0.936008173121575
"Sonar",6,"AR",0.01,0.177884615384615,0.913996470697502
"Sonar",6,"AR",0.1,0.168269230769231,0.935543791213894
"Sonar",6,"AR",0.25,0.177884615384615,0.931364354044766
"Sonar",6,"AR",0.5,0.153846153846154,0.937122689700009
"Sonar",6,"AR",0.75,0.177884615384615,0.931457230426303
"Sonar",6,"AR",0.9,0.163461538461538,0.934057769109315
"Sonar",7,"AR",0.01,0.168269230769231,0.916411256617442
"Sonar",7,"AR",0.1,0.177884615384615,0.931921612333984
"Sonar",7,"AR",0.25,0.173076923076923,0.929135320887898
"Sonar",7,"AR",0.5,0.158653846153846,0.934243521872388
"Sonar",7,"AR",0.75,0.163461538461538,0.929785455558651
"Sonar",7,"AR",0.9,0.168269230769231,0.927092040494102
"Sonar",8,"AR",0.01,0.192307692307692,0.918361660629702
"Sonar",8,"AR",0.1,0.173076923076923,0.933964892727779
"Sonar",8,"AR",0.25,0.168269230769231,0.933686263583171
"Sonar",8,"AR",0.5,0.177884615384615,0.934986532924677
"Sonar",8,"AR",0.75,0.158653846153846,0.937029813318473
"Sonar",8,"AR",0.9,0.173076923076923,0.932943252530881
"Sonar",9,"AR",0.01,0.182692307692308,0.924584378192626
"Sonar",9,"AR",0.1,0.163461538461538,0.927927927927928
"Sonar",9,"AR",0.25,0.173076923076923,0.932478870623201
"Sonar",9,"AR",0.5,0.153846153846154,0.927927927927928
"Sonar",9,"AR",0.75,0.168269230769231,0.921240828457323
"Sonar",9,"AR",0.9,0.1875,0.930249837466332
"Sonar",10,"AR",0.01,0.173076923076923,0.918547413392774
"Sonar",10,"AR",0.1,0.168269230769231,0.933129005293954
"Sonar",10,"AR",0.25,0.173076923076923,0.932850376149345
"Sonar",10,"AR",0.5,0.168269230769231,0.929785455558651
"Sonar",10,"AR",0.75,0.153846153846154,0.931642983189375
"Sonar",10,"AR",0.9,0.177884615384615,0.932757499767809
"Sonar",11,"AR",0.01,0.182692307692308,0.916411256617442
"Sonar",11,"AR",0.1,0.177884615384615,0.932200241478592
"Sonar",11,"AR",0.25,0.144230769230769,0.935636667595431
"Sonar",11,"AR",0.5,0.1875,0.933314758057026
"Sonar",11,"AR",0.75,0.173076923076923,0.931550106807839
"Sonar",11,"AR",0.9,0.173076923076923,0.930435590229405
"Sonar",12,"AR",0.01,0.168269230769231,0.918361660629702
"Sonar",12,"AR",0.1,0.158653846153846,0.935265162069286
"Sonar",12,"AR",0.25,0.173076923076923,0.935358038450822
"Sonar",12,"AR",0.5,0.163461538461538,0.925513142007987
"Sonar",12,"AR",0.75,0.173076923076923,0.924863007337234
"Sonar",12,"AR",0.9,0.192307692307692,0.928485186217145
"Sonar",13,"AR",0.01,0.168269230769231,0.923655614377264
"Sonar",13,"AR",0.1,0.144230769230769,0.928670938980217
"Sonar",13,"AR",0.25,0.177884615384615,0.93517228568775
"Sonar",13,"AR",0.5,0.168269230769231,0.929599702795579
"Sonar",13,"AR",0.75,0.163461538461538,0.939073093712269
"Sonar",13,"AR",0.9,0.163461538461538,0.929599702795579
"Sonar",14,"AR",0.01,0.182692307692308,0.92690628773103
"Sonar",14,"AR",0.1,0.158653846153846,0.938887340949197
"Sonar",14,"AR",0.25,0.144230769230769,0.928113680691
"Sonar",14,"AR",0.5,0.158653846153846,0.940280486672239
"Sonar",14,"AR",0.75,0.173076923076923,0.93833008265998
"Sonar",14,"AR",0.9,0.163461538461538,0.930807095755549
"Sonar",15,"AR",0.01,0.1875,0.921333704838859
"Sonar",15,"AR",0.1,0.153846153846154,0.937401318844618
"Sonar",15,"AR",0.25,0.153846153846154,0.937029813318473
"Sonar",15,"AR",0.5,0.177884615384615,0.932293117860128
"Sonar",15,"AR",0.75,0.182692307692308,0.931457230426303
"Sonar",15,"AR",0.9,0.182692307692308,0.923562737995728
"Sonar",16,"AR",0.01,0.168269230769231,0.9237484907588
"Sonar",16,"AR",0.1,0.158653846153846,0.940373363053775
"Sonar",16,"AR",0.25,0.168269230769231,0.933872016346243
"Sonar",16,"AR",0.5,0.158653846153846,0.929321073650971
"Sonar",16,"AR",0.75,0.173076923076923,0.935450914832358
"Sonar",16,"AR",0.9,0.149038461538462,0.933593387201635
"Sonar",17,"AR",0.01,0.168269230769231,0.919011795300455
"Sonar",17,"AR",0.1,0.163461538461538,0.932664623386273
"Sonar",17,"AR",0.25,0.163461538461538,0.935636667595431
"Sonar",17,"AR",0.5,0.168269230769231,0.929785455558651
"Sonar",17,"AR",0.75,0.168269230769231,0.932571747004737
"Sonar",17,"AR",0.9,0.168269230769231,0.927742175164856
"Sonar",18,"AR",0.01,0.182692307692308,0.922448221417294
"Sonar",18,"AR",0.1,0.163461538461538,0.943252530881397
"Sonar",18,"AR",0.25,0.177884615384615,0.923191232469583
"Sonar",18,"AR",0.5,0.173076923076923,0.93127147766323
"Sonar",18,"AR",0.75,0.163461538461538,0.932200241478592
"Sonar",18,"AR",0.9,0.1875,0.927463546020247
"Sonar",19,"AR",0.01,0.168269230769231,0.925327389244915
"Sonar",19,"AR",0.1,0.153846153846154,0.939165970093805
"Sonar",19,"AR",0.25,0.173076923076923,0.937679947989226
"Sonar",19,"AR",0.5,0.168269230769231,0.925884647534132
"Sonar",19,"AR",0.75,0.177884615384615,0.93517228568775
"Sonar",19,"AR",0.9,0.182692307692308,0.932850376149345
