"dataset","sim","method","minpvalue","misclass","auc"
"Spambase",1,"AR",0.01,0.0519452292979787,0.984300180190732
"Spambase",1,"AR",0.1,0.0508585090197783,0.985981999919282
"Spambase",1,"AR",0.25,0.0519452292979787,0.98642298053038
"Spambase",1,"AR",0.5,0.0543360139100196,0.986787200048114
"Spambase",1,"AR",0.75,0.0534666376874592,0.985988528568975
"Spambase",1,"AR",0.9,0.0565094544664203,0.98642298053038
"Spambase",2,"AR",0.01,0.0506411649641382,0.9845267045513
"Spambase",2,"AR",0.1,0.0515105411866985,0.985786931779963
"Spambase",2,"AR",0.25,0.0512931971310585,0.986510622706565
"Spambase",2,"AR",0.5,0.0534666376874592,0.986572743797585
"Spambase",2,"AR",0.75,0.0543360139100196,0.986506468111305
"Spambase",2,"AR",0.9,0.0547707020212997,0.986241761041925
"Spambase",3,"AR",0.01,0.0508585090197783,0.984105705565021
"Spambase",3,"AR",0.1,0.0519452292979787,0.985840941518334
"Spambase",3,"AR",0.25,0.0508585090197783,0.986560082173937
"Spambase",3,"AR",0.5,0.052814605520539,0.986709449765404
"Spambase",3,"AR",0.75,0.0547707020212997,0.986563247579849
"Spambase",3,"AR",0.9,0.05542273418822,0.986244926447837
"Spambase",4,"AR",0.01,0.052814605520539,0.983918353102612
"Spambase",4,"AR",0.1,0.0510758530754184,0.986183596708294
"Spambase",4,"AR",0.25,0.0523799174092589,0.986536737305337
"Spambase",4,"AR",0.5,0.0504238209084982,0.986602617315878
"Spambase",4,"AR",0.75,0.0558574222995001,0.986329601055979
"Spambase",4,"AR",0.9,0.0547707020212997,0.986158273460999
"Spambase",5,"AR",0.01,0.0512931971310585,0.984017469875228
"Spambase",5,"AR",0.1,0.0515105411866985,0.985805924215434
"Spambase",5,"AR",0.25,0.0519452292979787,0.986247102664401
"Spambase",5,"AR",0.5,0.0523799174092589,0.986548211901768
"Spambase",5,"AR",0.75,0.0547707020212997,0.986253433476225
"Spambase",5,"AR",0.9,0.0571614866333406,0.986221779417106
"Spambase",6,"AR",0.01,0.0536839817430993,0.984310863435684
"Spambase",6,"AR",0.1,0.0504238209084982,0.985884268011753
"Spambase",6,"AR",0.25,0.0515105411866985,0.986401416202605
"Spambase",6,"AR",0.5,0.0523799174092589,0.986694809763061
"Spambase",6,"AR",0.75,0.0549880460769398,0.986504291894741
"Spambase",6,"AR",0.9,0.0569441425777005,0.986227318877452
"Spambase",7,"AR",0.01,0.0525972614648989,0.984128061244274
"Spambase",7,"AR",0.1,0.0525972614648989,0.98597883451337
"Spambase",7,"AR",0.25,0.0510758530754184,0.986348593491451
"Spambase",7,"AR",0.5,0.052814605520539,0.986784430317941
"Spambase",7,"AR",0.75,0.0545533579656596,0.986456217292454
"Spambase",7,"AR",0.9,0.0569441425777005,0.986329996731718
"Spambase",8,"AR",0.01,0.0517278852423386,0.984120543405233
