"dataset","sim","method","minpvalue","misclass","auc"
"Threenorm",1,"AR",0.01,0.114242424242424,0.951278971533517
"Threenorm",1,"AR",0.1,0.116060606060606,0.951793572084481
"Threenorm",1,"AR",0.25,0.115757575757576,0.951528374655647
"Threenorm",1,"AR",0.5,0.119393939393939,0.951965105601469
"Threenorm",1,"AR",0.75,0.117272727272727,0.949940495867769
"Threenorm",1,"AR",0.9,0.121818181818182,0.949840220385675
"Threenorm",2,"AR",0.01,0.112121212121212,0.951947842056933
"Threenorm",2,"AR",0.1,0.118484848484848,0.951068503213958
"Threenorm",2,"AR",0.25,0.115454545454545,0.952306336088154
"Threenorm",2,"AR",0.5,0.115757575757576,0.951617998163453
"Threenorm",2,"AR",0.75,0.117575757575758,0.950103581267218
"Threenorm",2,"AR",0.9,0.117272727272727,0.950617998163453
"Threenorm",3,"AR",0.01,0.118787878787879,0.951060422405877
"Threenorm",3,"AR",0.1,0.114242424242424,0.951779981634527
"Threenorm",3,"AR",0.25,0.113939393939394,0.951375941230487
"Threenorm",3,"AR",0.5,0.117878787878788,0.951459320477502
"Threenorm",3,"AR",0.75,0.116666666666667,0.951179797979798
"Threenorm",3,"AR",0.9,0.115151515151515,0.951031404958678
"Threenorm",4,"AR",0.01,0.112727272727273,0.952783838383838
"Threenorm",4,"AR",0.1,0.112121212121212,0.952159412304867
"Threenorm",4,"AR",0.25,0.115454545454545,0.951536455463728
"Threenorm",4,"AR",0.5,0.115757575757576,0.950532231404959
"Threenorm",4,"AR",0.75,0.116363636363636,0.950842240587695
"Threenorm",4,"AR",0.9,0.119090909090909,0.950264462809917
"Threenorm",5,"AR",0.01,0.116363636363636,0.95190927456382
"Threenorm",5,"AR",0.1,0.112121212121212,0.953404958677686
"Threenorm",5,"AR",0.25,0.114545454545455,0.951859320477502
"Threenorm",5,"AR",0.5,0.113030303030303,0.952050321395776
"Threenorm",5,"AR",0.75,0.117272727272727,0.950603305785124
"Threenorm",5,"AR",0.9,0.115151515151515,0.950719742883379
"Threenorm",6,"AR",0.01,0.113333333333333,0.951303213957759
"Threenorm",6,"AR",0.1,0.113939393939394,0.95159375573921
"Threenorm",6,"AR",0.25,0.116666666666667,0.951089807162534
"Threenorm",6,"AR",0.5,0.119393939393939,0.950302295684114
"Threenorm",6,"AR",0.75,0.115454545454545,0.950481910009183
"Threenorm",6,"AR",0.9,0.114242424242424,0.950963085399449
"Threenorm",7,"AR",0.01,0.114242424242424,0.953032139577594
"Threenorm",7,"AR",0.1,0.115454545454545,0.951998163452709
"Threenorm",7,"AR",0.25,0.116666666666667,0.951644444444444
"Threenorm",7,"AR",0.5,0.113939393939394,0.950879706152433
"Threenorm",7,"AR",0.75,0.11969696969697,0.949709090909091
"Threenorm",7,"AR",0.9,0.12,0.950549678604224
"Threenorm",8,"AR",0.01,0.116969696969697,0.952506887052342
"Threenorm",8,"AR",0.1,0.117575757575758,0.951212855831038
"Threenorm",8,"AR",0.25,0.113333333333333,0.951930578512397
"Threenorm",8,"AR",0.5,0.114242424242424,0.951605142332415
"Threenorm",8,"AR",0.75,0.113030303030303,0.951608815426997
"Threenorm",8,"AR",0.9,0.117272727272727,0.951701561065197
"Threenorm",9,"AR",0.01,0.115454545454545,0.951417814508724
"Threenorm",9,"AR",0.1,0.115454545454545,0.95161028466483
"Threenorm",9,"AR",0.25,0.113939393939394,0.951594123048669
"Threenorm",9,"AR",0.5,0.114848484848485,0.95024940312213
"Threenorm",9,"AR",0.75,0.117878787878788,0.951509641873278
"Threenorm",9,"AR",0.9,0.117272727272727,0.949833241505969
"Threenorm",10,"AR",0.01,0.110606060606061,0.952718089990817
"Threenorm",10,"AR",0.1,0.115757575757576,0.950897337006428
"Threenorm",10,"AR",0.25,0.113636363636364,0.952196877869605
"Threenorm",10,"AR",0.5,0.114848484848485,0.951331129476584
"Threenorm",10,"AR",0.75,0.115757575757576,0.950573737373737
"Threenorm",10,"AR",0.9,0.116060606060606,0.950456565656566
"Threenorm",11,"AR",0.01,0.115454545454545,0.951500091827365
"Threenorm",11,"AR",0.1,0.114848484848485,0.951543067033976
"Threenorm",11,"AR",0.25,0.113333333333333,0.952151698806244
"Threenorm",11,"AR",0.5,0.118181818181818,0.952913865932048
"Threenorm",11,"AR",0.75,0.116363636363636,0.95040624426079
"Threenorm",11,"AR",0.9,0.115454545454545,0.951687419651056
"Threenorm",12,"AR",0.01,0.114848484848485,0.951631221303949
"Threenorm",12,"AR",0.1,0.117272727272727,0.951393939393939
"Threenorm",12,"AR",0.25,0.116363636363636,0.951907070707071
"Threenorm",12,"AR",0.5,0.11969696969697,0.950888888888889
"Threenorm",12,"AR",0.75,0.116060606060606,0.951011570247934
"Threenorm",12,"AR",0.9,0.11969696969697,0.951179797979798
"Threenorm",13,"AR",0.01,0.116060606060606,0.951334435261708
"Threenorm",13,"AR",0.1,0.114242424242424,0.952933333333333
"Threenorm",13,"AR",0.25,0.116969696969697,0.95203085399449
"Threenorm",13,"AR",0.5,0.114848484848485,0.951467033976125
"Threenorm",13,"AR",0.75,0.12030303030303,0.950690174471993
"Threenorm",13,"AR",0.9,0.117272727272727,0.950248301193756
"Threenorm",14,"AR",0.01,0.112121212121212,0.952247933884298
"Threenorm",14,"AR",0.1,0.115757575757576,0.951574655647383
"Threenorm",14,"AR",0.25,0.116060606060606,0.951716437098255
"Threenorm",14,"AR",0.5,0.114545454545455,0.951366391184573
"Threenorm",14,"AR",0.75,0.11969696969697,0.95024940312213
"Threenorm",14,"AR",0.9,0.114848484848485,0.951143067033976
"Threenorm",15,"AR",0.01,0.115757575757576,0.95288448117539
"Threenorm",15,"AR",0.1,0.117272727272727,0.952045546372819
"Threenorm",15,"AR",0.25,0.113939393939394,0.952008080808081
"Threenorm",15,"AR",0.5,0.118181818181818,0.951765289256198
"Threenorm",15,"AR",0.75,0.115454545454545,0.951551147842057
"Threenorm",15,"AR",0.9,0.118484848484848,0.950685032139578
"Threenorm",16,"AR",0.01,0.116060606060606,0.951969513314968
"Threenorm",16,"AR",0.1,0.11030303030303,0.951695867768595
"Threenorm",16,"AR",0.25,0.118787878787879,0.95122681359045
"Threenorm",16,"AR",0.5,0.117878787878788,0.950988797061524
"Threenorm",16,"AR",0.75,0.12030303030303,0.950267401285583
"Threenorm",16,"AR",0.9,0.114545454545455,0.950814692378329
"Threenorm",17,"AR",0.01,0.115454545454545,0.95210505050505
"Threenorm",17,"AR",0.1,0.113939393939394,0.951472910927456
"Threenorm",17,"AR",0.25,0.115757575757576,0.952343801652893
"Threenorm",17,"AR",0.5,0.117575757575758,0.950606795224977
"Threenorm",17,"AR",0.75,0.122121212121212,0.950408448117539
"Threenorm",17,"AR",0.9,0.116969696969697,0.951194674012856
"Threenorm",18,"AR",0.01,0.113636363636364,0.95176492194674
"Threenorm",18,"AR",0.1,0.113939393939394,0.951891643709825
"Threenorm",18,"AR",0.25,0.117272727272727,0.952129292929293
"Threenorm",18,"AR",0.5,0.112727272727273,0.950971900826446
"Threenorm",18,"AR",0.75,0.11969696969697,0.94929072543618
"Threenorm",18,"AR",0.9,0.120909090909091,0.950822405876951
"Threenorm",19,"AR",0.01,0.116363636363636,0.952673278236915
"Threenorm",19,"AR",0.1,0.117272727272727,0.951682644628099
"Threenorm",19,"AR",0.25,0.114545454545455,0.951997796143251
"Threenorm",19,"AR",0.5,0.116969696969697,0.951143067033976
"Threenorm",19,"AR",0.75,0.118484848484848,0.950841873278237
"Threenorm",19,"AR",0.9,0.118181818181818,0.950487052341598
"Threenorm",20,"AR",0.01,0.114242424242424,0.952130027548209
"Threenorm",20,"AR",0.1,0.112121212121212,0.952748943985308
"Threenorm",20,"AR",0.25,0.115757575757576,0.952105417814509
"Threenorm",20,"AR",0.5,0.115757575757576,0.951493847566575
"Threenorm",20,"AR",0.75,0.115757575757576,0.951640771349862
"Threenorm",20,"AR",0.9,0.12,0.949927272727273
"Threenorm",21,"AR",0.01,0.114848484848485,0.952125987144169
"Threenorm",21,"AR",0.1,0.116666666666667,0.950862809917355
"Threenorm",21,"AR",0.25,0.12,0.950910192837466
"Threenorm",21,"AR",0.5,0.117575757575758,0.951208448117539
"Threenorm",21,"AR",0.75,0.116363636363636,0.950843158861341
"Threenorm",21,"AR",0.9,0.120606060606061,0.950318824609734
"Threenorm",22,"AR",0.01,0.113939393939394,0.95251129476584
"Threenorm",22,"AR",0.1,0.115454545454545,0.952022405876951
"Threenorm",22,"AR",0.25,0.117272727272727,0.952344903581267
"Threenorm",22,"AR",0.5,0.11969696969697,0.951490541781451
"Threenorm",22,"AR",0.75,0.12,0.951037281910009
"Threenorm",22,"AR",0.9,0.117272727272727,0.950856198347107
"Threenorm",23,"AR",0.01,0.115151515151515,0.952058402203857
"Threenorm",23,"AR",0.1,0.117272727272727,0.95169476584022
"Threenorm",23,"AR",0.25,0.119393939393939,0.951836179981635
"Threenorm",23,"AR",0.5,0.113939393939394,0.951230486685032
"Threenorm",23,"AR",0.75,0.115454545454545,0.950692378328742
"Threenorm",23,"AR",0.9,0.119393939393939,0.949033241505969
"Threenorm",24,"AR",0.01,0.118181818181818,0.950914967860422
"Threenorm",24,"AR",0.1,0.116060606060606,0.951499724517906
"Threenorm",24,"AR",0.25,0.117272727272727,0.950940312213039
"Threenorm",24,"AR",0.5,0.113939393939394,0.951424426078971
"Threenorm",24,"AR",0.75,0.117272727272727,0.950652157943067
"Threenorm",24,"AR",0.9,0.121212121212121,0.95054839302112
"Threenorm",25,"AR",0.01,0.117272727272727,0.951234159779614
"Threenorm",25,"AR",0.1,0.115757575757576,0.951765656565657
"Threenorm",25,"AR",0.25,0.114242424242424,0.952250872359963
"Threenorm",25,"AR",0.5,0.122424242424242,0.951231955922865
"Threenorm",25,"AR",0.75,0.120909090909091,0.950713682277319
"Threenorm",25,"AR",0.9,0.115454545454545,0.950071625344353
"Threenorm",26,"AR",0.01,0.115454545454545,0.952266666666667
"Threenorm",26,"AR",0.1,0.115757575757576,0.95178769513315
"Threenorm",26,"AR",0.25,0.117575757575758,0.951823324150597
"Threenorm",26,"AR",0.5,0.114848484848485,0.952087419651056
"Threenorm",26,"AR",0.75,0.116363636363636,0.951274931129477
"Threenorm",26,"AR",0.9,0.118484848484848,0.950694949494949
"Threenorm",27,"AR",0.01,0.115757575757576,0.951833608815427
"Threenorm",27,"AR",0.1,0.113939393939394,0.951861524334252
"Threenorm",27,"AR",0.25,0.116060606060606,0.952900642791552
"Threenorm",27,"AR",0.5,0.118181818181818,0.952062075298439
"Threenorm",27,"AR",0.75,0.113939393939394,0.951216896235078
"Threenorm",27,"AR",0.9,0.120606060606061,0.951223140495868
"Threenorm",28,"AR",0.01,0.114545454545455,0.951541230486685
"Threenorm",28,"AR",0.1,0.117272727272727,0.95212782369146
"Threenorm",28,"AR",0.25,0.116363636363636,0.952210835629017
"Threenorm",28,"AR",0.5,0.117272727272727,0.951481359044995
"Threenorm",28,"AR",0.75,0.116060606060606,0.949936455463728
"Threenorm",28,"AR",0.9,0.115151515151515,0.950633976124885
"Threenorm",29,"AR",0.01,0.113939393939394,0.951185307621671
"Threenorm",29,"AR",0.1,0.112727272727273,0.95155665748393
"Threenorm",29,"AR",0.25,0.116969696969697,0.951623507805326
"Threenorm",29,"AR",0.5,0.113636363636364,0.951347658402204
"Threenorm",29,"AR",0.75,0.120606060606061,0.951265013774105
"Threenorm",29,"AR",0.9,0.116666666666667,0.949877685950413
"Threenorm",30,"AR",0.01,0.116666666666667,0.951656565656566
"Threenorm",30,"AR",0.1,0.115454545454545,0.952237281910009
"Threenorm",30,"AR",0.25,0.114545454545455,0.95223507805326
"Threenorm",30,"AR",0.5,0.113636363636364,0.951697704315886
"Threenorm",30,"AR",0.75,0.119090909090909,0.950387511478421
"Threenorm",30,"AR",0.9,0.116060606060606,0.951026446280992
"Threenorm",31,"AR",0.01,0.113939393939394,0.952335720844812
"Threenorm",31,"AR",0.1,0.111515151515152,0.952095867768595
"Threenorm",31,"AR",0.25,0.114545454545455,0.9516
"Threenorm",31,"AR",0.5,0.115757575757576,0.95236914600551
"Threenorm",31,"AR",0.75,0.118484848484848,0.951095684113866
"Threenorm",31,"AR",0.9,0.115151515151515,0.950210468319559
"Threenorm",32,"AR",0.01,0.116969696969697,0.951736639118457
"Threenorm",32,"AR",0.1,0.116060606060606,0.9517854912764
"Threenorm",32,"AR",0.25,0.113333333333333,0.951176124885216
"Threenorm",32,"AR",0.5,0.113030303030303,0.951728191000918
"Threenorm",32,"AR",0.75,0.11969696969697,0.950108723599633
"Threenorm",32,"AR",0.9,0.116363636363636,0.950179981634527
"Threenorm",33,"AR",0.01,0.112727272727273,0.951766023875115
"Threenorm",33,"AR",0.1,0.117878787878788,0.951484664830119
"Threenorm",33,"AR",0.25,0.116060606060606,0.95239595959596
"Threenorm",33,"AR",0.5,0.114545454545455,0.951370798898072
"Threenorm",33,"AR",0.75,0.116363636363636,0.951067768595041
"Threenorm",33,"AR",0.9,0.121818181818182,0.950341781450872
"Threenorm",34,"AR",0.01,0.112121212121212,0.95186189164371
"Threenorm",34,"AR",0.1,0.114848484848485,0.952413223140496
"Threenorm",34,"AR",0.25,0.115454545454545,0.951815977961432
"Threenorm",34,"AR",0.5,0.113939393939394,0.953809366391185
"Threenorm",34,"AR",0.75,0.116363636363636,0.951275298438935
"Threenorm",34,"AR",0.9,0.115151515151515,0.950494031221304
"Threenorm",35,"AR",0.01,0.116363636363636,0.952573002754821
"Threenorm",35,"AR",0.1,0.115757575757576,0.951729660238751
"Threenorm",35,"AR",0.25,0.116060606060606,0.951252892561983
"Threenorm",35,"AR",0.5,0.114848484848485,0.951596694214876
"Threenorm",35,"AR",0.75,0.12030303030303,0.951320110192837
"Threenorm",35,"AR",0.9,0.116666666666667,0.950633976124885
"Threenorm",36,"AR",0.01,0.115454545454545,0.952284297520661
"Threenorm",36,"AR",0.1,0.11030303030303,0.95296492194674
"Threenorm",36,"AR",0.25,0.115757575757576,0.951223875114784
"Threenorm",36,"AR",0.5,0.116060606060606,0.951120293847567
"Threenorm",36,"AR",0.75,0.117575757575758,0.951071074380165
"Threenorm",36,"AR",0.9,0.123939393939394,0.949685583103765
"Threenorm",37,"AR",0.01,0.115454545454545,0.951262809917355
"Threenorm",37,"AR",0.1,0.114545454545455,0.952095867768595
"Threenorm",37,"AR",0.25,0.120606060606061,0.950800734618916
"Threenorm",37,"AR",0.5,0.116363636363636,0.951327089072544
"Threenorm",37,"AR",0.75,0.114545454545455,0.952125987144169
"Threenorm",37,"AR",0.9,0.119393939393939,0.950528558310377
"Threenorm",38,"AR",0.01,0.115454545454545,0.951770431588613
"Threenorm",38,"AR",0.1,0.115151515151515,0.951577961432507
"Threenorm",38,"AR",0.25,0.112121212121212,0.9518927456382
"Threenorm",38,"AR",0.5,0.118181818181818,0.950598714416896
"Threenorm",38,"AR",0.75,0.117272727272727,0.951255831037649
"Threenorm",38,"AR",0.9,0.117878787878788,0.950762534435262
"Threenorm",39,"AR",0.01,0.113939393939394,0.952657851239669
"Threenorm",39,"AR",0.1,0.113636363636364,0.951117355371901
"Threenorm",39,"AR",0.25,0.114545454545455,0.951929476584022
"Threenorm",39,"AR",0.5,0.118484848484848,0.950579614325069
"Threenorm",39,"AR",0.75,0.116969696969697,0.950517171717172
"Threenorm",39,"AR",0.9,0.123636363636364,0.949961799816345
"Threenorm",40,"AR",0.01,0.111515151515152,0.95146189164371
"Threenorm",40,"AR",0.1,0.116363636363636,0.952291643709826
"Threenorm",40,"AR",0.25,0.116969696969697,0.951403122130395
"Threenorm",40,"AR",0.5,0.118181818181818,0.950855096418733
"Threenorm",40,"AR",0.75,0.113333333333333,0.950813590449954
"Threenorm",40,"AR",0.9,0.12030303030303,0.949708723599633
"Threenorm",41,"AR",0.01,0.115757575757576,0.950996510560147
"Threenorm",41,"AR",0.1,0.112424242424242,0.952200918273646
"Threenorm",41,"AR",0.25,0.115757575757576,0.951497887970615
"Threenorm",41,"AR",0.5,0.115757575757576,0.952135169880624
"Threenorm",41,"AR",0.75,0.114545454545455,0.94972782369146
"Threenorm",41,"AR",0.9,0.120909090909091,0.951010468319559
"Threenorm",42,"AR",0.01,0.115757575757576,0.951929109274564
"Threenorm",42,"AR",0.1,0.117272727272727,0.951927272727273
"Threenorm",42,"AR",0.25,0.113333333333333,0.951539026629936
"Threenorm",42,"AR",0.5,0.117272727272727,0.949295133149679
"Threenorm",42,"AR",0.75,0.114848484848485,0.950536271808999
"Threenorm",42,"AR",0.9,0.116666666666667,0.950153535353535
"Threenorm",43,"AR",0.01,0.113636363636364,0.951752433425161
"Threenorm",43,"AR",0.1,0.117575757575758,0.953078787878788
"Threenorm",43,"AR",0.25,0.113333333333333,0.951530211202938
"Threenorm",43,"AR",0.5,0.114848484848485,0.951829568411387
"Threenorm",43,"AR",0.75,0.12030303030303,0.950893296602388
"Threenorm",43,"AR",0.9,0.121515151515152,0.951095133149679
"Threenorm",44,"AR",0.01,0.116666666666667,0.952048852157943
"Threenorm",44,"AR",0.1,0.115151515151515,0.951402754820937
"Threenorm",44,"AR",0.25,0.114848484848485,0.952538475665748
"Threenorm",44,"AR",0.5,0.116969696969697,0.950715151515152
"Threenorm",44,"AR",0.75,0.115151515151515,0.950938842975207
"Threenorm",44,"AR",0.9,0.116666666666667,0.950701193755739
"Threenorm",45,"AR",0.01,0.113333333333333,0.952630303030303
"Threenorm",45,"AR",0.1,0.113636363636364,0.951947842056933
"Threenorm",45,"AR",0.25,0.117878787878788,0.950989164370983
"Threenorm",45,"AR",0.5,0.115454545454545,0.951434710743802
"Threenorm",45,"AR",0.75,0.116060606060606,0.950254545454545
"Threenorm",45,"AR",0.9,0.115151515151515,0.949866666666667
"Threenorm",46,"AR",0.01,0.114848484848485,0.952046648301194
"Threenorm",46,"AR",0.1,0.114242424242424,0.952392653810836
"Threenorm",46,"AR",0.25,0.117575757575758,0.951687786960514
"Threenorm",46,"AR",0.5,0.114242424242424,0.949881359044995
"Threenorm",46,"AR",0.75,0.114848484848485,0.950809917355372
"Threenorm",46,"AR",0.9,0.115757575757576,0.950358494031221
"Threenorm",47,"AR",0.01,0.115151515151515,0.952727272727273
"Threenorm",47,"AR",0.1,0.112121212121212,0.952618916437098
"Threenorm",47,"AR",0.25,0.118181818181818,0.951401285583104
"Threenorm",47,"AR",0.5,0.115454545454545,0.952049586776859
"Threenorm",47,"AR",0.75,0.119090909090909,0.950599816345271
"Threenorm",47,"AR",0.9,0.117575757575758,0.950610835629017
"Threenorm",48,"AR",0.01,0.115757575757576,0.953490541781451
"Threenorm",48,"AR",0.1,0.114545454545455,0.951747658402204
"Threenorm",48,"AR",0.25,0.114242424242424,0.952498438934803
"Threenorm",48,"AR",0.5,0.114242424242424,0.951133149678604
"Threenorm",48,"AR",0.75,0.117878787878788,0.950694214876033
"Threenorm",48,"AR",0.9,0.118181818181818,0.949514416896235
"Threenorm",49,"AR",0.01,0.113636363636364,0.952692011019284
"Threenorm",49,"AR",0.1,0.113636363636364,0.951568778696051
"Threenorm",49,"AR",0.25,0.113636363636364,0.953000183654729
"Threenorm",49,"AR",0.5,0.117575757575758,0.951208815426997
"Threenorm",49,"AR",0.75,0.118787878787879,0.950215610651974
"Threenorm",49,"AR",0.9,0.118484848484848,0.951058585858586
"Threenorm",50,"AR",0.01,0.115151515151515,0.952580348943985
"Threenorm",50,"AR",0.1,0.116363636363636,0.951389164370983
"Threenorm",50,"AR",0.25,0.118787878787879,0.950761432506887
"Threenorm",50,"AR",0.5,0.117272727272727,0.951223875114784
"Threenorm",50,"AR",0.75,0.118181818181818,0.949617447199265
"Threenorm",50,"AR",0.9,0.118484848484848,0.949921763085399
