"dataset","sim","method","minpvalue","misclass","auc"
"Twonorm",1,"AR",0.01,0.0260606060606061,0.995763085399449
"Twonorm",1,"AR",0.1,0.0248484848484848,0.995530211202938
"Twonorm",1,"AR",0.25,0.026969696969697,0.995807897153352
"Twonorm",1,"AR",0.5,0.0257575757575758,0.995922130394858
"Twonorm",1,"AR",0.75,0.0266666666666667,0.996066850321396
"Twonorm",1,"AR",0.9,0.0266666666666667,0.996155004591368
"Twonorm",2,"AR",0.01,0.0260606060606061,0.99575463728191
"Twonorm",2,"AR",0.1,0.0260606060606061,0.995719742883379
"Twonorm",2,"AR",0.25,0.0272727272727273,0.99580202020202
"Twonorm",2,"AR",0.5,0.0245454545454545,0.995994490358127
"Twonorm",2,"AR",0.75,0.0254545454545455,0.996152800734619
"Twonorm",2,"AR",0.9,0.0251515151515152,0.996133333333333
"Twonorm",3,"AR",0.01,0.0281818181818182,0.995631588613407
"Twonorm",3,"AR",0.1,0.0251515151515152,0.995843893480257
"Twonorm",3,"AR",0.25,0.026969696969697,0.995836179981635
"Twonorm",3,"AR",0.5,0.0272727272727273,0.995856382001837
"Twonorm",3,"AR",0.75,0.0245454545454545,0.996166391184573
"Twonorm",3,"AR",0.9,0.0254545454545455,0.996237649219467
"Twonorm",4,"AR",0.01,0.026969696969697,0.99572378328742
"Twonorm",4,"AR",0.1,0.0266666666666667,0.995638567493113
"Twonorm",4,"AR",0.25,0.0263636363636364,0.99584536271809
"Twonorm",4,"AR",0.5,0.0242424242424242,0.995687419651056
"Twonorm",4,"AR",0.75,0.0251515151515152,0.996094031221304
"Twonorm",4,"AR",0.9,0.0218181818181818,0.995940863177227
"Twonorm",5,"AR",0.01,0.0272727272727273,0.995606611570248
"Twonorm",5,"AR",0.1,0.0260606060606061,0.995702479338843
"Twonorm",5,"AR",0.25,0.0254545454545455,0.995934986225895
"Twonorm",5,"AR",0.5,0.0257575757575758,0.995945638200184
"Twonorm",5,"AR",0.75,0.0263636363636364,0.995941230486685
"Twonorm",5,"AR",0.9,0.0278787878787879,0.996004775022957
"Twonorm",6,"AR",0.01,0.0257575757575758,0.995591551882461
"Twonorm",6,"AR",0.1,0.0260606060606061,0.995733333333333
"Twonorm",6,"AR",0.25,0.026969696969697,0.99575867768595
"Twonorm",6,"AR",0.5,0.0251515151515152,0.995678604224059
"Twonorm",6,"AR",0.75,0.0278787878787879,0.99588870523416
"Twonorm",6,"AR",0.9,0.0239393939393939,0.996244260789715
"Twonorm",7,"AR",0.01,0.026969696969697,0.995576124885216
"Twonorm",7,"AR",0.1,0.0263636363636364,0.995921763085399
"Twonorm",7,"AR",0.25,0.0263636363636364,0.99559595959596
"Twonorm",7,"AR",0.5,0.0257575757575758,0.995823691460055
"Twonorm",7,"AR",0.75,0.0257575757575758,0.996180348943985
"Twonorm",7,"AR",0.9,0.0275757575757576,0.99610101010101
"Twonorm",8,"AR",0.01,0.0275757575757576,0.995441689623508
"Twonorm",8,"AR",0.1,0.0263636363636364,0.995846831955923
"Twonorm",8,"AR",0.25,0.0248484848484848,0.996077869605142
"Twonorm",8,"AR",0.5,0.0254545454545455,0.995737373737374
"Twonorm",8,"AR",0.75,0.0251515151515152,0.995914784205693
"Twonorm",8,"AR",0.9,0.0248484848484848,0.996264462809917
"Twonorm",9,"AR",0.01,0.0254545454545455,0.995784389348026
"Twonorm",9,"AR",0.1,0.0266666666666667,0.995687052341598
"Twonorm",9,"AR",0.25,0.0251515151515152,0.995978696051423
"Twonorm",9,"AR",0.5,0.0260606060606061,0.995844260789715
"Twonorm",9,"AR",0.75,0.0260606060606061,0.996051056014692
"Twonorm",9,"AR",0.9,0.0251515151515152,0.996029384756657
"Twonorm",10,"AR",0.01,0.0266666666666667,0.995768227731864
"Twonorm",10,"AR",0.1,0.0242424242424242,0.995719008264463
"Twonorm",10,"AR",0.25,0.0278787878787879,0.995588613406795
"Twonorm",10,"AR",0.5,0.0272727272727273,0.995707621671258
"Twonorm",10,"AR",0.75,0.0254545454545455,0.995832874196511
"Twonorm",10,"AR",0.9,0.0254545454545455,0.996109458218549
"Twonorm",11,"AR",0.01,0.0260606060606061,0.995528007346189
"Twonorm",11,"AR",0.1,0.0257575757575758,0.995982001836547
"Twonorm",11,"AR",0.25,0.0260606060606061,0.995783287419651
"Twonorm",11,"AR",0.5,0.0239393939393939,0.996031221303949
"Twonorm",11,"AR",0.75,0.0263636363636364,0.995832506887052
"Twonorm",11,"AR",0.9,0.0275757575757576,0.995886134067952
"Twonorm",12,"AR",0.01,0.0257575757575758,0.995553719008265
"Twonorm",12,"AR",0.1,0.0284848484848485,0.995656565656566
"Twonorm",12,"AR",0.25,0.0266666666666667,0.995807162534435
"Twonorm",12,"AR",0.5,0.0251515151515152,0.995805325987144
"Twonorm",12,"AR",0.75,0.0257575757575758,0.996181083562902
"Twonorm",12,"AR",0.9,0.0260606060606061,0.996110560146924
"Twonorm",13,"AR",0.01,0.0272727272727273,0.995631955922865
"Twonorm",13,"AR",0.1,0.026969696969697,0.995853076216713
"Twonorm",13,"AR",0.25,0.0242424242424242,0.99587621671258
"Twonorm",13,"AR",0.5,0.026969696969697,0.995980899908173
"Twonorm",13,"AR",0.75,0.0248484848484848,0.995900091827364
"Twonorm",13,"AR",0.9,0.0257575757575758,0.996087419651056
"Twonorm",14,"AR",0.01,0.0278787878787879,0.995635261707989
"Twonorm",14,"AR",0.1,0.0260606060606061,0.996008080808081
"Twonorm",14,"AR",0.25,0.0257575757575758,0.995992653810836
"Twonorm",14,"AR",0.5,0.0263636363636364,0.995923599632691
"Twonorm",14,"AR",0.75,0.0263636363636364,0.995730394857668
"Twonorm",14,"AR",0.9,0.0266666666666667,0.996081175390266
"Twonorm",15,"AR",0.01,0.026969696969697,0.995647015610652
"Twonorm",15,"AR",0.1,0.0260606060606061,0.995688888888889
"Twonorm",15,"AR",0.25,0.0266666666666667,0.995656565656566
"Twonorm",15,"AR",0.5,0.0281818181818182,0.995732966023875
"Twonorm",15,"AR",0.75,0.0263636363636364,0.995953351698806
"Twonorm",15,"AR",0.9,0.0236363636363636,0.995903397612488
"Twonorm",16,"AR",0.01,0.0275757575757576,0.995653994490358
"Twonorm",16,"AR",0.1,0.0257575757575758,0.995590449954086
"Twonorm",16,"AR",0.25,0.0254545454545455,0.995734435261708
"Twonorm",16,"AR",0.5,0.0251515151515152,0.996156106519743
"Twonorm",16,"AR",0.75,0.0257575757575758,0.995916253443526
"Twonorm",16,"AR",0.9,0.0251515151515152,0.996000367309458
"Twonorm",17,"AR",0.01,0.0260606060606061,0.995469972451791
"Twonorm",17,"AR",0.1,0.0260606060606061,0.99587217630854
"Twonorm",17,"AR",0.25,0.0272727272727273,0.995957392102847
"Twonorm",17,"AR",0.5,0.0251515151515152,0.995890174471993
"Twonorm",17,"AR",0.75,0.0257575757575758,0.996092561983471
"Twonorm",17,"AR",0.9,0.0248484848484848,0.996090358126722
"Twonorm",18,"AR",0.01,0.026969696969697,0.995753535353535
"Twonorm",18,"AR",0.1,0.0242424242424242,0.995684848484849
"Twonorm",18,"AR",0.25,0.0278787878787879,0.995803122130395
"Twonorm",18,"AR",0.5,0.0284848484848485,0.995922130394858
"Twonorm",18,"AR",0.75,0.0254545454545455,0.995858953168044
"Twonorm",18,"AR",0.9,0.0266666666666667,0.995866666666667
"Twonorm",19,"AR",0.01,0.0281818181818182,0.995557759412305
"Twonorm",19,"AR",0.1,0.0257575757575758,0.995539026629936
"Twonorm",19,"AR",0.25,0.0254545454545455,0.995980899908173
"Twonorm",19,"AR",0.5,0.0254545454545455,0.996055831037649
"Twonorm",19,"AR",0.75,0.0254545454545455,0.996030486685032
"Twonorm",19,"AR",0.9,0.0251515151515152,0.995743617998163
"Twonorm",20,"AR",0.01,0.0278787878787879,0.995421487603306
"Twonorm",20,"AR",0.1,0.0254545454545455,0.995800183654729
"Twonorm",20,"AR",0.25,0.0278787878787879,0.995831037649219
"Twonorm",20,"AR",0.5,0.0242424242424242,0.996009917355372
"Twonorm",20,"AR",0.75,0.0236363636363636,0.995911478420569
"Twonorm",20,"AR",0.9,0.0257575757575758,0.996011019283747
"Twonorm",21,"AR",0.01,0.0287878787878788,0.995529476584022
"Twonorm",21,"AR",0.1,0.0266666666666667,0.995789898989899
"Twonorm",21,"AR",0.25,0.0275757575757576,0.995850505050505
"Twonorm",21,"AR",0.5,0.0245454545454545,0.995871808999082
"Twonorm",21,"AR",0.75,0.0254545454545455,0.995873278236915
"Twonorm",21,"AR",0.9,0.0251515151515152,0.995992286501377
"Twonorm",22,"AR",0.01,0.0254545454545455,0.995504866850321
"Twonorm",22,"AR",0.1,0.0257575757575758,0.995827364554637
"Twonorm",22,"AR",0.25,0.0251515151515152,0.995601836547291
"Twonorm",22,"AR",0.5,0.0251515151515152,0.995917355371901
"Twonorm",22,"AR",0.75,0.0251515151515152,0.99615059687787
"Twonorm",22,"AR",0.9,0.0275757575757576,0.99596896235078
"Twonorm",23,"AR",0.01,0.0263636363636364,0.995613223140496
"Twonorm",23,"AR",0.1,0.0257575757575758,0.995738842975207
"Twonorm",23,"AR",0.25,0.026969696969697,0.995873278236915
"Twonorm",23,"AR",0.5,0.0260606060606061,0.996029752066116
"Twonorm",23,"AR",0.75,0.0266666666666667,0.996056932966024
"Twonorm",23,"AR",0.9,0.0257575757575758,0.99593608815427
"Twonorm",24,"AR",0.01,0.0263636363636364,0.995637465564738
"Twonorm",24,"AR",0.1,0.0272727272727273,0.995658769513315
"Twonorm",24,"AR",0.25,0.026969696969697,0.99585160697888
"Twonorm",24,"AR",0.5,0.0263636363636364,0.995846831955923
"Twonorm",24,"AR",0.75,0.0257575757575758,0.995824426078971
"Twonorm",24,"AR",0.9,0.0254545454545455,0.996020202020202
"Twonorm",25,"AR",0.01,0.0266666666666667,0.995670523415978
"Twonorm",25,"AR",0.1,0.0239393939393939,0.995725619834711
"Twonorm",25,"AR",0.25,0.0257575757575758,0.995916253443526
"Twonorm",25,"AR",0.5,0.0251515151515152,0.996041873278237
"Twonorm",25,"AR",0.75,0.0254545454545455,0.996054361799816
"Twonorm",25,"AR",0.9,0.0263636363636364,0.996024977043159
"Twonorm",26,"AR",0.01,0.0284848484848485,0.99534839302112
"Twonorm",26,"AR",0.1,0.0272727272727273,0.995479155188246
"Twonorm",26,"AR",0.25,0.0257575757575758,0.995820018365473
"Twonorm",26,"AR",0.5,0.0236363636363636,0.996051423324151
