"dataset","sim","method","mse"
"Abalone",1,"RF",4.59622850560115
"Abalone",2,"RF",4.62586690817048
"Abalone",3,"RF",4.62185584458842
"Abalone",4,"RF",4.60208487863665
"Abalone",5,"RF",4.61660869558309
"Abalone",6,"RF",4.59091654965061
"Abalone",7,"RF",4.61500401973856
"Abalone",8,"RF",4.65700469378567
"Abalone",9,"RF",4.63396087485872
"Abalone",10,"RF",4.58309787607521
"Abalone",11,"RF",4.62313448462787
"Abalone",12,"RF",4.61110341924618
"Abalone",13,"RF",4.60455513163365
"Abalone",14,"RF",4.61039269758158
"Abalone",15,"RF",4.57460845722569
"Abalone",16,"RF",4.61051026487555
"Abalone",17,"RF",4.59972582881987
"Abalone",18,"RF",4.60671718923302
"Abalone",19,"RF",4.59472040482315
"Abalone",20,"RF",4.62580642912716
"Abalone",21,"RF",4.63369037367155
"Abalone",22,"RF",4.60230723699562
"Abalone",23,"RF",4.61878013462019
"Abalone",24,"RF",4.650006782685
"Abalone",25,"RF",4.64954432494297
"Abalone",26,"RF",4.62581751445354
"Abalone",27,"RF",4.60166756617875
"Abalone",28,"RF",4.60982552496234
"Abalone",29,"RF",4.63481985653059
"Abalone",30,"RF",4.58871966224647
"Abalone",31,"RF",4.59892323163562
"Abalone",32,"RF",4.58804488295947
"Abalone",33,"RF",4.59321734607995
"Abalone",34,"RF",4.57957978511875
"Abalone",35,"RF",4.58838394695167
"Abalone",36,"RF",4.58134994677736
"Abalone",37,"RF",4.62722714637323
"Abalone",38,"RF",4.60792882203698
"Abalone",39,"RF",4.62244602466018
"Abalone",40,"RF",4.58143541596278
"Abalone",41,"RF",4.63339725736959
"Abalone",42,"RF",4.6003556410614
"Abalone",43,"RF",4.66453566043646
"Abalone",44,"RF",4.58637165514134
"Abalone",45,"RF",4.60729458522972
"Abalone",46,"RF",4.61813078262841
"Abalone",47,"RF",4.59281990517285
"Abalone",48,"RF",4.62576473474761
"Abalone",49,"RF",4.60242590943364
"Abalone",50,"RF",4.63294735471581
"Abalone",1,"SSS",4.61765562761237
"Abalone",2,"SSS",4.6186045382161
"Abalone",3,"SSS",4.62897374639868
"Abalone",4,"SSS",4.62077182459537
"Abalone",5,"SSS",4.63479924061516
"Abalone",6,"SSS",4.61593414882334
"Abalone",7,"SSS",4.62740535406425
"Abalone",8,"SSS",4.63079764944951
"Abalone",9,"SSS",4.67543862532238
"Abalone",10,"SSS",4.61963488459739
"Abalone",11,"SSS",4.61194903585553
"Abalone",12,"SSS",4.63579581405549
"Abalone",13,"SSS",4.61804454839998
"Abalone",14,"SSS",4.63038005693606
"Abalone",15,"SSS",4.612147846554
"Abalone",16,"SSS",4.64412768673232
"Abalone",17,"SSS",4.64372946284226
"Abalone",18,"SSS",4.66658456875546
"Abalone",19,"SSS",4.65189364596326
"Abalone",20,"SSS",4.63809554646116
"Abalone",21,"SSS",4.61869063673998
"Abalone",22,"SSS",4.62454945168078
"Abalone",23,"SSS",4.67478592826219
"Abalone",24,"SSS",4.63079360856315
"Abalone",25,"SSS",4.6094564137223
"Abalone",26,"SSS",4.61209912012789
"Abalone",27,"SSS",4.65568422792118
"Abalone",28,"SSS",4.63516660568332
"Abalone",29,"SSS",4.63965857102519
"Abalone",30,"SSS",4.63666612225355
"Abalone",31,"SSS",4.62721551966212
"Abalone",32,"SSS",4.67975604807791
"Abalone",33,"SSS",4.59307917177231
"Abalone",34,"SSS",4.654427435852
"Abalone",35,"SSS",4.58797624671914
"Abalone",36,"SSS",4.63816742020476
"Abalone",37,"SSS",4.6631086873293
"Abalone",38,"SSS",4.64138832310017
"Abalone",39,"SSS",4.61534977977306
"Abalone",40,"SSS",4.64138695847905
"Abalone",41,"SSS",4.62401018376311
"Abalone",42,"SSS",4.65409951940483
"Abalone",43,"SSS",4.6335540934237
"Abalone",44,"SSS",4.60657050403125
"Abalone",45,"SSS",4.6530607019448
"Abalone",46,"SSS",4.65474377535503
"Abalone",47,"SSS",4.64722869058986
"Abalone",48,"SSS",4.66134300971503
"Abalone",49,"SSS",4.62676485839222
"Abalone",50,"SSS",4.6386111122844
"Abalone",1,"ER",4.63795020729973
"Abalone",2,"ER",4.64544374571396
"Abalone",3,"ER",4.65503809638795
"Abalone",4,"ER",4.6437698843798
"Abalone",5,"ER",4.62000414846626
"Abalone",6,"ER",4.62303092475306
"Abalone",7,"ER",4.61467950004658
"Abalone",8,"ER",4.6634967131347
"Abalone",9,"ER",4.6354177761182
