"dataset","sim","method","mse"
"Ailerons",1,"RF",2.75120345381712e-08
"Ailerons",2,"RF",2.76440389034831e-08
"Ailerons",3,"RF",2.77099227575803e-08
"Ailerons",4,"RF",2.76890336290462e-08
"Ailerons",5,"RF",2.74621451382501e-08
"Ailerons",6,"RF",2.75711337032238e-08
"Ailerons",7,"RF",2.76640608065797e-08
"Ailerons",8,"RF",2.77659785951278e-08
"Ailerons",9,"RF",2.76389945262419e-08
"Ailerons",10,"RF",2.75003513679345e-08
"Ailerons",11,"RF",2.76251792678956e-08
"Ailerons",12,"RF",2.75643648225808e-08
"Ailerons",13,"RF",2.76711318368114e-08
"Ailerons",14,"RF",2.75522904854364e-08
"Ailerons",15,"RF",2.75127285828466e-08
"Ailerons",16,"RF",2.74951995897008e-08
"Ailerons",17,"RF",2.74702776277777e-08
"Ailerons",18,"RF",2.76156326745809e-08
"Ailerons",19,"RF",2.73592597350709e-08
"Ailerons",20,"RF",2.75618315764828e-08
"Ailerons",21,"RF",2.73505782454451e-08
"Ailerons",22,"RF",2.7658427781036e-08
"Ailerons",23,"RF",2.76276544452199e-08
"Ailerons",24,"RF",2.74694414866636e-08
"Ailerons",25,"RF",2.76933820723952e-08
"Ailerons",26,"RF",2.74661296526948e-08
"Ailerons",27,"RF",2.76779127584157e-08
"Ailerons",28,"RF",2.73579567921852e-08
"Ailerons",29,"RF",2.77025841742491e-08
"Ailerons",30,"RF",2.74546016552778e-08
"Ailerons",31,"RF",2.77423517352873e-08
"Ailerons",32,"RF",2.76649879679288e-08
"Ailerons",33,"RF",2.7567896020224e-08
"Ailerons",34,"RF",2.75132502012606e-08
"Ailerons",35,"RF",2.75331121301731e-08
"Ailerons",36,"RF",2.75698730171627e-08
"Ailerons",37,"RF",2.76461804145999e-08
"Ailerons",38,"RF",2.7453182317544e-08
"Ailerons",39,"RF",2.74648166909083e-08
"Ailerons",40,"RF",2.75458880147269e-08
"Ailerons",41,"RF",2.75343597069258e-08
"Ailerons",42,"RF",2.75086643136484e-08
"Ailerons",43,"RF",2.76651402989401e-08
"Ailerons",44,"RF",2.76959911313285e-08
"Ailerons",45,"RF",2.77169804134325e-08
"Ailerons",46,"RF",2.74846942060624e-08
"Ailerons",47,"RF",2.77133615419589e-08
"Ailerons",48,"RF",2.78051233554506e-08
"Ailerons",49,"RF",2.74724649786839e-08
"Ailerons",50,"RF",2.77408778912133e-08
"Ailerons",1,"SSS",2.76017631001302e-08
"Ailerons",2,"SSS",2.76765330058705e-08
"Ailerons",3,"SSS",2.75324119521864e-08
"Ailerons",4,"SSS",2.75140551511146e-08
"Ailerons",5,"SSS",2.73649638364299e-08
"Ailerons",6,"SSS",2.7738010226457e-08
"Ailerons",7,"SSS",2.75304389532092e-08
"Ailerons",8,"SSS",2.75660919991735e-08
"Ailerons",9,"SSS",2.7622926149375e-08
"Ailerons",10,"SSS",2.75765643228059e-08
"Ailerons",11,"SSS",2.77477538301553e-08
"Ailerons",12,"SSS",2.77244593645761e-08
"Ailerons",13,"SSS",2.73274529093333e-08
"Ailerons",14,"SSS",2.75221667536094e-08
"Ailerons",15,"SSS",2.75055321148629e-08
"Ailerons",16,"SSS",2.74859015686876e-08
"Ailerons",17,"SSS",2.77129698914795e-08
"Ailerons",18,"SSS",2.75347028333959e-08
"Ailerons",19,"SSS",2.76106756160777e-08
"Ailerons",20,"SSS",2.75417180659873e-08
"Ailerons",21,"SSS",2.74173434365383e-08
"Ailerons",22,"SSS",2.74775504083706e-08
"Ailerons",23,"SSS",2.76649003181245e-08
"Ailerons",24,"SSS",2.7678381039542e-08
"Ailerons",25,"SSS",2.74699891564838e-08
"Ailerons",26,"SSS",2.75718858162108e-08
"Ailerons",27,"SSS",2.74549521472814e-08
"Ailerons",28,"SSS",2.75612514030597e-08
"Ailerons",29,"SSS",2.77122406468582e-08
"Ailerons",30,"SSS",2.74340206573812e-08
"Ailerons",31,"SSS",2.76669957338496e-08
"Ailerons",32,"SSS",2.76790340248328e-08
"Ailerons",33,"SSS",2.7599579959758e-08
"Ailerons",34,"SSS",2.75632869409418e-08
"Ailerons",35,"SSS",2.73573491082757e-08
"Ailerons",36,"SSS",2.76521844537165e-08
"Ailerons",37,"SSS",2.76532606144401e-08
"Ailerons",38,"SSS",2.75889854103406e-08
"Ailerons",39,"SSS",2.7525858087287e-08
"Ailerons",40,"SSS",2.76243542180002e-08
"Ailerons",41,"SSS",2.76259102518878e-08
"Ailerons",42,"SSS",2.75489131138788e-08
"Ailerons",43,"SSS",2.73987614400948e-08
"Ailerons",44,"SSS",2.75018926666775e-08
"Ailerons",45,"SSS",2.76254776763446e-08
"Ailerons",46,"SSS",2.74206024521909e-08
"Ailerons",47,"SSS",2.75070795149783e-08
"Ailerons",48,"SSS",2.75951202411624e-08
"Ailerons",49,"SSS",2.75160291814842e-08
"Ailerons",50,"SSS",2.74582366725721e-08
"Ailerons",1,"ER",3.05554983708262e-08
"Ailerons",2,"ER",3.03654716545548e-08
"Ailerons",3,"ER",3.042870485615e-08
"Ailerons",4,"ER",3.03717570753477e-08
"Ailerons",5,"ER",3.02844621200964e-08
"Ailerons",6,"ER",3.03988099469985e-08
"Ailerons",7,"ER",3.0142727519266e-08
"Ailerons",8,"ER",3.023297433311e-08
"Ailerons",9,"ER",3.05523297761666e-08
"Ailerons",10,"ER",3.0025964252258e-08
"Ailerons",11,"ER",3.01391946128149e-08
"Ailerons",12,"ER",3.00406882175528e-08
"Ailerons",13,"ER",3.0330476334857e-08
"Ailerons",14,"ER",3.04132091265978e-08
"Ailerons",15,"ER",3.0186008103368e-08
"Ailerons",16,"ER",3.00409795164692e-08
