"dataset","sim","method","mse"
"Airquality",1,"RF",321.588430092986
"Airquality",2,"RF",352.689101954055
"Airquality",3,"RF",323.942035029477
"Airquality",4,"RF",336.1412580359
"Airquality",5,"RF",319.770812559605
"Airquality",6,"RF",313.007692317055
"Airquality",7,"RF",320.814737331113
"Airquality",8,"RF",334.50721529685
"Airquality",9,"RF",324.088982962213
"Airquality",10,"RF",333.817008076792
"Airquality",11,"RF",342.337971662858
"Airquality",12,"RF",325.134158178561
"Airquality",13,"RF",334.613590670276
"Airquality",14,"RF",307.552217683982
"Airquality",15,"RF",318.87066313792
"Airquality",16,"RF",333.033944628845
"Airquality",17,"RF",353.013307227644
"Airquality",18,"RF",317.113743397915
"Airquality",19,"RF",333.410283824625
"Airquality",20,"RF",329.246343201978
"Airquality",21,"RF",333.936272249071
"Airquality",22,"RF",339.616806063406
"Airquality",23,"RF",307.138844277508
"Airquality",24,"RF",336.7543687254
"Airquality",25,"RF",329.142913670332
"Airquality",26,"RF",330.897816979306
"Airquality",27,"RF",323.533290963313
"Airquality",28,"RF",333.647931998331
"Airquality",29,"RF",350.565897978787
"Airquality",30,"RF",330.249347062778
"Airquality",31,"RF",324.814231227987
"Airquality",32,"RF",318.357135142126
"Airquality",33,"RF",313.803737068689
"Airquality",34,"RF",329.427249640012
"Airquality",35,"RF",339.158197573888
"Airquality",36,"RF",332.560592426047
"Airquality",37,"RF",323.599363646081
"Airquality",38,"RF",324.985460309536
"Airquality",39,"RF",334.564511168839
"Airquality",40,"RF",307.285386226981
"Airquality",41,"RF",350.946008531779
"Airquality",42,"RF",336.718677945344
"Airquality",43,"RF",333.6342038456
"Airquality",44,"RF",328.313443425312
"Airquality",45,"RF",326.125324002001
"Airquality",46,"RF",352.52949434195
"Airquality",47,"RF",323.006238197304
"Airquality",48,"RF",318.393177062692
"Airquality",49,"RF",336.926928194621
"Airquality",50,"RF",323.003365879683
"Airquality",1,"SSS",338.911554749233
"Airquality",2,"SSS",332.319656021845
"Airquality",3,"SSS",327.823719948565
"Airquality",4,"SSS",301.069638622763
"Airquality",5,"SSS",316.413981595339
"Airquality",6,"SSS",334.926310468768
"Airquality",7,"SSS",325.326943779745
"Airquality",8,"SSS",334.335759001885
"Airquality",9,"SSS",328.405273549745
"Airquality",10,"SSS",325.44163435199
"Airquality",11,"SSS",339.868793403596
"Airquality",12,"SSS",324.956485870764
"Airquality",13,"SSS",331.391495096793
"Airquality",14,"SSS",337.886818322532
"Airquality",15,"SSS",339.013237619854
"Airquality",16,"SSS",326.459160397797
"Airquality",17,"SSS",346.410154592448
"Airquality",18,"SSS",324.589172435408
"Airquality",19,"SSS",325.895881897369
"Airquality",20,"SSS",334.236948111087
"Airquality",21,"SSS",298.442372729182
"Airquality",22,"SSS",348.344115445578
"Airquality",23,"SSS",314.77182785596
"Airquality",24,"SSS",330.099171359465
"Airquality",25,"SSS",323.307619383822
"Airquality",26,"SSS",325.641319918735
"Airquality",27,"SSS",334.128119601147
"Airquality",28,"SSS",334.616966963474
"Airquality",29,"SSS",327.934076564554
"Airquality",30,"SSS",323.328561486417
"Airquality",31,"SSS",316.057695397907
"Airquality",32,"SSS",330.51032527973
"Airquality",33,"SSS",344.448633703353
"Airquality",34,"SSS",338.645310796838
"Airquality",35,"SSS",312.691912733111
"Airquality",36,"SSS",339.396642072471
"Airquality",37,"SSS",343.765384154944
"Airquality",38,"SSS",339.243401728328
"Airquality",39,"SSS",326.66907787597
"Airquality",40,"SSS",323.292878943566
"Airquality",41,"SSS",322.857466832816
"Airquality",42,"SSS",339.219528043446
"Airquality",43,"SSS",341.438628629541
"Airquality",44,"SSS",328.548065888439
"Airquality",45,"SSS",339.767359911334
"Airquality",46,"SSS",323.742500307747
"Airquality",47,"SSS",321.593159576081
"Airquality",48,"SSS",319.956850488243
"Airquality",49,"SSS",329.93277933423
"Airquality",50,"SSS",326.702270553134
"Airquality",1,"ER",337.463860999235
"Airquality",2,"ER",348.590937046055
"Airquality",3,"ER",374.413131104358
"Airquality",4,"ER",353.933437093686
"Airquality",5,"ER",342.222155169722
"Airquality",6,"ER",356.85552677109
"Airquality",7,"ER",361.000651418228
"Airquality",8,"ER",354.952950583043
"Airquality",9,"ER",361.26257916244
