"dataset","sim","method","misclass","auc"
"Breast Cancer",1,"RF",0.0292825768667643,0.992074710693958
"Breast Cancer",2,"RF",0.0278184480234261,0.992272607335369
"Breast Cancer",3,"RF",0.0278184480234261,0.992432809378416
"Breast Cancer",4,"RF",0.0278184480234261,0.992395114780052
"Breast Cancer",5,"RF",0.0278184480234261,0.992809755362057
"Breast Cancer",6,"RF",0.0292825768667643,0.992583587771872
"Breast Cancer",7,"RF",0.0292825768667643,0.992102981642731
"Breast Cancer",8,"RF",0.0292825768667643,0.992084134343549
"Breast Cancer",9,"RF",0.0248901903367496,0.992442233028007
"Breast Cancer",10,"RF",0.0278184480234261,0.992216065437823
"Breast Cancer",11,"RF",0.0263543191800878,0.992216065437823
"Breast Cancer",12,"RF",0.0263543191800878,0.992442233028007
"Breast Cancer",13,"RF",0.0248901903367496,0.992479927626371
"Breast Cancer",14,"RF",0.0263543191800878,0.992395114780052
"Breast Cancer",15,"RF",0.0278184480234261,0.992168947189868
"Breast Cancer",16,"RF",0.0248901903367496,0.992593011421463
"Breast Cancer",17,"RF",0.0263543191800878,0.992790908062875
"Breast Cancer",18,"RF",0.0322108345534407,0.992602435071054
"Breast Cancer",19,"RF",0.0292825768667643,0.992536469523917
"Breast Cancer",20,"RF",0.0263543191800878,0.992310301933733
"Breast Cancer",21,"RF",0.0278184480234261,0.992357420181688
"Breast Cancer",22,"RF",0.0263543191800878,0.992442233028007
"Breast Cancer",23,"RF",0.0263543191800878,0.992574164122281
"Breast Cancer",24,"RF",0.0278184480234261,0.99247050397678
"Breast Cancer",25,"RF",0.0278184480234261,0.992291454634551
"Breast Cancer",26,"RF",0.0292825768667643,0.992461080327189
"Breast Cancer",27,"RF",0.0292825768667643,0.992234912737005
"Breast Cancer",28,"RF",0.0263543191800878,0.992640129669418
"Breast Cancer",29,"RF",0.0292825768667643,0.992621282370236
"Breast Cancer",30,"RF",0.0278184480234261,0.992197218138641
"Breast Cancer",31,"RF",0.0263543191800878,0.992555316823099
"Breast Cancer",32,"RF",0.0307467057101025,0.992263183685778
"Breast Cancer",33,"RF",0.0292825768667643,0.992649553319009
"Breast Cancer",34,"RF",0.0307467057101025,0.992159523540277
"Breast Cancer",35,"RF",0.0263543191800878,0.992621282370236
"Breast Cancer",36,"RF",0.0292825768667643,0.992630706019827
"Breast Cancer",37,"RF",0.0278184480234261,0.991989897847638
"Breast Cancer",38,"RF",0.0263543191800878,0.992121828941913
"Breast Cancer",39,"RF",0.0263543191800878,0.991707188359908
"Breast Cancer",40,"RF",0.0292825768667643,0.992508198575144
"Breast Cancer",41,"RF",0.0278184480234261,0.992178370839459
"Breast Cancer",42,"RF",0.0278184480234261,0.992574164122281
"Breast Cancer",43,"RF",0.0292825768667643,0.99191450865091
"Breast Cancer",44,"RF",0.0278184480234261,0.992593011421463
"Breast Cancer",45,"RF",0.0278184480234261,0.991999321497229
"Breast Cancer",46,"RF",0.0278184480234261,0.992508198575144
"Breast Cancer",47,"RF",0.0278184480234261,0.992366843831279
"Breast Cancer",48,"RF",0.0278184480234261,0.992489351275962
"Breast Cancer",49,"RF",0.0278184480234261,0.9926589769686
"Breast Cancer",50,"RF",0.0263543191800878,0.992206641788232
"Breast Cancer",1,"SSS",0.0278184480234261,0.992630706019827
"Breast Cancer",2,"SSS",0.0292825768667643,0.992413962079234
"Breast Cancer",3,"SSS",0.0278184480234261,0.992498774925553
"Breast Cancer",4,"SSS",0.0278184480234261,0.992630706019827
"Breast Cancer",5,"SSS",0.0278184480234261,0.992536469523917
"Breast Cancer",6,"SSS",0.0292825768667643,0.992583587771872
"Breast Cancer",7,"SSS",0.0278184480234261,0.992479927626371
"Breast Cancer",8,"SSS",0.0263543191800878,0.992404538429643
"Breast Cancer",9,"SSS",0.0263543191800878,0.992489351275962
"Breast Cancer",10,"SSS",0.0263543191800878,0.992536469523917
"Breast Cancer",11,"SSS",0.0307467057101025,0.992640129669418
"Breast Cancer",12,"SSS",0.0263543191800878,0.992357420181688
"Breast Cancer",13,"SSS",0.0292825768667643,0.992168947189868
"Breast Cancer",14,"SSS",0.0263543191800878,0.99228203098496
"Breast Cancer",15,"SSS",0.0263543191800878,0.991961626898865
"Breast Cancer",16,"SSS",0.0278184480234261,0.992800331712466
"Breast Cancer",17,"SSS",0.0278184480234261,0.992527045874326
"Breast Cancer",18,"SSS",0.0278184480234261,0.992404538429643
"Breast Cancer",19,"SSS",0.0278184480234261,0.992329149232915
"Breast Cancer",20,"SSS",0.0248901903367496,0.992724942515738
"Breast Cancer",21,"SSS",0.0278184480234261,0.992395114780052
"Breast Cancer",22,"SSS",0.0263543191800878,0.992216065437823
"Breast Cancer",23,"SSS",0.0292825768667643,0.993035922952241
"Breast Cancer",24,"SSS",0.0278184480234261,0.992263183685778
"Breast Cancer",25,"SSS",0.0278184480234261,0.992583587771872
"Breast Cancer",26,"SSS",0.0278184480234261,0.992366843831279
"Breast Cancer",27,"SSS",0.0263543191800878,0.992706095216556
"Breast Cancer",28,"SSS",0.0292825768667643,0.992593011421463
"Breast Cancer",29,"SSS",0.0278184480234261,0.992621282370236
"Breast Cancer",30,"SSS",0.0263543191800878,0.992602435071054
"Breast Cancer",31,"SSS",0.0292825768667643,0.992706095216556
"Breast Cancer",32,"SSS",0.0263543191800878,0.992649553319009
"Breast Cancer",33,"SSS",0.0263543191800878,0.992866297259603
"Breast Cancer",34,"SSS",0.0263543191800878,0.992555316823099
"Breast Cancer",35,"SSS",0.0263543191800878,0.992536469523917
"Breast Cancer",36,"SSS",0.0278184480234261,0.992875720909194
"Breast Cancer",37,"SSS",0.0278184480234261,0.992479927626371
"Breast Cancer",38,"SSS",0.0278184480234261,0.992630706019827
"Breast Cancer",39,"SSS",0.0278184480234261,0.992479927626371
"Breast Cancer",40,"SSS",0.0307467057101025,0.99237626748087
"Breast Cancer",41,"SSS",0.0278184480234261,0.992545893173508
"Breast Cancer",42,"SSS",0.0278184480234261,0.992790908062875
"Breast Cancer",43,"SSS",0.0263543191800878,0.992555316823099
"Breast Cancer",44,"SSS",0.0278184480234261,0.992291454634551
"Breast Cancer",45,"SSS",0.0263543191800878,0.992790908062875
"Breast Cancer",46,"SSS",0.0278184480234261,0.992724942515738
"Breast Cancer",47,"SSS",0.0292825768667643,0.992762637114102
"Breast Cancer",48,"SSS",0.0292825768667643,0.992866297259603
"Breast Cancer",49,"SSS",0.0263543191800878,0.992790908062875
"Breast Cancer",50,"SSS",0.0248901903367496,0.99237626748087
"Breast Cancer",1,"ER",0.0336749633967789,0.993723849372385
"Breast Cancer",2,"ER",0.0336749633967789,0.994119642655207
"Breast Cancer",3,"ER",0.0351390922401171,0.993978287911342
"Breast Cancer",4,"ER",0.0351390922401171,0.99395944061216
"Breast Cancer",5,"ER",0.0307467057101025,0.994129066304799
"Breast Cancer",6,"ER",0.0322108345534407,0.993874627765841
"Breast Cancer",7,"ER",0.0351390922401171,0.993940593312978
"Breast Cancer",8,"ER",0.0336749633967789,0.993978287911342
"Breast Cancer",9,"ER",0.0351390922401171,0.99358249462852
"Breast Cancer",10,"ER",0.0336749633967789,0.994176184552754
"Breast Cancer",11,"ER",0.0322108345534407,0.993978287911342
"Breast Cancer",12,"ER",0.0336749633967789,0.993884051415432
"Breast Cancer",13,"ER",0.0380673499267936,0.993827509517886
"Breast Cancer",14,"ER",0.0336749633967789,0.993968864261751
"Breast Cancer",15,"ER",0.0336749633967789,0.993761543970749
"Breast Cancer",16,"ER",0.0336749633967789,0.993940593312978
"Breast Cancer",17,"ER",0.0336749633967789,0.993997135210524
"Breast Cancer",18,"ER",0.0351390922401171,0.993940593312978
"Breast Cancer",19,"ER",0.0351390922401171,0.99348825813261
"Breast Cancer",20,"ER",0.0336749633967789,0.993808662218704
"Breast Cancer",21,"ER",0.0351390922401171,0.99377096762034
"Breast Cancer",22,"ER",0.0322108345534407,0.993921746013796
"Breast Cancer",23,"ER",0.0336749633967789,0.993657883825248
"Breast Cancer",24,"ER",0.0322108345534407,0.993789814919522
"Breast Cancer",25,"ER",0.0322108345534407,0.993799238569113
"Breast Cancer",26,"ER",0.0366032210834553,0.993997135210524
"Breast Cancer",27,"ER",0.0322108345534407,0.993902898714614
"Breast Cancer",28,"ER",0.0322108345534407,0.99358249462852
"Breast Cancer",29,"ER",0.0351390922401171,0.994025406159297
"Breast Cancer",30,"ER",0.0351390922401171,0.993950016962569
"Breast Cancer",31,"ER",0.0336749633967789,0.993846356817068
"Breast Cancer",32,"ER",0.0336749633967789,0.994110219005616
"Breast Cancer",33,"ER",0.0336749633967789,0.993912322364205
"Breast Cancer",34,"ER",0.0322108345534407,0.993855780466659
"Breast Cancer",35,"ER",0.0322108345534407,0.993968864261751
"Breast Cancer",36,"ER",0.0351390922401171,0.994015982509706
"Breast Cancer",37,"ER",0.0336749633967789,0.993940593312978
"Breast Cancer",38,"ER",0.0351390922401171,0.993507105431792
"Breast Cancer",39,"ER",0.0336749633967789,0.993554223679747
"Breast Cancer",40,"ER",0.0322108345534407,0.993808662218704
"Breast Cancer",41,"ER",0.0322108345534407,0.993893475065023
"Breast Cancer",42,"ER",0.0336749633967789,0.993761543970749
"Breast Cancer",43,"ER",0.0336749633967789,0.993997135210524
"Breast Cancer",44,"ER",0.0351390922401171,0.99395944061216
"Breast Cancer",45,"ER",0.0366032210834553,0.993950016962569
"Breast Cancer",46,"ER",0.0336749633967789,0.993836933167477
"Breast Cancer",47,"ER",0.0351390922401171,0.994147913603981
"Breast Cancer",48,"ER",0.0351390922401171,0.993761543970749
"Breast Cancer",49,"ER",0.0366032210834553,0.994006558860115
"Breast Cancer",50,"ER",0.0351390922401171,0.994091371706434
"Breast Cancer",1,"AR",0.0307467057101025,0.993610765577293
"Breast Cancer",2,"AR",0.0292825768667643,0.993196124995288
"Breast Cancer",3,"AR",0.0307467057101025,0.993968864261751
"Breast Cancer",4,"AR",0.0292825768667643,0.993337479739153
"Breast Cancer",5,"AR",0.0292825768667643,0.993780391269931
"Breast Cancer",6,"AR",0.0292825768667643,0.993591918278111
"Breast Cancer",7,"AR",0.0322108345534407,0.993573070978929
"Breast Cancer",8,"AR",0.0307467057101025,0.993695578423612
"Breast Cancer",9,"AR",0.0278184480234261,0.993978287911342
"Breast Cancer",10,"AR",0.0307467057101025,0.993497681782201
"Breast Cancer",11,"AR",0.0307467057101025,0.993469410833428
"Breast Cancer",12,"AR",0.0336749633967789,0.993997135210524
"Breast Cancer",13,"AR",0.0307467057101025,0.993780391269931
"Breast Cancer",14,"AR",0.0322108345534407,0.993610765577293
"Breast Cancer",15,"AR",0.0322108345534407,0.99340344528629
"Breast Cancer",16,"AR",0.0322108345534407,0.993554223679747
"Breast Cancer",17,"AR",0.0307467057101025,0.993167854046515
"Breast Cancer",18,"AR",0.0322108345534407,0.993478834483019
"Breast Cancer",19,"AR",0.0307467057101025,0.993733273021976
"Breast Cancer",20,"AR",0.0322108345534407,0.993384597987108
"Breast Cancer",21,"AR",0.0307467057101025,0.993620189226884
"Breast Cancer",22,"AR",0.0322108345534407,0.993412868935882
"Breast Cancer",23,"AR",0.0322108345534407,0.993799238569113
"Breast Cancer",24,"AR",0.0307467057101025,0.993761543970749
"Breast Cancer",25,"AR",0.0292825768667643,0.993789814919522
"Breast Cancer",26,"AR",0.0278184480234261,0.993912322364205
"Breast Cancer",27,"AR",0.0292825768667643,0.993111312148969
"Breast Cancer",28,"AR",0.0292825768667643,0.993667307474839
"Breast Cancer",29,"AR",0.0292825768667643,0.993328056089562
