"dataset","sim","method","misclass","auc"
"Birthwt",1,"RF",0.322751322751323,0.642372881355932
"Birthwt",2,"RF",0.338624338624339,0.635853976531943
"Birthwt",3,"RF",0.322751322751323,0.633767926988266
"Birthwt",4,"RF",0.322751322751323,0.640026075619296
"Birthwt",5,"RF",0.312169312169312,0.641720990873533
"Birthwt",6,"RF",0.317460317460317,0.641199478487614
"Birthwt",7,"RF",0.338624338624339,0.639504563233377
"Birthwt",8,"RF",0.322751322751323,0.641851368970013
"Birthwt",9,"RF",0.328042328042328,0.640547588005215
"Birthwt",10,"RF",0.338624338624339,0.646936114732725
"Birthwt",11,"RF",0.333333333333333,0.639634941329857
"Birthwt",12,"RF",0.317460317460317,0.643024771838331
"Birthwt",13,"RF",0.322751322751323,0.633637548891786
"Birthwt",14,"RF",0.328042328042328,0.635593220338983
"Birthwt",15,"RF",0.317460317460317,0.642503259452412
"Birthwt",16,"RF",0.322751322751323,0.646284224250326
"Birthwt",17,"RF",0.338624338624339,0.641851368970013
"Birthwt",18,"RF",0.333333333333333,0.651238591916558
"Birthwt",19,"RF",0.322751322751323,0.630508474576271
"Birthwt",20,"RF",0.328042328042328,0.638852672750978
"Birthwt",21,"RF",0.317460317460317,0.642503259452412
"Birthwt",22,"RF",0.317460317460317,0.643415906127771
"Birthwt",23,"RF",0.333333333333333,0.642242503259452
"Birthwt",24,"RF",0.333333333333333,0.638591916558018
"Birthwt",25,"RF",0.333333333333333,0.64393741851369
"Birthwt",26,"RF",0.333333333333333,0.644719687092568
"Birthwt",27,"RF",0.328042328042328,0.640286831812256
"Birthwt",28,"RF",0.338624338624339,0.633637548891786
"Birthwt",29,"RF",0.322751322751323,0.645893089960887
"Birthwt",30,"RF",0.338624338624339,0.638722294654498
"Birthwt",31,"RF",0.317460317460317,0.640547588005215
"Birthwt",32,"RF",0.338624338624339,0.641981747066493
"Birthwt",33,"RF",0.338624338624339,0.636636245110821
"Birthwt",34,"RF",0.333333333333333,0.645110821382008
"Birthwt",35,"RF",0.328042328042328,0.639374185136897
"Birthwt",36,"RF",0.328042328042328,0.641199478487614
"Birthwt",37,"RF",0.328042328042328,0.63728813559322
"Birthwt",38,"RF",0.338624338624339,0.642894393741851
"Birthwt",39,"RF",0.317460317460317,0.638200782268579
"Birthwt",40,"RF",0.322751322751323,0.638200782268579
"Birthwt",41,"RF",0.328042328042328,0.642112125162973
"Birthwt",42,"RF",0.312169312169312,0.636114732724902
"Birthwt",43,"RF",0.333333333333333,0.640677966101695
"Birthwt",44,"RF",0.328042328042328,0.638331160365059
"Birthwt",45,"RF",0.317460317460317,0.639634941329857
"Birthwt",46,"RF",0.338624338624339,0.644850065189048
"Birthwt",47,"RF",0.322751322751323,0.641851368970013
"Birthwt",48,"RF",0.333333333333333,0.630638852672751
"Birthwt",49,"RF",0.333333333333333,0.640677966101695
"Birthwt",50,"RF",0.333333333333333,0.640547588005215
"Birthwt",1,"SSS",0.328042328042328,0.639765319426336
"Birthwt",2,"SSS",0.333333333333333,0.638331160365059
"Birthwt",3,"SSS",0.322751322751323,0.634680573663625
"Birthwt",4,"SSS",0.328042328042328,0.640547588005215
"Birthwt",5,"SSS",0.322751322751323,0.639504563233377
"Birthwt",6,"SSS",0.328042328042328,0.645110821382008
"Birthwt",7,"SSS",0.322751322751323,0.640286831812256
"Birthwt",8,"SSS",0.333333333333333,0.645893089960887
"Birthwt",9,"SSS",0.333333333333333,0.639765319426336
"Birthwt",10,"SSS",0.306878306878307,0.641720990873533
"Birthwt",11,"SSS",0.333333333333333,0.645371577574967
"Birthwt",12,"SSS",0.328042328042328,0.641329856584094
"Birthwt",13,"SSS",0.322751322751323,0.639374185136897
"Birthwt",14,"SSS",0.333333333333333,0.642372881355932
"Birthwt",15,"SSS",0.312169312169312,0.644067796610169
"Birthwt",16,"SSS",0.328042328042328,0.638070404172099
"Birthwt",17,"SSS",0.322751322751323,0.640156453715776
"Birthwt",18,"SSS",0.333333333333333,0.638983050847458
"Birthwt",19,"SSS",0.333333333333333,0.639243807040417
"Birthwt",20,"SSS",0.312169312169312,0.638200782268579
"Birthwt",21,"SSS",0.322751322751323,0.642242503259452
"Birthwt",22,"SSS",0.322751322751323,0.639895697522816
"Birthwt",23,"SSS",0.322751322751323,0.649543676662321
"Birthwt",24,"SSS",0.328042328042328,0.6374185136897
"Birthwt",25,"SSS",0.328042328042328,0.643285528031291
"Birthwt",26,"SSS",0.322751322751323,0.639504563233377
"Birthwt",27,"SSS",0.328042328042328,0.63728813559322
"Birthwt",28,"SSS",0.328042328042328,0.641981747066493
"Birthwt",29,"SSS",0.312169312169312,0.636245110821382
"Birthwt",30,"SSS",0.328042328042328,0.645371577574967
"Birthwt",31,"SSS",0.317460317460317,0.645893089960887
"Birthwt",32,"SSS",0.328042328042328,0.643024771838331
"Birthwt",33,"SSS",0.312169312169312,0.638591916558018
"Birthwt",34,"SSS",0.328042328042328,0.643155149934811
"Birthwt",35,"SSS",0.322751322751323,0.634028683181226
"Birthwt",36,"SSS",0.338624338624339,0.646284224250326
"Birthwt",37,"SSS",0.333333333333333,0.632985658409387
"Birthwt",38,"SSS",0.338624338624339,0.645762711864407
"Birthwt",39,"SSS",0.328042328042328,0.641069100391134
"Birthwt",40,"SSS",0.328042328042328,0.643285528031291
"Birthwt",41,"SSS",0.322751322751323,0.638591916558018
"Birthwt",42,"SSS",0.328042328042328,0.645371577574967
"Birthwt",43,"SSS",0.328042328042328,0.63754889178618
"Birthwt",44,"SSS",0.328042328042328,0.645762711864407
"Birthwt",45,"SSS",0.312169312169312,0.639243807040417
"Birthwt",46,"SSS",0.317460317460317,0.640026075619296
"Birthwt",47,"SSS",0.338624338624339,0.642633637548892
"Birthwt",48,"SSS",0.333333333333333,0.64393741851369
"Birthwt",49,"SSS",0.333333333333333,0.640286831812256
"Birthwt",50,"SSS",0.322751322751323,0.641851368970013
"Birthwt",1,"ER",0.317460317460317,0.666101694915254
"Birthwt",2,"ER",0.322751322751323,0.659322033898305
"Birthwt",3,"ER",0.322751322751323,0.65593220338983
"Birthwt",4,"ER",0.312169312169312,0.660495436766623
"Birthwt",5,"ER",0.312169312169312,0.660495436766623
"Birthwt",6,"ER",0.317460317460317,0.661147327249022
"Birthwt",7,"ER",0.317460317460317,0.661538461538462
"Birthwt",8,"ER",0.306878306878307,0.659061277705346
"Birthwt",9,"ER",0.317460317460317,0.661277705345502
"Birthwt",10,"ER",0.328042328042328,0.664276401564537
"Birthwt",11,"ER",0.312169312169312,0.658148631029987
"Birthwt",12,"ER",0.322751322751323,0.655019556714472
"Birthwt",13,"ER",0.317460317460317,0.662972620599739
"Birthwt",14,"ER",0.322751322751323,0.661538461538462
"Birthwt",15,"ER",0.306878306878307,0.661147327249022
"Birthwt",16,"ER",0.322751322751323,0.659582790091265
"Birthwt",17,"ER",0.317460317460317,0.663754889178618
"Birthwt",18,"ER",0.317460317460317,0.659582790091265
"Birthwt",19,"ER",0.322751322751323,0.660886571056063
"Birthwt",20,"ER",0.312169312169312,0.664276401564537
"Birthwt",21,"ER",0.317460317460317,0.659191655801825
"Birthwt",22,"ER",0.312169312169312,0.651108213820078
"Birthwt",23,"ER",0.317460317460317,0.660365058670143
"Birthwt",24,"ER",0.306878306878307,0.662972620599739
"Birthwt",25,"ER",0.317460317460317,0.661799217731421
"Birthwt",26,"ER",0.322751322751323,0.660104302477184
"Birthwt",27,"ER",0.317460317460317,0.657105606258149
"Birthwt",28,"ER",0.306878306878307,0.660886571056063
"Birthwt",29,"ER",0.322751322751323,0.663233376792699
"Birthwt",30,"ER",0.317460317460317,0.659061277705346
"Birthwt",31,"ER",0.312169312169312,0.653715775749674
"Birthwt",32,"ER",0.317460317460317,0.656584093872229
"Birthwt",33,"ER",0.312169312169312,0.665710560625815
"Birthwt",34,"ER",0.317460317460317,0.663494132985658
"Birthwt",35,"ER",0.317460317460317,0.661277705345502
"Birthwt",36,"ER",0.322751322751323,0.66232073011734
"Birthwt",37,"ER",0.312169312169312,0.661929595827901
"Birthwt",38,"ER",0.317460317460317,0.657887874837027
"Birthwt",39,"ER",0.317460317460317,0.65619295958279
"Birthwt",40,"ER",0.312169312169312,0.667666232073012
"Birthwt",41,"ER",0.328042328042328,0.662059973924381
"Birthwt",42,"ER",0.317460317460317,0.657627118644068
