"dataset","sim","method","mse"
"Elevators",1,"RF",8.53306795394436e-06
"Elevators",2,"RF",8.52585886384485e-06
"Elevators",3,"RF",8.59776733355705e-06
"Elevators",4,"RF",8.54068261507238e-06
"Elevators",5,"RF",8.44884708684773e-06
"Elevators",6,"RF",8.46690382067115e-06
"Elevators",7,"RF",8.5234955751268e-06
"Elevators",8,"RF",8.54780224498797e-06
"Elevators",9,"RF",8.54557832125184e-06
"Elevators",10,"RF",8.58336107903486e-06
"Elevators",11,"RF",8.48324247374692e-06
"Elevators",12,"RF",8.4436805612295e-06
"Elevators",13,"RF",8.47569517032152e-06
"Elevators",14,"RF",8.40055970219094e-06
"Elevators",15,"RF",8.50045639918373e-06
"Elevators",16,"RF",8.63639364205886e-06
"Elevators",17,"RF",8.52255359435693e-06
"Elevators",18,"RF",8.47845512668927e-06
"Elevators",19,"RF",8.5082471811198e-06
"Elevators",20,"RF",8.39085942333868e-06
"Elevators",21,"RF",8.52318414822113e-06
"Elevators",22,"RF",8.607728091869e-06
"Elevators",23,"RF",8.59012218265568e-06
"Elevators",24,"RF",8.5878802352764e-06
"Elevators",25,"RF",8.43130996479712e-06
"Elevators",26,"RF",8.47326514266657e-06
"Elevators",27,"RF",8.55023759544834e-06
"Elevators",28,"RF",8.5720655004266e-06
"Elevators",29,"RF",8.52602512861083e-06
"Elevators",30,"RF",8.49937541040589e-06
"Elevators",31,"RF",8.46385420264597e-06
"Elevators",32,"RF",8.54357805281752e-06
"Elevators",33,"RF",8.50906438724521e-06
"Elevators",34,"RF",8.55620505768898e-06
"Elevators",35,"RF",8.47769892545086e-06
"Elevators",36,"RF",8.58107963893311e-06
"Elevators",37,"RF",8.45131251794769e-06
"Elevators",38,"RF",8.55431928258268e-06
"Elevators",39,"RF",8.65842456041706e-06
"Elevators",40,"RF",8.45266554509367e-06
"Elevators",41,"RF",8.48173599834773e-06
"Elevators",42,"RF",8.44347002770062e-06
"Elevators",43,"RF",8.48820104759107e-06
"Elevators",44,"RF",8.53602495332984e-06
"Elevators",45,"RF",8.49172480283599e-06
"Elevators",46,"RF",8.55577708493545e-06
"Elevators",47,"RF",8.59408215159468e-06
"Elevators",48,"RF",8.61476781259198e-06
"Elevators",49,"RF",8.43880768177583e-06
"Elevators",50,"RF",8.52783974080539e-06
"Elevators",1,"SSS",8.34455286536954e-06
"Elevators",2,"SSS",8.40809606061206e-06
"Elevators",3,"SSS",8.33554819425828e-06
"Elevators",4,"SSS",8.30760617557601e-06
"Elevators",5,"SSS",8.2896765696925e-06
"Elevators",6,"SSS",8.22530659774598e-06
"Elevators",7,"SSS",8.31526016008851e-06
"Elevators",8,"SSS",8.437088113762e-06
"Elevators",9,"SSS",8.37092136211195e-06
"Elevators",10,"SSS",8.397063062274e-06
"Elevators",11,"SSS",8.28588051818375e-06
"Elevators",12,"SSS",8.39639938952725e-06
"Elevators",13,"SSS",8.46905499635316e-06
"Elevators",14,"SSS",8.34641863489305e-06
"Elevators",15,"SSS",8.3856476975073e-06
"Elevators",16,"SSS",8.30257912902597e-06
"Elevators",17,"SSS",8.39098734929736e-06
"Elevators",18,"SSS",8.34631895099974e-06
"Elevators",19,"SSS",8.29683225452604e-06
"Elevators",20,"SSS",8.35827689016611e-06
"Elevators",21,"SSS",8.17335935364167e-06
"Elevators",22,"SSS",8.19645090575276e-06
"Elevators",23,"SSS",8.27654169093414e-06
"Elevators",24,"SSS",8.41077403704889e-06
"Elevators",25,"SSS",8.44111150731805e-06
"Elevators",26,"SSS",8.36242932051523e-06
"Elevators",27,"SSS",8.26603733281579e-06
"Elevators",28,"SSS",8.36900516668652e-06
"Elevators",29,"SSS",8.32289971629621e-06
"Elevators",30,"SSS",8.37565356570266e-06
"Elevators",31,"SSS",8.4929898615177e-06
"Elevators",32,"SSS",8.467425744239e-06
"Elevators",33,"SSS",8.34569397119931e-06
"Elevators",34,"SSS",8.43852677103667e-06
"Elevators",35,"SSS",8.34924688821481e-06
"Elevators",36,"SSS",8.46292899030544e-06
"Elevators",37,"SSS",8.3120846926498e-06
"Elevators",38,"SSS",8.38627117889528e-06
"Elevators",39,"SSS",8.44631549698742e-06
"Elevators",40,"SSS",8.31210605484421e-06
"Elevators",41,"SSS",8.30401930898516e-06
"Elevators",42,"SSS",8.30090436294988e-06
"Elevators",43,"SSS",8.28167626491475e-06
"Elevators",44,"SSS",8.57141872065464e-06
"Elevators",45,"SSS",8.39179877714292e-06
"Elevators",46,"SSS",8.27685847137503e-06
"Elevators",47,"SSS",8.36557411147945e-06
"Elevators",48,"SSS",8.20402093507104e-06
"Elevators",49,"SSS",8.43449148995175e-06
"Elevators",50,"SSS",8.3862442742461e-06
"Elevators",1,"ER",9.62607325612575e-06
"Elevators",2,"ER",9.83471658009338e-06
"Elevators",3,"ER",9.55709542090524e-06
"Elevators",4,"ER",9.7050158672052e-06
"Elevators",5,"ER",9.67116515953543e-06
"Elevators",6,"ER",9.95717106157147e-06
"Elevators",7,"ER",9.69075346581615e-06
"Elevators",8,"ER",9.74751697362502e-06
"Elevators",9,"ER",1.00553559834183e-05
"Elevators",10,"ER",9.76699347378193e-06
"Elevators",11,"ER",9.55059883382955e-06
"Elevators",12,"ER",9.56742625449394e-06
"Elevators",13,"ER",9.54431108866938e-06
"Elevators",14,"ER",9.67131688307533e-06
"Elevators",15,"ER",9.53789630715298e-06
"Elevators",16,"ER",9.85338985649563e-06
"Elevators",17,"ER",9.73063033293192e-06
"Elevators",18,"ER",9.63270438823268e-06
"Elevators",19,"ER",9.5802698359858e-06
"Elevators",20,"ER",9.75651791158197e-06
"Elevators",21,"ER",9.72192265983582e-06
"Elevators",22,"ER",9.71844851040255e-06
"Elevators",23,"ER",9.6985809593507e-06
"Elevators",24,"ER",9.81902274950552e-06
"Elevators",25,"ER",9.71172407807162e-06
"Elevators",26,"ER",9.63919194266728e-06
"Elevators",27,"ER",9.73193258097847e-06
"Elevators",28,"ER",9.74270239383985e-06
"Elevators",29,"ER",9.58276757303321e-06
"Elevators",30,"ER",9.65929034262108e-06
"Elevators",31,"ER",9.89308167565151e-06
"Elevators",32,"ER",9.53774747491652e-06
"Elevators",33,"ER",9.64257379903619e-06
"Elevators",34,"ER",9.75669317862766e-06
"Elevators",35,"ER",9.78041614578511e-06
"Elevators",36,"ER",9.60991667659442e-06
"Elevators",37,"ER",9.83003957079086e-06
"Elevators",38,"ER",9.66369566852156e-06
"Elevators",39,"ER",9.77298381196102e-06
"Elevators",40,"ER",9.73623190904445e-06
"Elevators",41,"ER",9.68867192528402e-06
"Elevators",42,"ER",9.87307464217199e-06
"Elevators",43,"ER",9.5510675761862e-06
"Elevators",44,"ER",9.73020195698919e-06
"Elevators",45,"ER",9.59283276767657e-06
"Elevators",46,"ER",9.61180053813832e-06
"Elevators",47,"ER",9.71740510141166e-06
"Elevators",48,"ER",9.70685213450055e-06
"Elevators",49,"ER",9.71459827839853e-06
"Elevators",50,"ER",9.73345602644958e-06
"Elevators",1,"AR",1.06818504879973e-05
"Elevators",2,"AR",1.04669455057439e-05
"Elevators",3,"AR",1.05283909370206e-05
"Elevators",4,"AR",1.05722031105169e-05
"Elevators",5,"AR",1.04909297136161e-05
"Elevators",6,"AR",1.03301672845717e-05
"Elevators",7,"AR",1.04906869398106e-05
"Elevators",8,"AR",1.02816021864204e-05
"Elevators",9,"AR",1.05352406750941e-05
"Elevators",10,"AR",1.05811746410767e-05
"Elevators",11,"AR",1.05108659512088e-05
"Elevators",12,"AR",1.03686099855715e-05
"Elevators",13,"AR",1.05200530290606e-05
"Elevators",14,"AR",1.06517056683552e-05
"Elevators",15,"AR",1.03877392080089e-05
"Elevators",16,"AR",1.03550696939061e-05
"Elevators",17,"AR",1.03127452053223e-05
