"dataset","sim","method","mse"
"Friedman3",1,"RF",0.0168630124402636
"Friedman3",2,"RF",0.017476715734382
"Friedman3",3,"RF",0.0177279351533781
"Friedman3",4,"RF",0.0170939700614983
"Friedman3",5,"RF",0.0179257405004203
"Friedman3",6,"RF",0.0169719740600109
"Friedman3",7,"RF",0.0175067976365431
"Friedman3",8,"RF",0.0169332158266131
"Friedman3",9,"RF",0.0171567742228048
"Friedman3",10,"RF",0.0172243867840531
"Friedman3",11,"RF",0.0172617325744493
"Friedman3",12,"RF",0.0173478377510943
"Friedman3",13,"RF",0.0172135591569588
"Friedman3",14,"RF",0.0175482134176522
"Friedman3",15,"RF",0.0178881537566132
"Friedman3",16,"RF",0.0166976413092055
"Friedman3",17,"RF",0.0168779117691068
"Friedman3",18,"RF",0.0175562824252826
"Friedman3",19,"RF",0.0174828682670489
"Friedman3",20,"RF",0.0166391635935676
"Friedman3",21,"RF",0.0168663544133141
"Friedman3",22,"RF",0.0171008073112783
"Friedman3",23,"RF",0.0168903151093927
"Friedman3",24,"RF",0.0174346711994137
"Friedman3",25,"RF",0.0179236564666997
"Friedman3",26,"RF",0.0177783029246007
"Friedman3",27,"RF",0.0180665238326063
"Friedman3",28,"RF",0.0171830455058354
"Friedman3",29,"RF",0.0180546427909539
"Friedman3",30,"RF",0.0168209584893729
"Friedman3",31,"RF",0.0177054711798843
"Friedman3",32,"RF",0.0168313784237913
"Friedman3",33,"RF",0.0166913444909491
"Friedman3",34,"RF",0.0173200791889253
"Friedman3",35,"RF",0.0165315429544944
"Friedman3",36,"RF",0.0176032477967209
"Friedman3",37,"RF",0.0174710779358084
"Friedman3",38,"RF",0.0170934499645195
"Friedman3",39,"RF",0.0172003416189574
"Friedman3",40,"RF",0.0175308134760644
"Friedman3",41,"RF",0.0168375458377567
"Friedman3",42,"RF",0.0168843971665472
"Friedman3",43,"RF",0.0169674436080461
"Friedman3",44,"RF",0.0174999637402301
"Friedman3",45,"RF",0.0173044199743039
"Friedman3",46,"RF",0.0169235909601349
"Friedman3",47,"RF",0.0165624134501088
"Friedman3",48,"RF",0.0174261655498821
"Friedman3",49,"RF",0.0176809249697975
"Friedman3",50,"RF",0.0176748384743212
"Friedman3",1,"SSS",0.0183045106781248
"Friedman3",2,"SSS",0.017607511788548
"Friedman3",3,"SSS",0.0179309067275149
"Friedman3",4,"SSS",0.0179583925527384
"Friedman3",5,"SSS",0.0179280743301859
"Friedman3",6,"SSS",0.0177683856196602
"Friedman3",7,"SSS",0.0175689969758563
"Friedman3",8,"SSS",0.0175271714507171
"Friedman3",9,"SSS",0.0181189007940701
"Friedman3",10,"SSS",0.0179122956360368
"Friedman3",11,"SSS",0.0184010512404623
"Friedman3",12,"SSS",0.0177293075433524
"Friedman3",13,"SSS",0.0170056608673539
"Friedman3",14,"SSS",0.0179301884544059
"Friedman3",15,"SSS",0.0181726321322589
"Friedman3",16,"SSS",0.0177469263765958
"Friedman3",17,"SSS",0.0176306522151891
"Friedman3",18,"SSS",0.0173641976106062
"Friedman3",19,"SSS",0.0180263736168502
"Friedman3",20,"SSS",0.0179002616552784
"Friedman3",21,"SSS",0.0172188888059913
"Friedman3",22,"SSS",0.0176705528756965
"Friedman3",23,"SSS",0.0173369124800054
"Friedman3",24,"SSS",0.018150156553248
"Friedman3",25,"SSS",0.0180057104615735
"Friedman3",26,"SSS",0.0174500159234537
"Friedman3",27,"SSS",0.0183364278547311
"Friedman3",28,"SSS",0.0176975900241463
"Friedman3",29,"SSS",0.0176962653178262
"Friedman3",30,"SSS",0.017495228511255
"Friedman3",31,"SSS",0.0177508159920688
"Friedman3",32,"SSS",0.0175708071110992
"Friedman3",33,"SSS",0.0181943985935077
"Friedman3",34,"SSS",0.0185087306279143
"Friedman3",35,"SSS",0.0177155702464544
"Friedman3",36,"SSS",0.0176913915860616
"Friedman3",37,"SSS",0.0178250446627804
"Friedman3",38,"SSS",0.0181805663351223
"Friedman3",39,"SSS",0.0176665082109577
"Friedman3",40,"SSS",0.0175532722376622
"Friedman3",41,"SSS",0.0179195436725812
"Friedman3",42,"SSS",0.0179836833887742
"Friedman3",43,"SSS",0.0175237409418442
"Friedman3",44,"SSS",0.0178005266147787
"Friedman3",45,"SSS",0.0181283595458635
"Friedman3",46,"SSS",0.0178848657056928
"Friedman3",47,"SSS",0.0176680235788262
"Friedman3",48,"SSS",0.0174549716924072
"Friedman3",49,"SSS",0.017993169494433
"Friedman3",50,"SSS",0.0182434296717259
"Friedman3",1,"ER",0.0241696302707543
"Friedman3",2,"ER",0.0251082515793532
"Friedman3",3,"ER",0.0238382259279484
"Friedman3",4,"ER",0.0242350818329911
"Friedman3",5,"ER",0.024946271212214
"Friedman3",6,"ER",0.0232715232275516
"Friedman3",7,"ER",0.0246252139427753
"Friedman3",8,"ER",0.025515042376569
"Friedman3",9,"ER",0.024373686549162
"Friedman3",10,"ER",0.0252645964714611
"Friedman3",11,"ER",0.0235924782327968
"Friedman3",12,"ER",0.0250406286691772
"Friedman3",13,"ER",0.0244529869759724
"Friedman3",14,"ER",0.0234323050293473
"Friedman3",15,"ER",0.0253381813215464
"Friedman3",16,"ER",0.0248966571300965
"Friedman3",17,"ER",0.0242417729650901
"Friedman3",18,"ER",0.0259658084975952
"Friedman3",19,"ER",0.0247102938098299
"Friedman3",20,"ER",0.0248629221689386
"Friedman3",21,"ER",0.0251857633711992
"Friedman3",22,"ER",0.0237749423894006
"Friedman3",23,"ER",0.0233996102265409
"Friedman3",24,"ER",0.0257994097450826
"Friedman3",25,"ER",0.0259200315679211
"Friedman3",26,"ER",0.0246677131900997
"Friedman3",27,"ER",0.0258916522338408
"Friedman3",28,"ER",0.0236612556796127
"Friedman3",29,"ER",0.0255181598192446
"Friedman3",30,"ER",0.0236767795684342
"Friedman3",31,"ER",0.0250787369178227
"Friedman3",32,"ER",0.0246162376424031
"Friedman3",33,"ER",0.0238358063651383
"Friedman3",34,"ER",0.0231455841476938
"Friedman3",35,"ER",0.0242586325553893
"Friedman3",36,"ER",0.0244386175686141
"Friedman3",37,"ER",0.0248732150844623
"Friedman3",38,"ER",0.0252961931643041
"Friedman3",39,"ER",0.024328706952818
"Friedman3",40,"ER",0.023300340367688
"Friedman3",41,"ER",0.0239651707700679
"Friedman3",42,"ER",0.0252961687501775
"Friedman3",43,"ER",0.0249495686913332
"Friedman3",44,"ER",0.0250132217365172
"Friedman3",45,"ER",0.0243016188681373
"Friedman3",46,"ER",0.0232922365145709
"Friedman3",47,"ER",0.0256285613684961
"Friedman3",48,"ER",0.0256774860010443
"Friedman3",49,"ER",0.0263135262946275
"Friedman3",50,"ER",0.0256323890751375
"Friedman3",1,"AR",0.0121928561645661
"Friedman3",2,"AR",0.0125612891452546
"Friedman3",3,"AR",0.0122865347364425
"Friedman3",4,"AR",0.0124165477123232
"Friedman3",5,"AR",0.0120276497878494
"Friedman3",6,"AR",0.0124564234098623
"Friedman3",7,"AR",0.0124601924040288
"Friedman3",8,"AR",0.0122666452986625
"Friedman3",9,"AR",0.0124720470269293
"Friedman3",10,"AR",0.0122867286794733
"Friedman3",11,"AR",0.0122505030845513
"Friedman3",12,"AR",0.0127064394191028
"Friedman3",13,"AR",0.0128265296082592
"Friedman3",14,"AR",0.0122266554024467
"Friedman3",15,"AR",0.0122942710884335
"Friedman3",16,"AR",0.012172856682386
"Friedman3",17,"AR",0.0124397717059738
"Friedman3",18,"AR",0.0122288247261285
