"dataset","sim","method","misclass","auc"
"German",1,"RF",0.231,0.797604761904762
"German",2,"RF",0.225,0.798752380952381
"German",3,"RF",0.232,0.798604761904762
"German",4,"RF",0.23,0.795976190476191
"German",5,"RF",0.23,0.796390476190476
"German",6,"RF",0.229,0.797819047619048
"German",7,"RF",0.231,0.795161904761905
"German",8,"RF",0.23,0.799604761904762
"German",9,"RF",0.235,0.798047619047619
"German",10,"RF",0.235,0.800547619047619
"German",11,"RF",0.239,0.795509523809524
"German",12,"RF",0.23,0.796328571428571
"German",13,"RF",0.23,0.798885714285714
"German",14,"RF",0.234,0.797990476190476
"German",15,"RF",0.232,0.798514285714286
"German",16,"RF",0.231,0.795438095238095
"German",17,"RF",0.233,0.797228571428571
"German",18,"RF",0.235,0.793219047619048
"German",19,"RF",0.227,0.800019047619048
"German",20,"RF",0.227,0.796904761904762
"German",21,"RF",0.227,0.796785714285714
"German",22,"RF",0.237,0.795571428571429
"German",23,"RF",0.232,0.794838095238095
"German",24,"RF",0.223,0.79812380952381
"German",25,"RF",0.23,0.79527619047619
"German",26,"RF",0.229,0.798980952380952
"German",27,"RF",0.231,0.795761904761905
"German",28,"RF",0.236,0.797533333333333
"German",29,"RF",0.231,0.796738095238095
"German",30,"RF",0.231,0.795795238095238
"German",31,"RF",0.237,0.796571428571429
"German",32,"RF",0.232,0.798533333333333
"German",33,"RF",0.234,0.796447619047619
"German",34,"RF",0.239,0.797695238095238
"German",35,"RF",0.236,0.79777619047619
"German",36,"RF",0.232,0.797742857142857
"German",37,"RF",0.234,0.796285714285714
"German",38,"RF",0.232,0.798738095238095
"German",39,"RF",0.232,0.798466666666667
"German",40,"RF",0.23,0.79607619047619
"German",41,"RF",0.229,0.797738095238095
"German",42,"RF",0.232,0.79627619047619
"German",43,"RF",0.231,0.797585714285714
"German",44,"RF",0.23,0.796333333333333
"German",45,"RF",0.228,0.796547619047619
"German",46,"RF",0.24,0.799538095238095
"German",47,"RF",0.23,0.798352380952381
"German",48,"RF",0.231,0.797166666666667
"German",49,"RF",0.233,0.796271428571429
"German",50,"RF",0.231,0.795609523809524
"German",1,"SSS",0.227,0.79757619047619
"German",2,"SSS",0.235,0.796519047619048
"German",3,"SSS",0.236,0.800104761904762
"German",4,"SSS",0.232,0.797804761904762
"German",5,"SSS",0.232,0.795252380952381
"German",6,"SSS",0.227,0.794095238095238
"German",7,"SSS",0.233,0.796347619047619
"German",8,"SSS",0.226,0.796990476190476
"German",9,"SSS",0.236,0.79547619047619
"German",10,"SSS",0.23,0.796785714285714
"German",11,"SSS",0.227,0.798157142857143
"German",12,"SSS",0.234,0.795
"German",13,"SSS",0.231,0.798171428571429
"German",14,"SSS",0.234,0.798471428571429
"German",15,"SSS",0.236,0.795904761904762
"German",16,"SSS",0.226,0.797504761904762
"German",17,"SSS",0.238,0.796219047619048
"German",18,"SSS",0.233,0.799942857142857
"German",19,"SSS",0.23,0.7971
"German",20,"SSS",0.232,0.797547619047619
"German",21,"SSS",0.236,0.799671428571429
"German",22,"SSS",0.232,0.800947619047619
"German",23,"SSS",0.233,0.795509523809524
"German",24,"SSS",0.229,0.797338095238095
"German",25,"SSS",0.238,0.79727619047619
"German",26,"SSS",0.233,0.794166666666667
"German",27,"SSS",0.231,0.799519047619048
"German",28,"SSS",0.231,0.793942857142857
"German",29,"SSS",0.236,0.79627619047619
"German",30,"SSS",0.233,0.797647619047619
"German",31,"SSS",0.227,0.795328571428571
"German",32,"SSS",0.237,0.796685714285714
"German",33,"SSS",0.233,0.797490476190476
"German",34,"SSS",0.235,0.796976190476191
"German",35,"SSS",0.232,0.797404761904762
"German",36,"SSS",0.228,0.797504761904762
"German",37,"SSS",0.23,0.796647619047619
"German",38,"SSS",0.229,0.796380952380952
"German",39,"SSS",0.233,0.799404761904762
"German",40,"SSS",0.234,0.795828571428571
"German",41,"SSS",0.239,0.798795238095238
"German",42,"SSS",0.229,0.798814285714286
"German",43,"SSS",0.234,0.795914285714286
"German",44,"SSS",0.233,0.797161904761905
"German",45,"SSS",0.226,0.799480952380952
"German",46,"SSS",0.234,0.796709523809524
"German",47,"SSS",0.233,0.797895238095238
"German",48,"SSS",0.233,0.798938095238095
"German",49,"SSS",0.225,0.797833333333333
"German",50,"SSS",0.234,0.797652380952381
"German",1,"ER",0.241,0.80107619047619
"German",2,"ER",0.246,0.800466666666667
"German",3,"ER",0.247,0.797714285714286
"German",4,"ER",0.247,0.797885714285714
"German",5,"ER",0.245,0.795771428571429
"German",6,"ER",0.247,0.7953
"German",7,"ER",0.249,0.794695238095238
"German",8,"ER",0.251,0.793238095238095
"German",9,"ER",0.25,0.798138095238095
"German",10,"ER",0.25,0.800228571428571
"German",11,"ER",0.248,0.797823809523809
"German",12,"ER",0.256,0.797080952380952
"German",13,"ER",0.247,0.799309523809524
"German",14,"ER",0.247,0.797333333333333
"German",15,"ER",0.243,0.795757142857143
"German",16,"ER",0.247,0.799019047619048
"German",17,"ER",0.247,0.796738095238095
"German",18,"ER",0.249,0.799404761904762
"German",19,"ER",0.248,0.798671428571429
"German",20,"ER",0.249,0.794561904761905
