"dataset","sim","method","mse"
"Housing",1,"RF",10.1985239727284
"Housing",2,"RF",9.68341415698849
"Housing",3,"RF",10.3425849029284
"Housing",4,"RF",9.35242089387459
"Housing",5,"RF",9.69285416877572
"Housing",6,"RF",9.7702784292026
"Housing",7,"RF",10.3137247884888
"Housing",8,"RF",9.39370096353698
"Housing",9,"RF",9.79588751594652
"Housing",10,"RF",10.6316473172838
"Housing",11,"RF",10.2453808038088
"Housing",12,"RF",10.0167402153143
"Housing",13,"RF",10.4342528436151
"Housing",14,"RF",10.0773322208122
"Housing",15,"RF",10.156355911527
"Housing",16,"RF",9.5911898936538
"Housing",17,"RF",9.94457243383874
"Housing",18,"RF",10.4065691933978
"Housing",19,"RF",10.1841290560687
"Housing",20,"RF",10.3952084430298
"Housing",21,"RF",10.3932927218578
"Housing",22,"RF",10.8956644450558
"Housing",23,"RF",10.4238898279827
"Housing",24,"RF",9.53150810711006
"Housing",25,"RF",10.6342837298265
"Housing",26,"RF",10.4076462349606
"Housing",27,"RF",10.4248602440882
"Housing",28,"RF",10.0670597524154
"Housing",29,"RF",10.3273921168168
"Housing",30,"RF",10.1011259092933
"Housing",31,"RF",9.73786823810296
"Housing",32,"RF",9.62631271715408
"Housing",33,"RF",10.0884660144738
"Housing",34,"RF",9.77192389221529
"Housing",35,"RF",10.3589271117401
"Housing",36,"RF",10.106768365464
"Housing",37,"RF",10.349727471119
"Housing",38,"RF",10.2593270441693
"Housing",39,"RF",10.1082799912935
"Housing",40,"RF",9.3697727335224
"Housing",41,"RF",9.76518557345482
"Housing",42,"RF",9.5157024054389
"Housing",43,"RF",9.65553365769744
"Housing",44,"RF",10.7414032694725
"Housing",45,"RF",10.8090779308261
"Housing",46,"RF",9.98567678856646
"Housing",47,"RF",10.5405999072307
"Housing",48,"RF",9.7255479599674
"Housing",49,"RF",10.0593468044556
"Housing",50,"RF",10.015066526898
"Housing",1,"SSS",9.83693792110106
"Housing",2,"SSS",10.28798518083
"Housing",3,"SSS",10.8311407477112
"Housing",4,"SSS",9.6609942143604
"Housing",5,"SSS",10.607218239769
"Housing",6,"SSS",9.92291508566348
"Housing",7,"SSS",10.5530752544454
"Housing",8,"SSS",10.5176804362377
"Housing",9,"SSS",10.0494538264912
"Housing",10,"SSS",11.0830779263658
"Housing",11,"SSS",10.1196087055182
"Housing",12,"SSS",9.52650762413834
"Housing",13,"SSS",10.262222459532
"Housing",14,"SSS",10.2832617115435
"Housing",15,"SSS",9.98707099691484
"Housing",16,"SSS",9.79730137514025
"Housing",17,"SSS",9.85098653715912
"Housing",18,"SSS",9.78861383156144
"Housing",19,"SSS",10.7110540990062
"Housing",20,"SSS",10.0737776802011
"Housing",21,"SSS",10.323578259881
"Housing",22,"SSS",10.5636848890564
"Housing",23,"SSS",10.496858377357
"Housing",24,"SSS",10.3743190497518
"Housing",25,"SSS",9.38975125653366
"Housing",26,"SSS",9.40393075190882
"Housing",27,"SSS",9.94875994962803
"Housing",28,"SSS",10.844977996277
"Housing",29,"SSS",9.69470829235767
"Housing",30,"SSS",9.70331145794733
"Housing",31,"SSS",10.4834313172553
"Housing",32,"SSS",10.0877926481168
"Housing",33,"SSS",10.3570434954408
"Housing",34,"SSS",9.95472144723112
"Housing",35,"SSS",10.1445428246954
"Housing",36,"SSS",9.71825953623037
"Housing",37,"SSS",9.81945534780758
"Housing",38,"SSS",10.3819571006593
"Housing",39,"SSS",11.1098253286709
"Housing",40,"SSS",10.4199228965043
"Housing",41,"SSS",9.81092008687969
"Housing",42,"SSS",10.6172582728804
"Housing",43,"SSS",9.85647423046102
"Housing",44,"SSS",9.63463313870147
"Housing",45,"SSS",10.2941454796093
