"dataset","sim","method","mse"
"Imports85",1,"RF",3870208.60757971
"Imports85",2,"RF",4352396.23820546
"Imports85",3,"RF",4148158.84025345
"Imports85",4,"RF",4107370.96114137
"Imports85",5,"RF",4367917.78949429
"Imports85",6,"RF",4362602.68478326
"Imports85",7,"RF",4222664.61793109
"Imports85",8,"RF",4396567.98418464
"Imports85",9,"RF",4257676.24579397
"Imports85",10,"RF",4193020.31720641
"Imports85",11,"RF",3920444.86197994
"Imports85",12,"RF",3952511.60227399
"Imports85",13,"RF",4211098.8226523
"Imports85",14,"RF",4159778.54617943
"Imports85",15,"RF",4001349.02206343
"Imports85",16,"RF",4237642.51735174
"Imports85",17,"RF",4151122.20965775
"Imports85",18,"RF",4102564.5679483
"Imports85",19,"RF",4204120.73241061
"Imports85",20,"RF",4133768.82471228
"Imports85",21,"RF",4046882.3114405
"Imports85",22,"RF",4252698.42256614
"Imports85",23,"RF",4272914.09047278
"Imports85",24,"RF",3950111.95392478
"Imports85",25,"RF",4283517.64291639
"Imports85",26,"RF",4234898.2335502
"Imports85",27,"RF",4237817.28776638
"Imports85",28,"RF",4251573.45839433
"Imports85",29,"RF",4323886.98313881
"Imports85",30,"RF",4521707.946072
"Imports85",31,"RF",4345819.6836082
"Imports85",32,"RF",4260246.08265644
"Imports85",33,"RF",4028291.41114038
"Imports85",34,"RF",3897619.88791316
"Imports85",35,"RF",3946088.67676585
"Imports85",36,"RF",4079206.67605607
"Imports85",37,"RF",4156027.67963317
"Imports85",38,"RF",4205205.75825551
"Imports85",39,"RF",4289020.01998429
"Imports85",40,"RF",4108311.7455445
"Imports85",41,"RF",4465329.80154096
"Imports85",42,"RF",4321277.80304014
"Imports85",43,"RF",4013265.29612311
"Imports85",44,"RF",4190641.10142817
"Imports85",45,"RF",4392236.96897857
"Imports85",46,"RF",3958241.90159352
"Imports85",47,"RF",4193802.14523148
"Imports85",48,"RF",4210541.11179301
"Imports85",49,"RF",3888008.14708858
"Imports85",50,"RF",4131535.04955926
"Imports85",1,"SSS",4168268.2870649
"Imports85",2,"SSS",4355030.51689101
"Imports85",3,"SSS",4531822.36923194
"Imports85",4,"SSS",4178495.77986714
"Imports85",5,"SSS",4218199.84168575
"Imports85",6,"SSS",4065648.43333202
"Imports85",7,"SSS",4340007.17074819
"Imports85",8,"SSS",4426609.79804867
"Imports85",9,"SSS",4090938.20664547
"Imports85",10,"SSS",4096555.51774662
"Imports85",11,"SSS",3977500.18070025
"Imports85",12,"SSS",4396592.45344049
"Imports85",13,"SSS",4294897.93116583
"Imports85",14,"SSS",4314198.51518625
"Imports85",15,"SSS",4632733.20580496
"Imports85",16,"SSS",4216524.44998981
"Imports85",17,"SSS",4121880.26748685
"Imports85",18,"SSS",4555775.85206441
"Imports85",19,"SSS",4209330.40434145
"Imports85",20,"SSS",4144764.45678642
"Imports85",21,"SSS",4329655.79643789
"Imports85",22,"SSS",4229871.27692263
"Imports85",23,"SSS",4340790.60280593
"Imports85",24,"SSS",4268628.63768133
