"dataset","sim","method","misclass","auc"
"Liver",1,"RF",0.249275362318841,0.778379310344828
"Liver",2,"RF",0.257971014492754,0.780068965517241
"Liver",3,"RF",0.255072463768116,0.782586206896552
"Liver",4,"RF",0.255072463768116,0.787275862068965
"Liver",5,"RF",0.263768115942029,0.778793103448276
"Liver",6,"RF",0.266666666666667,0.779793103448276
"Liver",7,"RF",0.249275362318841,0.778068965517241
"Liver",8,"RF",0.255072463768116,0.783620689655172
"Liver",9,"RF",0.257971014492754,0.776206896551724
"Liver",10,"RF",0.252173913043478,0.778137931034483
"Liver",11,"RF",0.257971014492754,0.784827586206897
"Liver",12,"RF",0.249275362318841,0.781206896551724
"Liver",13,"RF",0.260869565217391,0.775931034482759
"Liver",14,"RF",0.249275362318841,0.783896551724138
"Liver",15,"RF",0.257971014492754,0.778413793103448
"Liver",16,"RF",0.252173913043478,0.776379310344828
"Liver",17,"RF",0.252173913043478,0.780172413793103
"Liver",18,"RF",0.243478260869565,0.77548275862069
"Liver",19,"RF",0.255072463768116,0.782620689655172
"Liver",20,"RF",0.263768115942029,0.773689655172414
"Liver",21,"RF",0.255072463768116,0.773655172413793
"Liver",22,"RF",0.243478260869565,0.774068965517241
"Liver",23,"RF",0.249275362318841,0.778137931034483
"Liver",24,"RF",0.255072463768116,0.779793103448276
"Liver",25,"RF",0.246376811594203,0.781689655172414
"Liver",26,"RF",0.255072463768116,0.785448275862069
"Liver",27,"RF",0.255072463768116,0.774965517241379
"Liver",28,"RF",0.257971014492754,0.775931034482759
"Liver",29,"RF",0.243478260869565,0.778
"Liver",30,"RF",0.249275362318841,0.777724137931034
"Liver",31,"RF",0.249275362318841,0.78451724137931
"Liver",32,"RF",0.249275362318841,0.776620689655172
"Liver",33,"RF",0.252173913043478,0.777724137931034
"Liver",34,"RF",0.249275362318841,0.783965517241379
"Liver",35,"RF",0.255072463768116,0.780241379310345
"Liver",36,"RF",0.246376811594203,0.779448275862069
"Liver",37,"RF",0.243478260869565,0.776413793103448
"Liver",38,"RF",0.252173913043478,0.773103448275862
"Liver",39,"RF",0.252173913043478,0.778827586206897
"Liver",40,"RF",0.249275362318841,0.780724137931034
"Liver",41,"RF",0.257971014492754,0.779103448275862
"Liver",42,"RF",0.243478260869565,0.771620689655172
"Liver",43,"RF",0.255072463768116,0.781206896551724
"Liver",44,"RF",0.255072463768116,0.779793103448276
"Liver",45,"RF",0.257971014492754,0.781862068965517
"Liver",46,"RF",0.246376811594203,0.778655172413793
"Liver",47,"RF",0.255072463768116,0.779689655172414
"Liver",48,"RF",0.263768115942029,0.777137931034483
"Liver",49,"RF",0.252173913043478,0.783103448275862
"Liver",50,"RF",0.246376811594203,0.780758620689655
"Liver",1,"SSS",0.255072463768116,0.776586206896552
"Liver",2,"SSS",0.243478260869565,0.781413793103448
"Liver",3,"SSS",0.260869565217391,0.776862068965517
"Liver",4,"SSS",0.263768115942029,0.778827586206897
"Liver",5,"SSS",0.255072463768116,0.776103448275862
"Liver",6,"SSS",0.252173913043478,0.779793103448276
"Liver",7,"SSS",0.257971014492754,0.775
"Liver",8,"SSS",0.266666666666667,0.775655172413793
"Liver",9,"SSS",0.252173913043478,0.778965517241379
"Liver",10,"SSS",0.249275362318841,0.779448275862069
"Liver",11,"SSS",0.255072463768116,0.779706896551724
"Liver",12,"SSS",0.255072463768116,0.777758620689655
"Liver",13,"SSS",0.257971014492754,0.777689655172414
"Liver",14,"SSS",0.260869565217391,0.774931034482759
"Liver",15,"SSS",0.269565217391304,0.776275862068965
"Liver",16,"SSS",0.255072463768116,0.782103448275862
"Liver",17,"SSS",0.249275362318841,0.77651724137931
"Liver",18,"SSS",0.257971014492754,0.781793103448276
"Liver",19,"SSS",0.246376811594203,0.777689655172414
"Liver",20,"SSS",0.263768115942029,0.778241379310345
"Liver",21,"SSS",0.249275362318841,0.778689655172414
"Liver",22,"SSS",0.255072463768116,0.778293103448276
"Liver",23,"SSS",0.255072463768116,0.778620689655172
"Liver",24,"SSS",0.252173913043478,0.778724137931034
"Liver",25,"SSS",0.255072463768116,0.780965517241379
"Liver",26,"SSS",0.252173913043478,0.780206896551724
"Liver",27,"SSS",0.255072463768116,0.777793103448276
"Liver",28,"SSS",0.252173913043478,0.782137931034483
"Liver",29,"SSS",0.255072463768116,0.781206896551724
"Liver",30,"SSS",0.246376811594203,0.779827586206897
"Liver",31,"SSS",0.257971014492754,0.781551724137931
"Liver",32,"SSS",0.252173913043478,0.77948275862069
"Liver",33,"SSS",0.252173913043478,0.781620689655172
"Liver",34,"SSS",0.257971014492754,0.776206896551724
"Liver",35,"SSS",0.263768115942029,0.779551724137931
"Liver",36,"SSS",0.260869565217391,0.778
"Liver",37,"SSS",0.249275362318841,0.78151724137931
"Liver",38,"SSS",0.263768115942029,0.778
"Liver",39,"SSS",0.257971014492754,0.781793103448276
"Liver",40,"SSS",0.252173913043478,0.779172413793103
"Liver",41,"SSS",0.249275362318841,0.78148275862069
"Liver",42,"SSS",0.252173913043478,0.77548275862069
"Liver",43,"SSS",0.263768115942029,0.782931034482759
"Liver",44,"SSS",0.240579710144928,0.782172413793103
"Liver",45,"SSS",0.266666666666667,0.781344827586207
"Liver",46,"SSS",0.255072463768116,0.781965517241379
"Liver",47,"SSS",0.252173913043478,0.775689655172414
"Liver",48,"SSS",0.260869565217391,0.780241379310345
"Liver",49,"SSS",0.260869565217391,0.779172413793103
"Liver",50,"SSS",0.252173913043478,0.775310344827586
"Liver",1,"ER",0.272463768115942,0.788931034482759
"Liver",2,"ER",0.272463768115942,0.783137931034483
"Liver",3,"ER",0.255072463768116,0.790275862068965
"Liver",4,"ER",0.266666666666667,0.790793103448276
"Liver",5,"ER",0.269565217391304,0.788034482758621
"Liver",6,"ER",0.255072463768116,0.790793103448276
"Liver",7,"ER",0.266666666666667,0.785655172413793
"Liver",8,"ER",0.266666666666667,0.788
"Liver",9,"ER",0.266666666666667,0.783241379310345
"Liver",10,"ER",0.27536231884058,0.784862068965517
"Liver",11,"ER",0.272463768115942,0.786103448275862
"Liver",12,"ER",0.266666666666667,0.787465517241379
"Liver",13,"ER",0.266666666666667,0.787241379310345
"Liver",14,"ER",0.269565217391304,0.786724137931034
"Liver",15,"ER",0.266666666666667,0.782655172413793
"Liver",16,"ER",0.272463768115942,0.790931034482759
"Liver",17,"ER",0.263768115942029,0.786068965517241
"Liver",18,"ER",0.269565217391304,0.787396551724138
"Liver",19,"ER",0.260869565217391,0.793344827586207
"Liver",20,"ER",0.263768115942029,0.789344827586207
"Liver",21,"ER",0.260869565217391,0.787655172413793
"Liver",22,"ER",0.266666666666667,0.786931034482759
"Liver",23,"ER",0.278260869565217,0.787689655172414
"Liver",24,"ER",0.263768115942029,0.782724137931034
"Liver",25,"ER",0.266666666666667,0.791258620689655
"Liver",26,"ER",0.272463768115942,0.780862068965517
"Liver",27,"ER",0.272463768115942,0.788551724137931
"Liver",28,"ER",0.269565217391304,0.788620689655172
"Liver",29,"ER",0.269565217391304,0.789931034482759
"Liver",30,"ER",0.266666666666667,0.789551724137931
"Liver",31,"ER",0.260869565217391,0.786620689655172
"Liver",32,"ER",0.266666666666667,0.790689655172414
"Liver",33,"ER",0.266666666666667,0.783931034482759
"Liver",34,"ER",0.272463768115942,0.783103448275862
"Liver",35,"ER",0.266666666666667,0.785965517241379
"Liver",36,"ER",0.272463768115942,0.784086206896552
"Liver",37,"ER",0.266666666666667,0.783758620689655
"Liver",38,"ER",0.269565217391304,0.788931034482759
"Liver",39,"ER",0.27536231884058,0.790758620689655
"Liver",40,"ER",0.272463768115942,0.782344827586207
"Liver",41,"ER",0.269565217391304,0.781931034482759
"Liver",42,"ER",0.27536231884058,0.788310344827586
"Liver",43,"ER",0.255072463768116,0.780931034482759
"Liver",44,"ER",0.269565217391304,0.793137931034483
"Liver",45,"ER",0.272463768115942,0.78348275862069
"Liver",46,"ER",0.255072463768116,0.790413793103448
"Liver",47,"ER",0.272463768115942,0.786172413793103
"Liver",48,"ER",0.263768115942029,0.787655172413793
"Liver",49,"ER",0.263768115942029,0.785310344827586
"Liver",50,"ER",0.272463768115942,0.792172413793103
"Liver",1,"AR",0.295652173913043,0.75451724137931
"Liver",2,"AR",0.298550724637681,0.749931034482759
"Liver",3,"AR",0.298550724637681,0.749655172413793
"Liver",4,"AR",0.295652173913043,0.753379310344828
"Liver",5,"AR",0.298550724637681,0.754379310344828
"Liver",6,"AR",0.284057971014493,0.755241379310345
"Liver",7,"AR",0.298550724637681,0.753689655172414
"Liver",8,"AR",0.292753623188406,0.755310344827586
"Liver",9,"AR",0.298550724637681,0.75251724137931
"Liver",10,"AR",0.292753623188406,0.750758620689655
"Liver",11,"AR",0.284057971014493,0.756413793103448
