"dataset","sim","method","misclass","auc"
"Ringnorm",1,"RF",0.0563636363636364,0.991144903581267
"Ringnorm",2,"RF",0.0548484848484848,0.990712213039486
"Ringnorm",3,"RF",0.0545454545454545,0.991271625344353
"Ringnorm",4,"RF",0.0533333333333333,0.991260973370064
"Ringnorm",5,"RF",0.0533333333333333,0.991353168044077
"Ringnorm",6,"RF",0.053030303030303,0.991105968778696
"Ringnorm",7,"RF",0.0536363636363636,0.991159595959596
"Ringnorm",8,"RF",0.0524242424242424,0.991213223140496
"Ringnorm",9,"RF",0.0542424242424242,0.99134839302112
"Ringnorm",10,"RF",0.0518181818181818,0.99127015610652
"Ringnorm",11,"RF",0.0542424242424242,0.991228650137741
"Ringnorm",12,"RF",0.0551515151515152,0.991057483930211
"Ringnorm",13,"RF",0.0542424242424242,0.991351698806244
"Ringnorm",14,"RF",0.0566666666666667,0.990959412304867
"Ringnorm",15,"RF",0.0545454545454545,0.991202571166207
"Ringnorm",16,"RF",0.0548484848484848,0.991596326905418
"Ringnorm",17,"RF",0.0545454545454545,0.991324885215794
"Ringnorm",18,"RF",0.0557575757575758,0.991031404958678
"Ringnorm",19,"RF",0.0554545454545455,0.99115261707989
"Ringnorm",20,"RF",0.0545454545454545,0.991320110192838
"Ringnorm",21,"RF",0.0566666666666667,0.991115886134068
"Ringnorm",22,"RF",0.0533333333333333,0.991249586776859
"Ringnorm",23,"RF",0.0542424242424242,0.99100826446281
"Ringnorm",24,"RF",0.0545454545454545,0.991467768595041
"Ringnorm",25,"RF",0.0536363636363636,0.99137520661157
"Ringnorm",26,"RF",0.0539393939393939,0.991381818181818
"Ringnorm",27,"RF",0.0551515151515152,0.991163636363636
"Ringnorm",28,"RF",0.053030303030303,0.991170247933884
"Ringnorm",29,"RF",0.0551515151515152,0.9910927456382
"Ringnorm",30,"RF",0.0551515151515152,0.991336639118457
"Ringnorm",31,"RF",0.053030303030303,0.9914391184573
"Ringnorm",32,"RF",0.0527272727272727,0.991342883379247
"Ringnorm",33,"RF",0.0542424242424242,0.991591184573003
"Ringnorm",34,"RF",0.0536363636363636,0.991524334251607
"Ringnorm",35,"RF",0.0551515151515152,0.99122056932966
"Ringnorm",36,"RF",0.0539393939393939,0.991262442607897
"Ringnorm",37,"RF",0.0551515151515152,0.990984022038568
"Ringnorm",38,"RF",0.0542424242424242,0.991404591368228
"Ringnorm",39,"RF",0.0545454545454545,0.991665013774105
"Ringnorm",40,"RF",0.0539393939393939,0.991180532598714
"Ringnorm",41,"RF",0.0542424242424242,0.991234894398531
"Ringnorm",42,"RF",0.0533333333333333,0.991343617998163
"Ringnorm",43,"RF",0.0527272727272727,0.991349862258953
"Ringnorm",44,"RF",0.0536363636363636,0.991022956841139
"Ringnorm",45,"RF",0.0548484848484848,0.991141597796143
"Ringnorm",46,"RF",0.0524242424242424,0.991364187327824
"Ringnorm",47,"RF",0.056969696969697,0.991058218549128
"Ringnorm",48,"RF",0.0536363636363636,0.991052708907254
"Ringnorm",49,"RF",0.0518181818181818,0.991777043158861
"Ringnorm",50,"RF",0.0536363636363636,0.991116620752984
"Ringnorm",1,"SSS",0.0518181818181818,0.991470339761249
"Ringnorm",2,"SSS",0.0518181818181818,0.991367125803489
"Ringnorm",3,"SSS",0.0518181818181818,0.991594857667585
"Ringnorm",4,"SSS",0.0518181818181818,0.991568411386593
"Ringnorm",5,"SSS",0.0512121212121212,0.99174435261708
"Ringnorm",6,"SSS",0.0515151515151515,0.991695500459137
"Ringnorm",7,"SSS",0.0506060606060606,0.991289256198347
"Ringnorm",8,"SSS",0.0509090909090909,0.99147217630854
"Ringnorm",9,"SSS",0.0512121212121212,0.99164113865932
"Ringnorm",10,"SSS",0.0503030303030303,0.991564003673095
"Ringnorm",11,"SSS",0.0518181818181818,0.991575022956841
"Ringnorm",12,"SSS",0.0512121212121212,0.991514784205693
"Ringnorm",13,"SSS",0.0512121212121212,0.991867768595041
"Ringnorm",14,"SSS",0.0512121212121212,0.991609182736455
"Ringnorm",15,"SSS",0.0515151515151515,0.991755004591368
"Ringnorm",16,"SSS",0.0518181818181818,0.991354269972452
"Ringnorm",17,"SSS",0.0524242424242424,0.991411570247934
"Ringnorm",18,"SSS",0.0484848484848485,0.991821487603306
"Ringnorm",19,"SSS",0.0518181818181818,0.991694398530762
"Ringnorm",20,"SSS",0.0509090909090909,0.9914927456382
"Ringnorm",21,"SSS",0.0527272727272727,0.991624977043159
"Ringnorm",22,"SSS",0.0509090909090909,0.991619467401286
"Ringnorm",23,"SSS",0.0509090909090909,0.991444995408632
"Ringnorm",24,"SSS",0.0506060606060606,0.991689256198347
"Ringnorm",25,"SSS",0.0493939393939394,0.991558861340679
"Ringnorm",26,"SSS",0.0506060606060606,0.991497887970615
"Ringnorm",27,"SSS",0.0518181818181818,0.991555555555556
"Ringnorm",28,"SSS",0.0506060606060606,0.991470707070707
"Ringnorm",29,"SSS",0.0518181818181818,0.991659504132231
"Ringnorm",30,"SSS",0.0515151515151515,0.991301377410468
"Ringnorm",31,"SSS",0.0524242424242424,0.991431037649219
"Ringnorm",32,"SSS",0.0518181818181818,0.991823691460055
"Ringnorm",33,"SSS",0.0506060606060606,0.99161652892562
"Ringnorm",34,"SSS",0.0512121212121212,0.991420018365473
"Ringnorm",35,"SSS",0.0509090909090909,0.991705417814509
"Ringnorm",36,"SSS",0.0503030303030303,0.991475482093664
"Ringnorm",37,"SSS",0.0496969696969697,0.991418916437098
"Ringnorm",38,"SSS",0.0503030303030303,0.991708723599633
"Ringnorm",39,"SSS",0.0515151515151515,0.991575390266299
"Ringnorm",40,"SSS",0.0509090909090909,0.991373737373737
"Ringnorm",41,"SSS",0.0493939393939394,0.991464095500459
"Ringnorm",42,"SSS",0.0509090909090909,0.991707621671258
"Ringnorm",43,"SSS",0.053030303030303,0.99155665748393
"Ringnorm",44,"SSS",0.0496969696969697,0.991533149678604
"Ringnorm",45,"SSS",0.0518181818181818,0.991442424242424
"Ringnorm",46,"SSS",0.0515151515151515,0.991653994490358
"Ringnorm",47,"SSS",0.0503030303030303,0.991573553719008
"Ringnorm",48,"SSS",0.0521212121212121,0.991823324150597
"Ringnorm",49,"SSS",0.0515151515151515,0.991407162534435
"Ringnorm",50,"SSS",0.0506060606060606,0.991489807162534
"Ringnorm",1,"ER",0.0327272727272727,0.995846464646465
"Ringnorm",2,"ER",0.0360606060606061,0.995689256198347
"Ringnorm",3,"ER",0.0315151515151515,0.995847566574839
"Ringnorm",4,"ER",0.0309090909090909,0.995947107438017
"Ringnorm",5,"ER",0.0333333333333333,0.995823691460055
"Ringnorm",6,"ER",0.0318181818181818,0.995727456382002
"Ringnorm",7,"ER",0.0342424242424242,0.995557759412305
"Ringnorm",8,"ER",0.0342424242424242,0.995789898989899
"Ringnorm",9,"ER",0.0318181818181818,0.995916437098255
"Ringnorm",10,"ER",0.0339393939393939,0.995909641873278
"Ringnorm",11,"ER",0.0315151515151515,0.996217263544536
"Ringnorm",12,"ER",0.0324242424242424,0.995627180899908
"Ringnorm",13,"ER",0.0306060606060606,0.996088337924702
"Ringnorm",14,"ER",0.0327272727272727,0.996046464646465
"Ringnorm",15,"ER",0.0324242424242424,0.995995041322314
"Ringnorm",16,"ER",0.0312121212121212,0.995769696969697
"Ringnorm",17,"ER",0.0333333333333333,0.995750229568411
"Ringnorm",18,"ER",0.0309090909090909,0.995889072543618
"Ringnorm",19,"ER",0.0318181818181818,0.996034894398531
"Ringnorm",20,"ER",0.0336363636363636,0.995959044995409
"Ringnorm",21,"ER",0.0333333333333333,0.995845730027548
"Ringnorm",22,"ER",0.0318181818181818,0.995786960514233
"Ringnorm",23,"ER",0.0324242424242424,0.996006611570248
"Ringnorm",24,"ER",0.0315151515151515,0.995924334251607
"Ringnorm",25,"ER",0.033030303030303,0.99560624426079
"Ringnorm",26,"ER",0.0342424242424242,0.99563305785124
"Ringnorm",27,"ER",0.0327272727272727,0.995710376492195
"Ringnorm",28,"ER",0.0324242424242424,0.996016712580349
"Ringnorm",29,"ER",0.0318181818181818,0.995839853076217
"Ringnorm",30,"ER",0.033030303030303,0.995917722681359
"Ringnorm",31,"ER",0.0333333333333333,0.996042975206612
"Ringnorm",32,"ER",0.0336363636363636,0.995765656565657
"Ringnorm",33,"ER",0.0327272727272727,0.995964003673095
"Ringnorm",34,"ER",0.0303030303030303,0.996016161616162
"Ringnorm",35,"ER",0.0336363636363636,0.995865197428834
"Ringnorm",36,"ER",0.0321212121212121,0.995788797061524
"Ringnorm",37,"ER",0.0312121212121212,0.995564003673095
"Ringnorm",38,"ER",0.0339393939393939,0.995538292011019
"Ringnorm",39,"ER",0.0321212121212121,0.995602203856749
"Ringnorm",40,"ER",0.0336363636363636,0.995762350780533
"Ringnorm",41,"ER",0.033030303030303,0.995958494031221
"Ringnorm",42,"ER",0.0333333333333333,0.995538292011019
"Ringnorm",43,"ER",0.0348484848484849,0.995584205693297
"Ringnorm",44,"ER",0.0318181818181818,0.995914049586777
"Ringnorm",45,"ER",0.0290909090909091,0.995823324150597
"Ringnorm",46,"ER",0.0324242424242424,0.995958494031221
"Ringnorm",47,"ER",0.0318181818181818,0.995974655647383
"Ringnorm",48,"ER",0.0315151515151515,0.995980165289256
"Ringnorm",49,"ER",0.0303030303030303,0.995697704315886
"Ringnorm",50,"ER",0.0312121212121212,0.995964003673095
"Ringnorm",1,"AR",0.0293939393939394,0.996141414141414
"Ringnorm",2,"AR",0.0284848484848485,0.996092194674013
"Ringnorm",3,"AR",0.0293939393939394,0.996185858585859
"Ringnorm",4,"AR",0.03,0.995965472910927
"Ringnorm",5,"AR",0.0315151515151515,0.996399632690542
"Ringnorm",6,"AR",0.0312121212121212,0.996301928374656
"Ringnorm",7,"AR",0.0296969696969697,0.995880257116621
