"dataset","sim","method","mse"
"Servo",1,"RF",52.4539986696805
"Servo",2,"RF",52.7473782006095
"Servo",3,"RF",52.333580726172
"Servo",4,"RF",53.5764925326025
"Servo",5,"RF",55.3539174982653
"Servo",6,"RF",54.9276493919582
"Servo",7,"RF",50.5228465059249
"Servo",8,"RF",51.8694834930713
"Servo",9,"RF",51.0766216231619
"Servo",10,"RF",54.8272297154279
"Servo",11,"RF",56.6213157344906
"Servo",12,"RF",55.212787120099
"Servo",13,"RF",46.937810136024
"Servo",14,"RF",46.7326598953111
"Servo",15,"RF",53.4664083182894
"Servo",16,"RF",51.0166890829424
"Servo",17,"RF",55.9009787718502
"Servo",18,"RF",55.1876447356497
"Servo",19,"RF",53.0667271450088
"Servo",20,"RF",56.9094795178952
"Servo",21,"RF",56.8908605021967
"Servo",22,"RF",49.4025618426012
"Servo",23,"RF",51.7088060819505
"Servo",24,"RF",52.5418688126584
"Servo",25,"RF",58.7989539258432
"Servo",26,"RF",56.9352779949397
"Servo",27,"RF",50.6753107906018
"Servo",28,"RF",54.6315544950682
"Servo",29,"RF",53.3315490462964
"Servo",30,"RF",53.095211119922
"Servo",31,"RF",47.6186292985904
"Servo",32,"RF",52.12234847226
"Servo",33,"RF",54.395100669587
"Servo",34,"RF",51.2862631669515
"Servo",35,"RF",56.3489094959096
"Servo",36,"RF",53.0909591638363
"Servo",37,"RF",56.605337052267
"Servo",38,"RF",50.2580424088248
"Servo",39,"RF",54.7938075964298
"Servo",40,"RF",48.9531713699438
"Servo",41,"RF",52.1767432314392
"Servo",42,"RF",49.3314227116255
"Servo",43,"RF",52.7952361250199
"Servo",44,"RF",53.3214677342807
"Servo",45,"RF",54.0565042586841
"Servo",46,"RF",53.7141527830734
"Servo",47,"RF",56.0218840912859
"Servo",48,"RF",54.0719728504673
"Servo",49,"RF",55.1008985611952
"Servo",50,"RF",50.9199746352455
"Servo",1,"SSS",49.1994123155933
"Servo",2,"SSS",53.219824859748
"Servo",3,"SSS",49.2124646215714
"Servo",4,"SSS",55.4753546794783
"Servo",5,"SSS",55.8401512593526
"Servo",6,"SSS",55.2295123272772
"Servo",7,"SSS",54.3371843350051
"Servo",8,"SSS",56.1551268621765
"Servo",9,"SSS",51.4296702575836
"Servo",10,"SSS",54.8515649665965
"Servo",11,"SSS",55.7483385756496
"Servo",12,"SSS",55.9555145086005
"Servo",13,"SSS",49.9723304781847
"Servo",14,"SSS",48.3638781135143
"Servo",15,"SSS",51.8850073624196
"Servo",16,"SSS",54.9828979664146
"Servo",17,"SSS",58.0227498651118
"Servo",18,"SSS",58.1905237048517
"Servo",19,"SSS",56.7565007812391
"Servo",20,"SSS",57.1489674980063
"Servo",21,"SSS",54.1817547852362
"Servo",22,"SSS",48.8015444453358
"Servo",23,"SSS",55.2277581274876
"Servo",24,"SSS",54.1574341501642
"Servo",25,"SSS",53.9512226498953
"Servo",26,"SSS",56.0255253585335
"Servo",27,"SSS",51.6840512573053
"Servo",28,"SSS",53.228347659442
"Servo",29,"SSS",52.8050794874321
"Servo",30,"SSS",51.7723083134776
"Servo",31,"SSS",50.2367461576068
"Servo",32,"SSS",52.8511958309421
"Servo",33,"SSS",56.2678734906196
"Servo",34,"SSS",53.3579869211068
"Servo",35,"SSS",53.5581181412494
"Servo",36,"SSS",55.0737999704543
"Servo",37,"SSS",56.5635554009803
"Servo",38,"SSS",50.3771215525499
"Servo",39,"SSS",59.4620478816798
"Servo",40,"SSS",48.7262445910676
"Servo",41,"SSS",52.1979395984398
"Servo",42,"SSS",49.4947133077528
"Servo",43,"SSS",52.4104109857802
"Servo",44,"SSS",56.1080259173562
"Servo",45,"SSS",53.3620599067533
"Servo",46,"SSS",52.4684108339529
"Servo",47,"SSS",51.9184633364303
"Servo",48,"SSS",54.7005388781207
"Servo",49,"SSS",56.2101570835333
"Servo",50,"SSS",49.7576430934173
"Servo",1,"ER",82.6606768029173
"Servo",2,"ER",78.2349300559047
"Servo",3,"ER",71.5623017874274
"Servo",4,"ER",77.4860329207043
"Servo",5,"ER",80.542153691744
"Servo",6,"ER",81.6332503386301
"Servo",7,"ER",75.2932581195351
"Servo",8,"ER",74.5716478536421
"Servo",9,"ER",72.1038484666808
"Servo",10,"ER",74.5357274664777
"Servo",11,"ER",76.2605521660273
"Servo",12,"ER",83.4125597466783
"Servo",13,"ER",83.4746618095358
"Servo",14,"ER",85.2289781154562
"Servo",15,"ER",72.7535240043416
"Servo",16,"ER",86.9989004535578
"Servo",17,"ER",84.5604007922288
"Servo",18,"ER",81.2032031492878
"Servo",19,"ER",79.1573932331981
"Servo",20,"ER",76.9494246935189
"Servo",21,"ER",77.9140620918009
"Servo",22,"ER",76.4793533174653
"Servo",23,"ER",94.7364182898717
"Servo",24,"ER",87.6962707833667
"Servo",25,"ER",88.1244143104755
"Servo",26,"ER",81.8910059096268
"Servo",27,"ER",90.2069513157383
"Servo",28,"ER",81.9861278994577
"Servo",29,"ER",82.2598896588766
"Servo",30,"ER",82.4386901281214
"Servo",31,"ER",82.7027200512569
"Servo",32,"ER",85.7609438356475
"Servo",33,"ER",83.0322442764664
"Servo",34,"ER",74.6206888918437
