"dataset","sim","method","misclass","auc"
"Sonar",1,"RF",0.163461538461538,0.931178601281694
"Sonar",2,"RF",0.153846153846154,0.929971208321724
"Sonar",3,"RF",0.163461538461538,0.932664623386273
"Sonar",4,"RF",0.144230769230769,0.931178601281694
"Sonar",5,"RF",0.163461538461538,0.933779139964707
"Sonar",6,"RF",0.168269230769231,0.935079409306213
"Sonar",7,"RF",0.168269230769231,0.930992848518622
"Sonar",8,"RF",0.139423076923077,0.940559115816848
"Sonar",9,"RF",0.163461538461538,0.929228197269434
"Sonar",10,"RF",0.153846153846154,0.935636667595431
"Sonar",11,"RF",0.158653846153846,0.930807095755549
"Sonar",12,"RF",0.173076923076923,0.933872016346243
"Sonar",13,"RF",0.139423076923077,0.934986532924677
"Sonar",14,"RF",0.163461538461538,0.930249837466332
"Sonar",15,"RF",0.163461538461538,0.93637967864772
"Sonar",16,"RF",0.149038461538462,0.936751184173865
"Sonar",17,"RF",0.168269230769231,0.933964892727779
"Sonar",18,"RF",0.153846153846154,0.930249837466332
"Sonar",19,"RF",0.182692307692308,0.931085724900158
"Sonar",20,"RF",0.173076923076923,0.937029813318473
"Sonar",21,"RF",0.153846153846154,0.933407634438562
"Sonar",22,"RF",0.144230769230769,0.93322188167549
"Sonar",23,"RF",0.153846153846154,0.937215566081545
"Sonar",24,"RF",0.153846153846154,0.934800780161605
"Sonar",25,"RF",0.153846153846154,0.933407634438562
"Sonar",26,"RF",0.134615384615385,0.940373363053775
"Sonar",27,"RF",0.158653846153846,0.935636667595431
"Sonar",28,"RF",0.1875,0.924770130955698
"Sonar",29,"RF",0.153846153846154,0.936936936936937
"Sonar",30,"RF",0.163461538461538,0.932664623386273
"Sonar",31,"RF",0.173076923076923,0.931642983189375
"Sonar",32,"RF",0.144230769230769,0.935915296740039
"Sonar",33,"RF",0.163461538461538,0.932293117860128
"Sonar",34,"RF",0.158653846153846,0.931457230426303
"Sonar",35,"RF",0.163461538461538,0.932850376149345
"Sonar",36,"RF",0.163461538461538,0.929785455558651
"Sonar",37,"RF",0.163461538461538,0.932385994241664
"Sonar",38,"RF",0.177884615384615,0.928299433454073
"Sonar",39,"RF",0.163461538461538,0.935079409306213
"Sonar",40,"RF",0.163461538461538,0.932757499767809
"Sonar",41,"RF",0.158653846153846,0.932478870623201
"Sonar",42,"RF",0.168269230769231,0.927556422401783
"Sonar",43,"RF",0.168269230769231,0.935729543976967
"Sonar",44,"RF",0.153846153846154,0.931457230426303
"Sonar",45,"RF",0.153846153846154,0.937958577133835
"Sonar",46,"RF",0.173076923076923,0.933779139964707
"Sonar",47,"RF",0.163461538461538,0.93322188167549
"Sonar",48,"RF",0.153846153846154,0.937029813318473
"Sonar",49,"RF",0.163461538461538,0.93637967864772
"Sonar",50,"RF",0.158653846153846,0.928949568124826
"Sonar",1,"SSS",0.134615384615385,0.942881025355252
"Sonar",2,"SSS",0.153846153846154,0.94390266555215
"Sonar",3,"SSS",0.139423076923077,0.939630352001486
"Sonar",4,"SSS",0.168269230769231,0.935543791213894
"Sonar",5,"SSS",0.163461538461538,0.937401318844618
"Sonar",6,"SSS",0.144230769230769,0.939351722856878
"Sonar",7,"SSS",0.144230769230769,0.944459923841367
"Sonar",8,"SSS",0.153846153846154,0.941209250487601
"Sonar",9,"SSS",0.158653846153846,0.941116374106065
"Sonar",10,"SSS",0.144230769230769,0.943809789170614
"Sonar",11,"SSS",0.168269230769231,0.934615027398533
"Sonar",12,"SSS",0.163461538461538,0.941209250487601
"Sonar",13,"SSS",0.153846153846154,0.939073093712269
"Sonar",14,"SSS",0.149038461538462,0.942973901736788
"Sonar",15,"SSS",0.153846153846154,0.940373363053775
"Sonar",16,"SSS",0.144230769230769,0.944181294696759
