"dataset","sim","method","misclass","auc"
"Spambase",1,"ER",0.0530319495761791,0.985077287342096
"Spambase",2,"ER",0.0521625733536188,0.98495106678136
"Spambase",3,"ER",0.0525972614648989,0.985163148977455
"Spambase",4,"ER",0.0530319495761791,0.984972631109134
"Spambase",5,"ER",0.0536839817430993,0.98501734246764
"Spambase",6,"ER",0.0536839817430993,0.985033169497199
"Spambase",7,"ER",0.0523799174092589,0.985252176018726
"Spambase",8,"ER",0.0512931971310585,0.984923369479631
"Spambase",9,"ER",0.0530319495761791,0.985114283023691
"Spambase",10,"ER",0.0523799174092589,0.984827022437188
"Spambase",11,"ER",0.0530319495761791,0.985014177061728
"Spambase",12,"ER",0.0519452292979787,0.984926534885543
"Spambase",13,"ER",0.052814605520539,0.98514554140707
"Spambase",14,"ER",0.0512931971310585,0.985232194393908
"Spambase",15,"ER",0.0512931971310585,0.984892902447729
"Spambase",16,"ER",0.0512931971310585,0.985146134920679
"Spambase",17,"ER",0.0517278852423386,0.985175019249625
"Spambase",18,"ER",0.0515105411866985,0.985180163034232
"Spambase",19,"ER",0.052814605520539,0.984950077592012
"Spambase",20,"ER",0.052814605520539,0.985167897086323
"Spambase",21,"ER",0.0525972614648989,0.984978764083089
"Spambase",22,"ER",0.052814605520539,0.984867974876173
"Spambase",23,"ER",0.0523799174092589,0.985151080867416
"Spambase",24,"ER",0.0519452292979787,0.984936228941148
"Spambase",25,"ER",0.0521625733536188,0.985149300326591
"Spambase",26,"ER",0.0530319495761791,0.984864611632392
"Spambase",27,"ER",0.0515105411866985,0.985200540334789
"Spambase",28,"ER",0.0519452292979787,0.985092520858047
"Spambase",29,"ER",0.0543360139100196,0.985043259228543
"Spambase",30,"ER",0.0523799174092589,0.98507946355866
"Spambase",31,"ER",0.0521625733536188,0.984968872189614
"Spambase",32,"ER",0.0510758530754184,0.985297283052971
"Spambase",33,"ER",0.0523799174092589,0.984923962993239
"Spambase",34,"ER",0.0530319495761791,0.985104588968086
"Spambase",35,"ER",0.0521625733536188,0.985159390057935
"Spambase",36,"ER",0.052814605520539,0.984839288385097
"Spambase",37,"ER",0.052814605520539,0.985168688437801
"Spambase",38,"ER",0.0530319495761791,0.985059481933841
"Spambase",39,"ER",0.0506411649641382,0.984988458138694
"Spambase",40,"ER",0.0521625733536188,0.985168490599932
"Spambase",41,"ER",0.0521625733536188,0.985414798747449
"Spambase",42,"ER",0.0532492936318192,0.985095488426089
"Spambase",43,"ER",0.0532492936318192,0.985091927344438
"Spambase",44,"ER",0.0523799174092589,0.985135847351465
"Spambase",45,"ER",0.052814605520539,0.985106963022519
"Spambase",46,"ER",0.0525972614648989,0.98507966139653
"Spambase",47,"ER",0.0510758530754184,0.985079067882921
"Spambase",48,"ER",0.0523799174092589,0.985179173844884
"Spambase",49,"ER",0.0539013257987394,0.985179173844884
"Spambase",50,"ER",0.0534666376874592,0.985138518162703
"Spambase",1,"AR",0.052814605520539,0.983892436341709
"Spambase",2,"AR",0.0541186698543795,0.983682728200047
"Spambase",3,"AR",0.0547707020212997,0.98374801469698
"Spambase",4,"AR",0.0532492936318192,0.98388788607071
"Spambase",5,"AR",0.0534666376874592,0.983883335799712
"Spambase",6,"AR",0.0539013257987394,0.983533162770711
"Spambase",7,"AR",0.0543360139100196,0.983845944442378
"Spambase",8,"AR",0.0530319495761791,0.983694004958608
"Spambase",9,"AR",0.0534666376874592,0.983741486047286
"Spambase",10,"AR",0.0532492936318192,0.983792726055485
"Spambase",11,"AR",0.0539013257987394,0.983682530362178
"Spambase",12,"AR",0.0543360139100196,0.983717943340817
"Spambase",13,"AR",0.0530319495761791,0.983847527145334
"Spambase",14,"AR",0.0523799174092589,0.983709238474559
"Spambase",15,"AR",0.0530319495761791,0.983886896881363
"Spambase",16,"AR",0.0539013257987394,0.983833282818731
"Spambase",17,"AR",0.0539013257987394,0.983902526073053
"Spambase",18,"AR",0.0532492936318192,0.983773140106405
"Spambase",19,"AR",0.0532492936318192,0.983827347682646
"Spambase",20,"AR",0.0543360139100196,0.983503882766027
"Spambase",21,"AR",0.0536839817430993,0.98383723957612
"Spambase",22,"AR",0.0521625733536188,0.983644941166974
"Spambase",23,"AR",0.0545533579656596,0.983589150887778
"Spambase",24,"AR",0.0543360139100196,0.983921716346393
"Spambase",25,"AR",0.0547707020212997,0.983680551983483
"Spambase",26,"AR",0.0536839817430993,0.983690246039088
"Spambase",27,"AR",0.0536839817430993,0.983703501176344
"Spambase",28,"AR",0.0539013257987394,0.983772744430666
"Spambase",29,"AR",0.0549880460769398,0.983735353073332
"Spambase",30,"AR",0.0519452292979787,0.983738122803505
"Spambase",31,"AR",0.0532492936318192,0.983778086053142
"Spambase",32,"AR",0.0545533579656596,0.9839852223025
"Spambase",33,"AR",0.0547707020212997,0.983855242822244
"Spambase",34,"AR",0.0525972614648989,0.983730407126595
"Spambase",35,"AR",0.0532492936318192,0.983795100109919
"Spambase",36,"AR",0.0536839817430993,0.983698555229607
"Spambase",37,"AR",0.0536839817430993,0.984029142309528
"Spambase",38,"AR",0.052814605520539,0.983784416864966
"Spambase",39,"AR",0.0536839817430993,0.983794902272049
"Spambase",40,"AR",0.0536839817430993,0.983628916299546
"Spambase",41,"AR",0.0530319495761791,0.983694598472217
