"dataset","sim","method","misclass","auc"
"Threenorm",1,"RF",0.127272727272727,0.944568778696051
"Threenorm",2,"RF",0.123333333333333,0.945400734618916
"Threenorm",3,"RF",0.125151515151515,0.944274931129477
"Threenorm",4,"RF",0.123939393939394,0.94547842056933
"Threenorm",5,"RF",0.126060606060606,0.945881175390266
"Threenorm",6,"RF",0.124242424242424,0.94597741046832
"Threenorm",7,"RF",0.127272727272727,0.9451854912764
"Threenorm",8,"RF",0.129090909090909,0.944810101010101
"Threenorm",9,"RF",0.124545454545455,0.94559375573921
"Threenorm",10,"RF",0.124242424242424,0.94593810835629
"Threenorm",11,"RF",0.124848484848485,0.945928007346189
"Threenorm",12,"RF",0.124545454545455,0.945362534435262
"Threenorm",13,"RF",0.126969696969697,0.945520661157025
"Threenorm",14,"RF",0.124545454545455,0.946152066115702
"Threenorm",15,"RF",0.126060606060606,0.945497520661157
"Threenorm",16,"RF",0.123333333333333,0.944642424242424
"Threenorm",17,"RF",0.124545454545455,0.945077685950413
"Threenorm",18,"RF",0.125454545454545,0.945541965105602
"Threenorm",19,"RF",0.123636363636364,0.944876951331497
"Threenorm",20,"RF",0.123636363636364,0.945659320477502
"Threenorm",21,"RF",0.123939393939394,0.946466666666667
"Threenorm",22,"RF",0.122424242424242,0.94580826446281
"Threenorm",23,"RF",0.124545454545455,0.944991184573003
"Threenorm",24,"RF",0.122121212121212,0.944947107438017
"Threenorm",25,"RF",0.123636363636364,0.945431404958678
"Threenorm",26,"RF",0.120909090909091,0.945379247015611
"Threenorm",27,"RF",0.123030303030303,0.945137924701561
"Threenorm",28,"RF",0.123333333333333,0.946365289256198
"Threenorm",29,"RF",0.126363636363636,0.944950780532599
"Threenorm",30,"RF",0.126060606060606,0.944778512396694
"Threenorm",31,"RF",0.123333333333333,0.944875114784206
"Threenorm",32,"RF",0.128484848484848,0.945034710743802
"Threenorm",33,"RF",0.126060606060606,0.945378696051423
"Threenorm",34,"RF",0.126363636363636,0.944995775941231
"Threenorm",35,"RF",0.122424242424242,0.945221854912764
"Threenorm",36,"RF",0.124848484848485,0.945737190082645
"Threenorm",37,"RF",0.123939393939394,0.945587327823691
"Threenorm",38,"RF",0.121515151515152,0.944969696969697
"Threenorm",39,"RF",0.128484848484848,0.944999449035813
"Threenorm",40,"RF",0.126060606060606,0.945347658402204
"Threenorm",41,"RF",0.125151515151515,0.945341046831956
"Threenorm",42,"RF",0.126060606060606,0.944382001836547
"Threenorm",43,"RF",0.123939393939394,0.944269788797061
"Threenorm",44,"RF",0.127878787878788,0.944663360881543
"Threenorm",45,"RF",0.126060606060606,0.944812672176308
"Threenorm",46,"RF",0.126363636363636,0.945520477502296
"Threenorm",47,"RF",0.126969696969697,0.94536914600551
"Threenorm",48,"RF",0.126666666666667,0.945084848484848
"Threenorm",49,"RF",0.126363636363636,0.945064095500459
"Threenorm",50,"RF",0.124545454545455,0.945559412304867
"Threenorm",1,"SSS",0.122424242424242,0.944976675849403
"Threenorm",2,"SSS",0.122424242424242,0.946226262626263
"Threenorm",3,"SSS",0.126060606060606,0.945494031221304
"Threenorm",4,"SSS",0.122424242424242,0.94633406795225
"Threenorm",5,"SSS",0.124545454545455,0.944891827364555
"Threenorm",6,"SSS",0.122727272727273,0.946104315886134
"Threenorm",7,"SSS",0.123636363636364,0.94547621671258
"Threenorm",8,"SSS",0.123333333333333,0.946961248852158
"Threenorm",9,"SSS",0.124848484848485,0.945465564738292
"Threenorm",10,"SSS",0.124848484848485,0.945533516988062
"Threenorm",11,"SSS",0.127575757575758,0.945585674931129
"Threenorm",12,"SSS",0.123636363636364,0.946353902662994
"Threenorm",13,"SSS",0.123030303030303,0.9455463728191
"Threenorm",14,"SSS",0.127272727272727,0.945720477502296
"Threenorm",15,"SSS",0.122424242424242,0.946767309458219
"Threenorm",16,"SSS",0.127878787878788,0.945175022956841
"Threenorm",17,"SSS",0.120909090909091,0.946413590449954
"Threenorm",18,"SSS",0.124848484848485,0.945170247933884
"Threenorm",19,"SSS",0.127272727272727,0.945677318640955
"Threenorm",20,"SSS",0.124242424242424,0.945791919191919
"Threenorm",21,"SSS",0.126969696969697,0.945910743801653
"Threenorm",22,"SSS",0.124545454545455,0.945024242424242
"Threenorm",23,"SSS",0.123030303030303,0.94519577594123
"Threenorm",24,"SSS",0.125757575757576,0.945196694214876
"Threenorm",25,"SSS",0.123939393939394,0.945826629935721
"Threenorm",26,"SSS",0.126666666666667,0.945500275482094
"Threenorm",27,"SSS",0.128484848484848,0.94533810835629
"Threenorm",28,"SSS",0.124545454545455,0.945109825528007
"Threenorm",29,"SSS",0.123030303030303,0.945622222222222
"Threenorm",30,"SSS",0.124848484848485,0.945384022038568
"Threenorm",31,"SSS",0.120606060606061,0.946363269054178
"Threenorm",32,"SSS",0.124848484848485,0.946250688705234
"Threenorm",33,"SSS",0.127575757575758,0.945450872359963
"Threenorm",34,"SSS",0.123939393939394,0.94547621671258
"Threenorm",35,"SSS",0.124242424242424,0.945618916437098
"Threenorm",36,"SSS",0.126363636363636,0.947507621671258
"Threenorm",37,"SSS",0.121818181818182,0.9455072543618
"Threenorm",38,"SSS",0.126666666666667,0.945084297520661
"Threenorm",39,"SSS",0.125454545454545,0.94528870523416
"Threenorm",40,"SSS",0.122121212121212,0.946024242424242
"Threenorm",41,"SSS",0.124242424242424,0.945067768595041
"Threenorm",42,"SSS",0.121212121212121,0.945345270890725
"Threenorm",43,"SSS",0.126969696969697,0.945270339761249
"Threenorm",44,"SSS",0.123636363636364,0.946256014692378
"Threenorm",45,"SSS",0.122727272727273,0.94600404040404
"Threenorm",46,"SSS",0.124545454545455,0.945458034894399
"Threenorm",47,"SSS",0.124242424242424,0.944845179063361
"Threenorm",48,"SSS",0.13,0.945164554637282
"Threenorm",49,"SSS",0.128484848484848,0.944831772268136
"Threenorm",50,"SSS",0.122121212121212,0.945686501377411
"Threenorm",1,"ER",0.118181818181818,0.949508539944904
"Threenorm",2,"ER",0.116666666666667,0.949885950413223
"Threenorm",3,"ER",0.115151515151515,0.949400183654729
"Threenorm",4,"ER",0.120606060606061,0.950098255280073
"Threenorm",5,"ER",0.112424242424242,0.950552984389348
"Threenorm",6,"ER",0.118787878787879,0.949485399449036
"Threenorm",7,"ER",0.11969696969697,0.949906336088154
"Threenorm",8,"ER",0.12,0.949685583103765
"Threenorm",9,"ER",0.116666666666667,0.949447015610652
"Threenorm",10,"ER",0.12,0.949830486685032
"Threenorm",11,"ER",0.118787878787879,0.949007713498623
"Threenorm",12,"ER",0.118181818181818,0.949798163452709
"Threenorm",13,"ER",0.113030303030303,0.950851974288338
"Threenorm",14,"ER",0.11969696969697,0.949465013774105
"Threenorm",15,"ER",0.116666666666667,0.950695133149679
"Threenorm",16,"ER",0.118787878787879,0.950448852157943
"Threenorm",17,"ER",0.11969696969697,0.950207713498623
"Threenorm",18,"ER",0.116969696969697,0.949887970615243
"Threenorm",19,"ER",0.116969696969697,0.949493663911846
"Threenorm",20,"ER",0.119090909090909,0.949678971533517
"Threenorm",21,"ER",0.116969696969697,0.949738842975207
"Threenorm",22,"ER",0.116666666666667,0.950235261707989
"Threenorm",23,"ER",0.12,0.950129109274564
"Threenorm",24,"ER",0.116666666666667,0.950327089072544
"Threenorm",25,"ER",0.121212121212121,0.949813406795225
"Threenorm",26,"ER",0.114545454545455,0.94972580348944
"Threenorm",27,"ER",0.117575757575758,0.950221671258035
