"dataset","sim","method","misclass","auc"
"Twonorm",1,"RF",0.0345454545454545,0.993868503213958
"Twonorm",2,"RF",0.0360606060606061,0.993728925619835
"Twonorm",3,"RF",0.0339393939393939,0.994036730945822
"Twonorm",4,"RF",0.0348484848484849,0.993920661157025
"Twonorm",5,"RF",0.0339393939393939,0.993826446280992
"Twonorm",6,"RF",0.0318181818181818,0.993979063360881
"Twonorm",7,"RF",0.033030303030303,0.994103948576676
"Twonorm",8,"RF",0.0339393939393939,0.994034710743802
"Twonorm",9,"RF",0.0333333333333333,0.993963636363636
"Twonorm",10,"RF",0.0336363636363636,0.993975941230487
"Twonorm",11,"RF",0.0339393939393939,0.993891643709826
"Twonorm",12,"RF",0.0363636363636364,0.993901561065197
"Twonorm",13,"RF",0.0333333333333333,0.994015059687787
"Twonorm",14,"RF",0.0342424242424242,0.993751698806244
"Twonorm",15,"RF",0.0318181818181818,0.993924701561065
"Twonorm",16,"RF",0.0342424242424242,0.993943434343434
"Twonorm",17,"RF",0.033030303030303,0.994028282828283
"Twonorm",18,"RF",0.0345454545454545,0.993743250688705
"Twonorm",19,"RF",0.0336363636363636,0.993862993572085
"Twonorm",20,"RF",0.0336363636363636,0.993916253443526
"Twonorm",21,"RF",0.0354545454545455,0.993983103764922
"Twonorm",22,"RF",0.0342424242424242,0.994075298438935
"Twonorm",23,"RF",0.0324242424242424,0.994232139577594
"Twonorm",24,"RF",0.033030303030303,0.994040036730946
"Twonorm",25,"RF",0.0342424242424242,0.993622222222222
"Twonorm",26,"RF",0.0348484848484849,0.994029384756657
"Twonorm",27,"RF",0.0345454545454545,0.994167860422406
"Twonorm",28,"RF",0.0336363636363636,0.994054729109275
"Twonorm",29,"RF",0.0345454545454545,0.99395261707989
"Twonorm",30,"RF",0.0336363636363636,0.993748760330578
"Twonorm",31,"RF",0.0321212121212121,0.994124885215794
"Twonorm",32,"RF",0.033030303030303,0.994186409550046
"Twonorm",33,"RF",0.0339393939393939,0.99412157943067
"Twonorm",34,"RF",0.0327272727272727,0.993921946740129
"Twonorm",35,"RF",0.0363636363636364,0.99374435261708
"Twonorm",36,"RF",0.0345454545454545,0.993678236914601
"Twonorm",37,"RF",0.0327272727272727,0.994221854912764
"Twonorm",38,"RF",0.0357575757575758,0.993880808080808
"Twonorm",39,"RF",0.0345454545454545,0.993904499540863
"Twonorm",40,"RF",0.0333333333333333,0.994119008264463
"Twonorm",41,"RF",0.0339393939393939,0.99391331496786
"Twonorm",42,"RF",0.0339393939393939,0.994133333333333
"Twonorm",43,"RF",0.0339393939393939,0.99410101010101
"Twonorm",44,"RF",0.0342424242424242,0.993890174471993
"Twonorm",45,"RF",0.033030303030303,0.993750964187328
"Twonorm",46,"RF",0.0351515151515151,0.994009550045914
"Twonorm",47,"RF",0.0336363636363636,0.99422056932966
"Twonorm",48,"RF",0.0354545454545455,0.993987144168962
"Twonorm",49,"RF",0.0351515151515151,0.994099357208448
"Twonorm",50,"RF",0.0324242424242424,0.993882093663912
"Twonorm",1,"SSS",0.0354545454545455,0.993863360881543
"Twonorm",2,"SSS",0.0348484848484849,0.993980899908173
"Twonorm",3,"SSS",0.0366666666666667,0.99391955922865
"Twonorm",4,"SSS",0.0327272727272727,0.994017263544536
"Twonorm",5,"SSS",0.0345454545454545,0.993709458218549
"Twonorm",6,"SSS",0.0339393939393939,0.993918640955005
"Twonorm",7,"SSS",0.0318181818181818,0.993844260789715
"Twonorm",8,"SSS",0.0351515151515151,0.993836914600551
"Twonorm",9,"SSS",0.0333333333333333,0.993974655647383
"Twonorm",10,"SSS",0.0345454545454545,0.993778145087236
"Twonorm",11,"SSS",0.0354545454545455,0.993726538108356
"Twonorm",12,"SSS",0.0324242424242424,0.994054729109275
"Twonorm",13,"SSS",0.0345454545454545,0.99386593204775
"Twonorm",14,"SSS",0.0360606060606061,0.994053994490358
"Twonorm",15,"SSS",0.0345454545454545,0.993702112029385
"Twonorm",16,"SSS",0.0327272727272727,0.993975757575758
"Twonorm",17,"SSS",0.0315151515151515,0.994038567493113
"Twonorm",18,"SSS",0.0342424242424242,0.994203856749311
"Twonorm",19,"SSS",0.0333333333333333,0.993991184573003
"Twonorm",20,"SSS",0.0324242424242424,0.993970247933884
"Twonorm",21,"SSS",0.0357575757575758,0.993669421487603
"Twonorm",22,"SSS",0.0342424242424242,0.994013590449954
"Twonorm",23,"SSS",0.0345454545454545,0.993960697887971
"Twonorm",24,"SSS",0.0339393939393939,0.993911478420569
"Twonorm",25,"SSS",0.0336363636363636,0.994066483011938
"Twonorm",26,"SSS",0.0321212121212121,0.994128558310376
"Twonorm",27,"SSS",0.0327272727272727,0.993836363636364
"Twonorm",28,"SSS",0.0339393939393939,0.994023507805326
"Twonorm",29,"SSS",0.0327272727272727,0.993980165289256
"Twonorm",30,"SSS",0.0342424242424242,0.993806795224977
"Twonorm",31,"SSS",0.0324242424242424,0.993880257116621
"Twonorm",32,"SSS",0.0339393939393939,0.993903397612488
"Twonorm",33,"SSS",0.033030303030303,0.994047015610652
"Twonorm",34,"SSS",0.0318181818181818,0.993806795224977
"Twonorm",35,"SSS",0.0312121212121212,0.994053259871442
"Twonorm",36,"SSS",0.0336363636363636,0.993784022038568
"Twonorm",37,"SSS",0.0324242424242424,0.993760514233242
"Twonorm",38,"SSS",0.0333333333333333,0.993712029384757
"Twonorm",39,"SSS",0.0333333333333333,0.993870707070707
"Twonorm",40,"SSS",0.033030303030303,0.993940863177227
"Twonorm",41,"SSS",0.0327272727272727,0.993975022956841
"Twonorm",42,"SSS",0.0342424242424242,0.993781818181818
"Twonorm",43,"SSS",0.0339393939393939,0.994188797061524
"Twonorm",44,"SSS",0.0309090909090909,0.993995592286501
"Twonorm",45,"SSS",0.0339393939393939,0.99383507805326
"Twonorm",46,"SSS",0.0321212121212121,0.993837649219467
"Twonorm",47,"SSS",0.0348484848484849,0.993791368227732
"Twonorm",48,"SSS",0.0336363636363636,0.993825528007346
"Twonorm",49,"SSS",0.0336363636363636,0.993993204775023
"Twonorm",50,"SSS",0.0333333333333333,0.994060973370064
"Twonorm",1,"ER",0.0290909090909091,0.994863544536272
"Twonorm",2,"ER",0.0303030303030303,0.994779063360882
"Twonorm",3,"ER",0.0290909090909091,0.995001652892562
"Twonorm",4,"ER",0.0312121212121212,0.994925619834711
"Twonorm",5,"ER",0.0293939393939394,0.994894398530762
"Twonorm",6,"ER",0.0309090909090909,0.995135720844812
"Twonorm",7,"ER",0.0309090909090909,0.994780165289256
"Twonorm",8,"ER",0.0306060606060606,0.994778696051423
"Twonorm",9,"ER",0.0306060606060606,0.994897704315886
"Twonorm",10,"ER",0.0327272727272727,0.994722865013774
"Twonorm",11,"ER",0.0284848484848485,0.994782001836547
"Twonorm",12,"ER",0.0290909090909091,0.994663728191001
"Twonorm",13,"ER",0.0278787878787879,0.995132782369146
"Twonorm",14,"ER",0.0312121212121212,0.994924150596878
"Twonorm",15,"ER",0.0303030303030303,0.995032139577594
"Twonorm",16,"ER",0.0324242424242424,0.994646097337006
"Twonorm",17,"ER",0.0296969696969697,0.994845913682277
"Twonorm",18,"ER",0.0293939393939394,0.994705968778696
"Twonorm",19,"ER",0.03,0.994964554637282
"Twonorm",20,"ER",0.0296969696969697,0.994973002754821
