,rf_vimp.1,rf_vimp.2,rf_vimp.3,rf_vimp.4,rf_vimp.5,sss_vimp.1,sss_vimp.2,sss_vimp.3,sss_vimp.4,sss_vimp.5,er_vimp.1,er_vimp.2,er_vimp.3,er_vimp.4,er_vimp.5,ar_vimp.1,ar_vimp.2,ar_vimp.3,ar_vimp.4,ar_vimp.5
1,0.007752549,0.00251491,0.002766692,0.009540018,0.018506821,0.00655698,0.000462931,0.004630119,0.013211209,0.020348735,0.007479745,0.003279565,0.007965673,0.005024702,0.009033492,0.006855673,5.45E-05,0.007982074,0.005197211,0.0080418
2,0.000424716,0.002571748,-0.002533168,0.001245955,0.02046517,-0.000266421,0.003706409,-0.001763219,-0.001928285,0.017266726,0.000946747,0.001514028,-0.00333501,-0.002687526,0.005577242,0.000493379,2.51E-05,-0.004420808,-0.000222583,0.007455577
3,0.003046059,-0.002619528,0.001603456,-0.011235536,0.003172147,0.003455608,-0.00438053,0.0015096,-0.007908422,0.00558914,0.001626168,-0.009517316,0.001547293,-0.00348582,0.003626684,0.000984903,-0.005095217,-0.000658131,-0.00628248,0.003930868
4,0.006263908,-0.001878997,0.009047201,0.015411492,-0.003675895,0.000132991,-0.002137856,0.009223641,0.017570261,-0.002887148,0.002753188,-0.00503402,0.011928973,0.002952795,-0.001321125,0.00471122,-0.004150303,0.016070142,0.007025684,-0.003530729
5,-0.007433021,0.002711174,-0.000744498,0.003792874,-0.018152196,-0.01107911,0.000738392,-0.003864453,0.00232875,-0.020109919,-0.006534066,0.001205962,-0.003827889,0.002373513,-0.003348602,-0.005683656,-0.001588524,-0.002313309,0.000955408,-0.010796919
6,0.000186962,0.004122204,0.002610874,0.009762311,-0.007756448,0.000341625,0.006354383,0.00392389,0.014581059,-0.006924042,-0.00308675,-0.001111702,0.005902725,0.007107363,-0.000358595,-0.002518864,0.00148393,0.008228111,0.013132991,-0.003822263
7,-0.004966998,-0.002145933,0.005874227,0.035295814,0.011356315,-0.001689501,-0.000261711,0.005372282,0.036073886,0.015865164,-0.010511655,-0.004530135,-0.003101244,0.010502788,-0.001401775,-0.008530992,-0.002491856,-0.000562967,0.023864148,0.000653424
8,-0.008943239,-0.005507326,-0.002661759,-0.002136182,-0.016085344,-0.004938966,-0.005673742,-0.001241676,0.000737392,-0.01121802,-0.005218522,-0.006940581,0.000603476,-0.001621804,-0.005094279,-0.006895936,-0.002893093,-0.000516315,-0.002835635,-0.007004835
9,-0.000617484,0.004164997,0.010319712,-0.003524056,0.006296328,-0.002238547,0.004736963,0.011943594,-0.003064747,0.004894022,-0.00481072,0.005344928,0.012636735,-0.003286906,0.002941872,-0.003459154,9.82E-05,0.011957034,-0.006458307,0.000296039
10,0.001572303,0.003488702,0.01902183,0.005575912,-0.003171791,0.001204824,0.003277305,0.019684366,0.006904286,-0.002005132,-0.003474713,0.013498387,0.025416636,0.007326821,-0.000517183,-0.003719882,0.003922636,0.018371124,0.005623069,-0.006091276
11,0.01534498,-0.001430103,-0.001198895,-0.005849443,-0.001031991,0.016561611,-0.002428757,-0.001151896,-0.00649795,-0.000160713,0.026495889,-0.003732835,-0.000621694,-0.001910004,0.000314479,0.029081344,-0.001413772,0.000647181,-0.000677128,0.005011289
