,rf_vimp.1,rf_vimp.2,rf_vimp.3,rf_vimp.4,rf_vimp.5,sss_vimp.1,sss_vimp.2,sss_vimp.3,sss_vimp.4,sss_vimp.5,er_vimp.1,er_vimp.2,er_vimp.3,er_vimp.4,er_vimp.5,ar_vimp.1,ar_vimp.2,ar_vimp.3,ar_vimp.4,ar_vimp.5
1,0.023307691,-0.003038444,-0.000319376,-0.006837895,0.014180296,0.022974844,-0.002402154,0.0037864,-0.004669525,0.013892659,0.025584822,-0.005281348,0.000537682,-0.006517355,0.001753388,0.025501536,-0.003320092,0.000905934,-0.006681578,0.010412906
2,0.021322058,0.00497952,-0.002959503,-0.001598338,0.019845953,0.020160366,0.002651513,-0.002735742,0.004143344,0.023403595,0.02247571,0.004091751,-0.003751825,0.006389018,0.005425484,0.029129645,0.000294789,-0.005565422,0.002813218,0.008454209
3,0.002641571,-0.001614102,-0.008475987,0.001125725,0.008207608,0.0024458,-0.002412404,-0.006684742,-0.000717735,0.00840952,-0.005100146,-0.002896302,-0.009425699,-0.004341838,0.000223261,-0.002433291,-0.002493069,-0.009904946,-0.003192631,0.000273793
4,0.007519539,0.005229807,0.01801888,-0.006843682,-0.020205849,0.008519142,0.009669626,0.021057236,-0.001069655,-0.017894615,0.007204895,0.029332006,0.041529483,0.005083502,-0.00333337,0.008765223,0.011938901,0.036173251,-0.001448155,-0.006848224
5,-0.002123554,-0.003403849,-0.003548782,-0.021519979,-0.012532223,-0.004203916,-0.00325977,-0.00934756,-0.028351349,-0.013925148,-0.001927437,-0.002933972,-0.012536946,-0.007684726,0.001410976,-0.006890404,-0.003362263,-0.007439579,-0.012005161,-0.003254708
6,0.00823875,0.007126717,-0.006271125,-0.012060519,-0.028431063,0.007685663,0.00511772,-0.005748282,-0.012620775,-0.026291422,0.019881383,0.015423668,-0.001944844,-0.002461895,-0.004769503,0.015595656,0.008446103,-0.005918927,-0.004534198,-0.009845458
7,0.000387495,-0.005396705,-0.004001852,0.000107737,-0.025738226,-0.001190536,-0.004524037,0.001576273,0.002404108,-0.024418623,-0.002639935,-0.010345257,-0.008987639,0.008145207,-0.007002005,-0.001211237,-0.004532052,-0.006411082,0.003788347,-0.010552926
8,-0.009891682,0.000564878,0.006878453,-7.45E-05,-0.003858962,-0.008828679,-0.000975058,0.005037312,-0.000766591,-0.009575601,-0.012821941,-0.008628262,9.97E-05,0.002201219,-0.002219419,-0.008770813,-0.002130335,0.014980449,0.000899024,-0.000477886
9,-0.010220804,0.001694057,-0.005992362,-0.001341818,-0.023849735,-0.01011628,0.001763307,-0.005849931,-0.003030119,-0.022330042,-0.005200384,0.001752581,-0.004498993,-0.001408812,-0.007929379,-0.008448276,-0.001624293,-0.006893469,-0.002784279,-0.011922728
10,0.003861999,-0.001429985,0.001080972,0.023333589,0.012523296,0.003085736,-0.001594229,0.002102449,0.023320556,0.012840241,-0.005253559,-0.005982205,-0.000523738,0.004182198,0.000849072,0.006363543,-0.002737716,-0.001424172,0.014220926,0.002701458
11,0.00869156,0.001439345,0.00647559,0.00285595,0.040989089,0.006855475,0.001769297,0.003037301,-0.00082223,0.042495979,0.001930059,0.005633505,0.005719001,-0.000307799,0.006646287,0.00473684,0.001887182,0.007994414,-0.000378805,0.024981591
12,0.014650765,-0.004967843,-0.00218464,-0.004278476,-0.00319519,0.015883585,-0.000995169,-0.003004919,-0.003705254,-0.005474205,0.015083186,-0.001224366,0.007312744,-0.01032766,-0.002910688,0.016331037,-0.004808816,-0.003791819,-0.006076575,-0.003307091
13,0.00553126,-0.003212344,-0.004242636,0.004614783,0.01352437,0.001645097,-0.003287691,-0.00576561,0.00103122,0.019191466,-0.00335044,-0.008046138,-0.012684198,-0.003636346,0.005637482,8.53E-05,-0.003619959,-0.009308785,-0.002328836,0.008088854
14,0.003237545,0.000510693,-0.002577327,-0.006700144,-0.006692994,0.003096459,0.000962774,-0.001051031,-0.005740976,-0.003364054,0.006891271,0.012726978,0.010677091,-0.002446609,0.001556914,0.004525097,0.003634551,-0.001884589,-0.006659872,-0.00241607
15,0.000627212,0.01717741,-0.006452858,0.0005543,-0.019684598,-0.003736845,0.017852216,-0.008836951,-0.001162135,-0.023421262,0.005552814,0.033268457,-0.010249209,0.001096614,-0.006469815,0.001251316,0.039722895,-0.007944118,0.004440364,-0.008680291
